episode,step,time,case,mode,defender_id,target_id,dist_to_target
1,794,39.70000076293945,case1,baseline,0,20,11.08270297859956
1,795,39.75,case1,baseline,1,20,10.078026706084396
1,808,40.400001525878906,case1,baseline,2,21,11.121879724305968
1,808,40.400001525878906,case1,baseline,4,21,11.955854335240828
1,852,42.599998474121094,case1,baseline,7,23,11.89593231091738
1,852,42.599998474121094,case1,baseline,10,23,10.11287008241099
1,853,42.650001525878906,case1,baseline,8,23,11.177529256412779
1,855,42.75,case1,baseline,6,22,11.597144655780301
1,856,42.79999923706055,case1,baseline,5,22,11.417543805932644
1,858,42.900001525878906,case1,baseline,3,22,11.861872132453549
1,862,43.099998474121094,case1,baseline,16,26,11.988936781590198
1,866,43.29999923706055,case1,baseline,15,26,11.781091475324573
1,873,43.650001525878906,case1,baseline,19,27,10.794653151430117
1,875,43.75,case1,baseline,17,27,11.685466747009777
1,875,43.75,case1,baseline,18,27,11.482201859183292
1,883,44.150001525878906,case1,baseline,9,24,11.379519138352942
1,885,44.25,case1,baseline,12,24,10.845967056595077
1,1611,80.55000305175781,case1,baseline,11,25,11.809653593791415
1,1611,80.55000305175781,case1,baseline,13,25,11.571914141185848
1,1611,80.55000305175781,case1,baseline,14,25,11.347372912348277
2,755,37.75,case1,baseline,12,25,10.738812383195622
2,756,37.79999923706055,case1,baseline,11,25,9.857955609730446
2,768,38.400001525878906,case1,baseline,19,20,10.891818263115182
2,769,38.45000076293945,case1,baseline,0,20,11.01094784350374
2,795,39.75,case1,baseline,8,23,11.356867442459295
2,796,39.79999923706055,case1,baseline,6,23,10.923448618415444
2,796,39.79999923706055,case1,baseline,7,23,10.699469974183462
2,798,39.900001525878906,case1,baseline,10,24,11.50960871602273
2,799,39.95000076293945,case1,baseline,9,24,11.15273108312219
2,803,40.150001525878906,case1,baseline,1,21,10.498586110621519
2,803,40.150001525878906,case1,baseline,2,21,10.755699020437529
2,815,40.75,case1,baseline,5,22,10.798946508231566
2,816,40.79999923706055,case1,baseline,3,22,11.989361067688048
2,819,40.95000076293945,case1,baseline,4,22,11.802097403219655
2,819,40.95000076293945,case1,baseline,14,26,11.848205997389623
2,822,41.099998474121094,case1,baseline,13,26,11.100523688152329
