section,condition,metric,value
coefficient_ablation,adaptive,mean,0.006975365238688663
coefficient_ablation,adaptive,std,0.00014056258075760588
coefficient_ablation,adaptive,median,0.006921198466682179
coefficient_ablation,adaptive,min,0.006921198466682179
coefficient_ablation,adaptive,max,0.007335814323952293
coefficient_ablation,adaptive,iterations_to_1pct_median,19.0
coefficient_ablation,fixed,mean,0.006941861558167727
coefficient_ablation,fixed,std,8.33016970199472e-05
coefficient_ablation,fixed,median,0.006921198466682179
coefficient_ablation,fixed,min,0.006921198466682179
coefficient_ablation,fixed,max,0.007335814323952293
coefficient_ablation,fixed,iterations_to_1pct_median,21.5
weight_sensitivity,w_zem=0.3,mean,0.004611098498121375
weight_sensitivity,w_zem=0.3,std,0.00021115488925608602
weight_sensitivity,w_zem=0.3,median,0.0045545207814192724
weight_sensitivity,w_zem=0.3,min,0.0045545207814192724
weight_sensitivity,w_zem=0.3,max,0.0054408140142018285
weight_sensitivity,w_zem=0.5,mean,0.006985540083612338
weight_sensitivity,w_zem=0.5,std,0.0001482422359885007
weight_sensitivity,w_zem=0.5,median,0.006921198466682179
weight_sensitivity,w_zem=0.5,min,0.006921198466682179
weight_sensitivity,w_zem=0.5,max,0.007335814323952293
weight_sensitivity,w_zem=0.7,mean,0.00995555791763118
weight_sensitivity,w_zem=0.7,std,0.00020790418268965162
weight_sensitivity,w_zem=0.7,median,0.009801968553656039
weight_sensitivity,w_zem=0.7,min,0.009801968553656039
weight_sensitivity,w_zem=0.7,max,0.01027851609156867
scalability,20x8,normalized_cost_mean,0.001803599649061015
scalability,20x8,runtime_seconds_mean,0.4166776051977649
scalability,20x8,runtime_seconds_std,0.010505245477810966
scalability,40x16,normalized_cost_mean,0.0004485945344494352
scalability,40x16,runtime_seconds_mean,0.7315737479948439
scalability,40x16,runtime_seconds_std,0.07343795954538308
scalability,80x32,normalized_cost_mean,0.0004674822283283274
scalability,80x32,runtime_seconds_mean,1.8458517144987128
scalability,80x32,runtime_seconds_std,0.05811374567392035
source_propagation_delay,"delay=0,dropout=0.0",success_rate,1.0
source_propagation_delay,"delay=0,dropout=0.0",rounds_mean,4.0
source_propagation_delay,"delay=0,dropout=0.0",rounds_std,0.0
source_propagation_delay,"delay=0,dropout=0.0",rounds_max,4
source_propagation_delay,"delay=0,dropout=0.01",success_rate,1.0
source_propagation_delay,"delay=0,dropout=0.01",rounds_mean,4.0
source_propagation_delay,"delay=0,dropout=0.01",rounds_std,0.0
source_propagation_delay,"delay=0,dropout=0.01",rounds_max,4
source_propagation_delay,"delay=1,dropout=0.0",success_rate,1.0
source_propagation_delay,"delay=1,dropout=0.0",rounds_mean,5.633333333333334
source_propagation_delay,"delay=1,dropout=0.0",rounds_std,0.490132517853561
source_propagation_delay,"delay=1,dropout=0.0",rounds_max,6
source_propagation_delay,"delay=1,dropout=0.01",success_rate,1.0
source_propagation_delay,"delay=1,dropout=0.01",rounds_mean,5.8
source_propagation_delay,"delay=1,dropout=0.01",rounds_std,0.40683810217248617
source_propagation_delay,"delay=1,dropout=0.01",rounds_max,6
source_propagation_delay,"delay=2,dropout=0.0",success_rate,1.0
source_propagation_delay,"delay=2,dropout=0.0",rounds_mean,7.033333333333333
source_propagation_delay,"delay=2,dropout=0.0",rounds_std,0.4138409933973337
source_propagation_delay,"delay=2,dropout=0.0",rounds_max,8
source_propagation_delay,"delay=2,dropout=0.01",success_rate,1.0
source_propagation_delay,"delay=2,dropout=0.01",rounds_mean,7.066666666666666
source_propagation_delay,"delay=2,dropout=0.01",rounds_std,0.5208304597621878
source_propagation_delay,"delay=2,dropout=0.01",rounds_max,9
source_propagation_delay,"delay=4,dropout=0.0",success_rate,1.0
source_propagation_delay,"delay=4,dropout=0.0",rounds_mean,8.966666666666667
source_propagation_delay,"delay=4,dropout=0.0",rounds_std,0.5560534167675355
source_propagation_delay,"delay=4,dropout=0.0",rounds_max,10
source_propagation_delay,"delay=4,dropout=0.01",success_rate,1.0
source_propagation_delay,"delay=4,dropout=0.01",rounds_mean,9.166666666666666
source_propagation_delay,"delay=4,dropout=0.01",rounds_std,0.5920934999167597
source_propagation_delay,"delay=4,dropout=0.01",rounds_max,10
