condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
gru_delay_screen_full_case1_d1,case1,full,1,99001,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.10763888888888655,0.3890263898723323,1.7095640857940835,31.70625000000029,1.323599866443955,2.8351761840245824,441952.8236252483,32.95,50.0,3.0,0.3,250.0,1.0,11.370209462844311,0.015011795656716481,0.0,nan,nan,nan,0
gru_delay_screen_full_case1_d1,case1,full,2,99002,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.13333333333333255,0.3844703186286371,1.489720613034442,31.475000000000282,1.1651869811470439,2.6703390430548466,441931.2925962003,34.95,50.0,3.0,0.3,250.0,1.0,10.32274499280731,0.015215311535046704,0.0,nan,nan,nan,0
gru_delay_screen_full_case1_d1,case1,full,3,99003,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.13472222222221908,0.35212742237355027,1.7488541730055078,32.03125000000027,1.2956981086696848,2.593072207207538,441926.0726363376,34.2,50.0,3.0,0.3,250.0,1.0,12.262976115029778,0.013800715418467169,0.0,nan,nan,nan,0
gru_delay_screen_full_case1_d1,case1,full,4,99004,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.125347222222222,0.3839728217112158,1.9384382168727075,31.4812500000003,1.3604996164093726,2.9195532031232965,441884.67572231125,32.7,50.0,3.0,0.3,250.0,1.0,11.862630444034336,0.017873332181661202,0.0,nan,nan,nan,0
gru_delay_screen_full_case1_d1,case1,full,5,99005,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.12777777777777422,0.3647028807043191,1.804443495268739,32.51250000000026,1.5116793794139651,2.8963847582775784,441966.4644385713,34.4,50.0,3.0,0.3,250.0,1.0,10.27618191636433,0.010756646998348347,0.0,nan,nan,nan,0
gru_delay_screen_full_case1_d1,case1,full,6,99006,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.13784722222221896,0.35721771167561356,1.8580170747102027,32.04375000000026,1.3488228566009386,2.780523458855933,441916.593059887,35.050000000000004,50.0,3.0,0.3,250.0,1.0,10.856413823547609,0.012896700521360625,0.0,nan,nan,nan,0
gru_delay_screen_full_case1_d1,case1,full,7,99007,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,6,0.12395833333333199,0.38419025674674484,1.783572500428968,31.225000000000293,1.1360583876970372,2.668114971093639,441900.1672345221,33.25,50.0,3.0,0.3,250.0,1.0,10.173947606925696,0.021811920621101856,0.0,nan,nan,nan,0
gru_delay_screen_full_case1_d1,case1,full,8,99008,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.11701388888888949,0.33553399289670993,1.3682588114936034,31.3000000000003,1.2351997275684337,2.3952072343241593,441883.18401929067,33.050000000000004,50.0,3.0,0.3,250.0,1.0,11.62146785385384,0.019055830509777896,0.0,nan,nan,nan,0
gru_delay_screen_full_case1_d1,case1,full,9,99009,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,6,0.14999999999999628,0.3905026062618687,1.6937948321620224,31.18750000000029,1.3115270685104046,2.8643784820749865,441896.33224493806,32.6,50.0,3.0,0.3,250.0,1.0,11.928774182041634,0.009548945821536698,0.0,nan,nan,nan,0
gru_delay_screen_full_case1_d1,case1,full,10,99010,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.11840277777777748,0.40429413566337247,1.797721026926164,30.53125000000027,1.2308573272569043,2.472465545030086,441898.88758135017,35.2,50.0,3.0,0.3,250.0,1.0,9.667327261833446,0.013571107347890363,0.0,nan,nan,nan,0
gru_delay_screen_full_case1_d1,case1,full,11,99011,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.1114583333333341,0.36666959033175395,1.8281105759690193,30.143750000000292,1.3109626998409571,2.994153718331753,441789.31831070315,32.300000000000004,50.0,3.0,0.3,250.0,1.0,12.64179192385649,0.015689404776419606,0.0,nan,nan,nan,0
gru_delay_screen_full_case1_d1,case1,full,12,99012,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.12395833333333192,0.3492503615128128,1.7026436081886562,31.437500000000288,1.3588694107156094,2.346925290648313,441876.00406427885,33.550000000000004,50.0,3.0,0.3,250.0,1.0,12.373523074966196,0.018792594637587673,0.0,nan,nan,nan,0
