condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
gru_delay_screen_full_case1_d5,case1,full,1,99001,0,3,3,1,1,1,0.19999999999998863,0.08888888888888384,0.4387646305854811,1.9317416890118195,32.90000000000027,1.9317416890118195
gru_delay_screen_full_case1_d5,case1,full,1,99001,1,3,3,1,1,1,0.30000000000000426,0.12222222222222474,0.29786758628117516,1.8430799774286413,30.5000000000003,1.3461776175514075
gru_delay_screen_full_case1_d5,case1,full,1,99001,2,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.46324588044299864,2.04880832678011,31.700000000000315,1.8468567181009223
gru_delay_screen_full_case1_d5,case1,full,1,99001,3,3,3,1,1,1,0.25000000000000355,0.08888888888889095,0.3610548327625061,2.187345012207059,30.350000000000296,2.0726648702684334
gru_delay_screen_full_case1_d5,case1,full,1,99001,4,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.38528895817294834,1.9476194754516705,30.400000000000297,1.9476194754516705
gru_delay_screen_full_case1_d5,case1,full,1,99001,5,2,2,1,1,1,0.3499999999999801,0.17499999999999005,0.38240062036361,1.845463979217767,32.950000000000266,1.5643304659586992
gru_delay_screen_full_case1_d5,case1,full,1,99001,6,2,2,1,1,1,0.2999999999999936,0.1499999999999968,0.40764137536133793,1.805762637171681,32.15000000000031,1.805762637171681
gru_delay_screen_full_case1_d5,case1,full,1,99001,7,2,2,1,1,1,0.2499999999999858,0.1249999999999929,0.35448583979905546,2.7572098862308403,32.75000000000028,1.9169301815958908
gru_delay_screen_full_case1_d5,case1,full,2,99002,0,3,3,1,1,1,0.3999999999999915,0.16666666666666194,0.3883613016010197,1.2639381646712244,32.20000000000031,1.2639381646712244
gru_delay_screen_full_case1_d5,case1,full,2,99002,1,3,3,1,1,1,0.30000000000000426,0.12222222222222474,0.3645100067278093,1.46757737919091,28.900000000000276,1.10114604488671
gru_delay_screen_full_case1_d5,case1,full,2,99002,2,3,3,1,1,1,0.30000000000000426,0.13333333333333522,0.3098916426019794,2.073247583814874,31.35000000000031,2.073247583814874
gru_delay_screen_full_case1_d5,case1,full,2,99002,3,3,3,1,1,0,35.54999999999824,15.744444444443664,0.38031116827901656,2.626606547046571,63.84999999999851,2.609250474760705
gru_delay_screen_full_case1_d5,case1,full,2,99002,4,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.33959028438973116,1.9933230484962063,31.850000000000318,1.4924465307695274
gru_delay_screen_full_case1_d5,case1,full,2,99002,5,2,2,1,1,0,33.79999999999811,16.899999999999054,0.39914782236032686,2.8776062857180875,65.54999999999842,2.448318264276012
gru_delay_screen_full_case1_d5,case1,full,2,99002,6,2,2,1,1,1,0.19999999999998863,0.09999999999999432,0.36222603676357323,2.2239283554252367,34.95000000000015,2.1629345113468537
gru_delay_screen_full_case1_d5,case1,full,2,99002,7,2,2,1,1,1,0.24999999999998934,0.12499999999999467,0.44220974250778816,1.3619578081279862,32.20000000000031,0.8629446318265065
gru_delay_screen_full_case1_d5,case1,full,3,99003,0,3,3,1,1,0,0.5499999999999687,0.19999999999998863,0.37231721148746183,2.094030410249426,32.800000000000274,1.8469522772587244
gru_delay_screen_full_case1_d5,case1,full,3,99003,1,3,3,1,1,1,0.4000000000000057,0.1333333333333364,0.3475315996000354,1.9519929947988475,30.800000000000303,1.4805442255888555
gru_delay_screen_full_case1_d5,case1,full,3,99003,2,3,3,1,1,1,0.30000000000000426,0.12222222222222356,0.40403396580807915,2.255890358319203,28.55000000000027,1.9803587079276284
gru_delay_screen_full_case1_d5,case1,full,3,99003,3,3,3,1,1,1,0.34999999999999787,0.12222222222222001,0.3245541615179603,1.4551735049587584,32.100000000000314,1.4551735049587584
gru_delay_screen_full_case1_d5,case1,full,3,99003,4,2,2,1,1,1,0.09999999999999432,0.04999999999999716,0.34387564402143195,0.9250267401064736,33.75000000000022,0.9250267401064736
gru_delay_screen_full_case1_d5,case1,full,3,99003,5,2,2,1,1,1,0.2499999999999858,0.1249999999999929,0.2778937528825456,2.7166150994529046,34.200000000000195,2.3088774980863027
gru_delay_screen_full_case1_d5,case1,full,3,99003,6,2,2,1,1,1,0.350000000000005,0.1750000000000025,0.3028663286763507,1.9563296613399022,31.700000000000315,1.5100591031980422
gru_delay_screen_full_case1_d5,case1,full,3,99003,7,2,2,1,1,1,0.29999999999998295,0.14999999999999147,0.38094590423144414,1.884851930004543,32.3500000000003,1.3625624615098482
gru_delay_screen_full_case1_d5,case1,full,4,99004,0,3,3,1,1,1,0.30000000000000426,0.13333333333333405,0.4200592720141015,1.7264079349897379,31.600000000000314,1.7264079349897379
gru_delay_screen_full_case1_d5,case1,full,4,99004,1,3,3,1,1,0,0.5000000000000071,0.21111111111111333,0.4002785971711651,1.63940604912838,31.20000000000031,1.5700388425096874
gru_delay_screen_full_case1_d5,case1,full,4,99004,2,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.38349272184930205,2.409110078370898,31.500000000000313,2.246658452397341
gru_delay_screen_full_case1_d5,case1,full,4,99004,3,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.4218687653488738,1.682287248091857,30.850000000000303,1.494591472580108
gru_delay_screen_full_case1_d5,case1,full,4,99004,4,2,2,1,1,0,29.39999999999844,14.69999999999922,0.4876046611138445,2.207404114630402,59.84999999999874,2.207404114630402
gru_delay_screen_full_case1_d5,case1,full,4,99004,5,2,2,1,1,1,0.350000000000005,0.1750000000000025,0.3865198107736365,1.8889043301561839,31.050000000000306,1.8889043301561839
gru_delay_screen_full_case1_d5,case1,full,4,99004,6,2,2,1,1,1,0.09999999999999432,0.04999999999999716,0.32878982756535424,2.3322239185869345,32.3000000000003,2.099221035693523
gru_delay_screen_full_case1_d5,case1,full,4,99004,7,2,2,1,1,1,0.3499999999999801,0.17499999999999005,0.359255547709677,1.119179868317696,32.75000000000028,1.119179868317696
gru_delay_screen_full_case1_d5,case1,full,5,99005,0,3,3,1,1,1,0.3499999999999801,0.13333333333332575,0.30199057292584097,1.8847292119312569,33.25000000000025,1.5468665671061625
gru_delay_screen_full_case1_d5,case1,full,5,99005,1,3,3,1,1,1,0.350000000000005,0.13333333333333522,0.3373994210244276,2.103260471052732,31.000000000000306,1.8209188845618707
gru_delay_screen_full_case1_d5,case1,full,5,99005,2,3,3,1,1,0,29.79999999999842,13.211111111110407,0.4444165101586049,1.924319665942931,60.19999999999872,1.7753387561533271
gru_delay_screen_full_case1_d5,case1,full,5,99005,3,3,3,1,1,1,0.4500000000000064,0.1666666666666702,0.4134408645387964,2.3386025993383197,31.25000000000031,2.248285572032328
gru_delay_screen_full_case1_d5,case1,full,5,99005,4,2,2,1,1,1,0.2499999999999858,0.1249999999999929,0.3047207607210085,1.9129702092839418,33.10000000000026,1.5358347512953652
gru_delay_screen_full_case1_d5,case1,full,5,99005,5,2,2,1,1,1,0.19999999999998863,0.09999999999999432,0.3009502187461187,2.6979795925872265,34.40000000000018,2.385848407874047
gru_delay_screen_full_case1_d5,case1,full,5,99005,6,2,2,1,1,1,0.19999999999998863,0.09999999999999432,0.41988140739600743,1.6362528447276774,32.85000000000027,1.6362528447276774
gru_delay_screen_full_case1_d5,case1,full,5,99005,7,2,2,1,1,1,0.29999999999998295,0.14999999999999147,0.4565405305851362,1.870100077390429,33.70000000000022,1.870100077390429
gru_delay_screen_full_case1_d5,case1,full,6,99006,0,3,3,1,1,1,0.3499999999999801,0.1555555555555467,0.38845503387502783,1.6945790666504694,33.150000000000254,1.6945790666504694
gru_delay_screen_full_case1_d5,case1,full,6,99006,1,3,3,1,1,0,32.89999999999814,14.54444444444362,0.37970689591323437,2.4666480834844013,65.04999999999845,2.1463928610118193
gru_delay_screen_full_case1_d5,case1,full,6,99006,2,3,3,1,1,1,0.350000000000005,0.1444444444444469,0.2826505443360838,2.100543069065296,28.700000000000273,1.9333216414083785
gru_delay_screen_full_case1_d5,case1,full,6,99006,3,3,3,1,1,0,0.5500000000000078,0.2111111111111145,0.4554431766849851,1.6202345019342763,31.450000000000312,1.6202345019342763
gru_delay_screen_full_case1_d5,case1,full,6,99006,4,2,2,1,1,0,27.649999999998624,13.824999999999312,0.45467129838645426,1.8671774730919721,56.899999999998904,1.7675853752700614
gru_delay_screen_full_case1_d5,case1,full,6,99006,5,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.2918563315714613,1.2949181014954527,31.95000000000032,1.2949181014954527
gru_delay_screen_full_case1_d5,case1,full,6,99006,6,2,2,1,1,1,0.3499999999999801,0.17499999999999005,0.3159572359471441,2.4837383747409394,35.050000000000146,1.5618008996384503
gru_delay_screen_full_case1_d5,case1,full,6,99006,7,2,2,1,1,1,0.19999999999998863,0.09999999999999432,0.2952970248812422,2.86867235077185,34.1500000000002,2.3958684696396544
gru_delay_screen_full_case1_d5,case1,full,7,99007,0,3,3,1,1,1,0.40000000000000213,0.16666666666666666,0.4119270377268956,2.0141027486272303,32.05000000000032,1.5312031331161897
gru_delay_screen_full_case1_d5,case1,full,7,99007,1,3,3,1,1,1,0.20000000000000284,0.06666666666666761,0.31653334395366145,1.7395911390190886,32.00000000000032,1.3571660764699243
gru_delay_screen_full_case1_d5,case1,full,7,99007,2,3,3,1,1,0,0.5000000000000071,0.22222222222222499,0.3018987747665423,1.9827022569262123,27.10000000000025,1.9827022569262123
gru_delay_screen_full_case1_d5,case1,full,7,99007,3,3,3,1,1,1,0.4999999999999716,0.19999999999998863,0.3782539917223066,2.2101199284853923,33.25000000000025,1.7087621440153455
gru_delay_screen_full_case1_d5,case1,full,7,99007,4,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.4852886539598694,2.357332902419625,31.550000000000313,1.8114190456816437
gru_delay_screen_full_case1_d5,case1,full,7,99007,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.3685026337702201,1.6251838372821683,31.850000000000318,1.6251838372821683
gru_delay_screen_full_case1_d5,case1,full,7,99007,6,2,2,1,1,0,31.899999999998194,15.949999999999097,0.4103165245888941,2.3285724352592174,64.39999999999849,2.0215506341004392
gru_delay_screen_full_case1_d5,case1,full,7,99007,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.37871767582042426,2.275142833709663,29.350000000000282,1.9049403743870175
gru_delay_screen_full_case1_d5,case1,full,8,99008,0,3,3,1,1,1,0.350000000000005,0.13333333333333405,0.306275722785573,2.824047456666159,28.40000000000027,2.506269960940066
gru_delay_screen_full_case1_d5,case1,full,8,99008,1,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.2981726026698536,1.6452716955795303,31.550000000000313,1.6452716955795303
gru_delay_screen_full_case1_d5,case1,full,8,99008,2,3,3,1,1,0,0.70000000000001,0.25555555555556,0.35854943736645256,1.5207948157146518,30.200000000000294,1.5207948157146518
gru_delay_screen_full_case1_d5,case1,full,8,99008,3,3,3,1,1,1,0.4000000000000057,0.15555555555555736,0.3702376949457351,1.9768835651146415,31.750000000000316,1.7194709694345551
gru_delay_screen_full_case1_d5,case1,full,8,99008,4,2,2,1,1,1,0.04999999999999716,0.02499999999999858,0.37797551025787324,2.645322352452446,32.3500000000003,2.645322352452446
