condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
gru_delay_screen_no_gru_case1_d5,case1,no_gru,9,99009,0,3,3,1,1,1,0.2499999999999858,0.09999999999999432,0.3294573798295848,1.6365933897052616,32.3000000000003,1.4964755818673379
gru_delay_screen_no_gru_case1_d5,case1,no_gru,9,99009,1,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.40686554745346254,2.2667305447620927,28.850000000000275,2.2544502764777126
gru_delay_screen_no_gru_case1_d5,case1,no_gru,9,99009,2,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.3650602570883947,2.1968430525343012,30.5000000000003,2.0136925265690215
gru_delay_screen_no_gru_case1_d5,case1,no_gru,9,99009,3,3,3,1,1,1,0.09999999999999432,0.03333333333333144,0.39954837889963835,1.7114213764909956,33.35000000000024,1.7114213764909956
gru_delay_screen_no_gru_case1_d5,case1,no_gru,9,99009,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.4666148647692373,2.107021770554659,31.500000000000313,2.107021770554659
gru_delay_screen_no_gru_case1_d5,case1,no_gru,9,99009,5,2,2,1,1,0,0.5499999999999687,0.27499999999998437,0.3220165325048086,2.3013716349898865,32.800000000000274,1.6467440776429116
gru_delay_screen_no_gru_case1_d5,case1,no_gru,9,99009,6,2,2,1,1,1,0.29999999999998295,0.14999999999999147,0.36855027158348597,2.6508790236282787,32.70000000000028,2.046872334135456
gru_delay_screen_no_gru_case1_d5,case1,no_gru,9,99009,7,2,2,1,1,1,0.19999999999998863,0.09999999999999432,0.3712111634016886,2.4962139611369,32.75000000000028,1.3260979334816225
gru_delay_screen_no_gru_case1_d5,case1,no_gru,10,99010,0,3,3,1,1,1,0.2499999999999858,0.08888888888888384,0.3198360433460226,2.2276073904563343,36.00000000000009,2.07091925331085
gru_delay_screen_no_gru_case1_d5,case1,no_gru,10,99010,1,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.36720885396753516,2.127103228019259,30.750000000000302,2.127103228019259
gru_delay_screen_no_gru_case1_d5,case1,no_gru,10,99010,2,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.33195607466107885,1.775113669508217,31.20000000000031,1.570892840057206
