condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
gru_delay_screen_full_case2_d10,case2,full,5,99005,0,3,2,1,0,0,nan,nan,nan,nan,nan,2.1494920791000323
gru_delay_screen_full_case2_d10,case2,full,5,99005,1,3,1,1,0,0,nan,nan,nan,nan,nan,3.0412751398076026
gru_delay_screen_full_case2_d10,case2,full,5,99005,2,3,0,0,0,0,nan,nan,nan,nan,nan,7.900758411358544
gru_delay_screen_full_case2_d10,case2,full,5,99005,3,3,0,0,0,0,nan,nan,nan,nan,nan,6.305857401816259
gru_delay_screen_full_case2_d10,case2,full,5,99005,4,2,0,0,0,0,nan,nan,nan,nan,nan,6.0232648046369075
gru_delay_screen_full_case2_d10,case2,full,5,99005,5,2,0,0,0,0,nan,nan,nan,nan,nan,4.785641542136294
gru_delay_screen_full_case2_d10,case2,full,5,99005,6,2,0,0,0,0,nan,nan,nan,nan,nan,5.826824497778591
gru_delay_screen_full_case2_d10,case2,full,5,99005,7,2,0,0,0,0,nan,nan,nan,nan,nan,6.536756121549713
gru_delay_screen_full_case2_d10,case2,full,6,99006,0,3,0,0,0,0,nan,nan,nan,nan,nan,6.049444772895427
gru_delay_screen_full_case2_d10,case2,full,6,99006,1,3,0,0,0,0,nan,nan,nan,nan,nan,11.77446451328538
gru_delay_screen_full_case2_d10,case2,full,6,99006,2,3,0,0,0,0,nan,nan,nan,nan,nan,4.073472951532752
gru_delay_screen_full_case2_d10,case2,full,6,99006,3,3,1,1,0,0,nan,nan,nan,nan,nan,3.986874712116871
gru_delay_screen_full_case2_d10,case2,full,6,99006,4,2,0,0,0,0,nan,nan,nan,nan,nan,7.502994241084668
gru_delay_screen_full_case2_d10,case2,full,6,99006,5,2,1,1,0,0,nan,nan,nan,nan,nan,4.236818497126418
gru_delay_screen_full_case2_d10,case2,full,6,99006,6,2,1,1,0,0,nan,nan,nan,nan,nan,4.257117038710166
gru_delay_screen_full_case2_d10,case2,full,6,99006,7,2,1,1,0,0,nan,nan,nan,nan,nan,3.633500930789133
gru_delay_screen_full_case2_d10,case2,full,7,99007,0,3,0,0,0,0,nan,nan,nan,nan,nan,4.49610156675139
gru_delay_screen_full_case2_d10,case2,full,7,99007,1,3,2,1,0,0,nan,nan,nan,nan,nan,2.3588539870832066
gru_delay_screen_full_case2_d10,case2,full,7,99007,2,3,0,0,0,0,nan,nan,nan,nan,nan,5.2140403781807825
gru_delay_screen_full_case2_d10,case2,full,7,99007,3,3,1,1,0,0,nan,nan,nan,nan,nan,4.8251807791616175
gru_delay_screen_full_case2_d10,case2,full,7,99007,4,2,2,1,1,0,0.8000000000000114,0.4000000000000057,0.287348390642993,1.3324383727138174,26.250000000000238,1.2700699118005052
gru_delay_screen_full_case2_d10,case2,full,7,99007,5,2,1,1,0,0,nan,nan,nan,nan,nan,3.695950828185209
gru_delay_screen_full_case2_d10,case2,full,7,99007,6,2,0,0,0,0,nan,nan,nan,nan,nan,5.460390794370237
gru_delay_screen_full_case2_d10,case2,full,7,99007,7,2,0,0,0,0,nan,nan,nan,nan,nan,6.967147839018827
gru_delay_screen_full_case2_d10,case2,full,8,99008,0,3,0,0,0,0,nan,nan,nan,nan,nan,8.748139567819278
gru_delay_screen_full_case2_d10,case2,full,8,99008,1,3,0,0,0,0,nan,nan,nan,nan,nan,7.81495892163111
gru_delay_screen_full_case2_d10,case2,full,8,99008,2,3,0,0,0,0,nan,nan,nan,nan,nan,9.70822133286366
gru_delay_screen_full_case2_d10,case2,full,8,99008,3,3,0,0,0,0,nan,nan,nan,nan,nan,7.536652945154255
gru_delay_screen_full_case2_d10,case2,full,8,99008,4,2,0,0,0,0,nan,nan,nan,nan,nan,5.602888111454401
gru_delay_screen_full_case2_d10,case2,full,8,99008,5,2,0,0,0,0,nan,nan,nan,nan,nan,4.485060551944832
gru_delay_screen_full_case2_d10,case2,full,8,99008,6,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.47464492697003935,1.3557115543576175,29.85000000000029,1.3557115543576175
gru_delay_screen_full_case2_d10,case2,full,8,99008,7,2,2,1,1,0,0.8000000000000114,0.4000000000000057,0.5781534517146452,2.0173542197300187,27.00000000000025,1.566476225106583
