condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
gru_delay_screen_no_gru_case2_d1,case2,no_gru,1,99001,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,0,1.5565972222221696,0.37658287428446025,2.080577619381828,31.612500000000143,2.0459220493154295,2.963789173587862,441127.7467585964,51.25,50.0,3.0,0.3,400.0,1.0,11.370209462844311,0.015011795656716481,0.0,nan,nan,nan,0
gru_delay_screen_no_gru_case2_d1,case2,no_gru,2,99002,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,4,2,nan,nan,nan,nan,2.2683681366431303,3.6043762904060666,331616.71273979376,75.0,50.0,3.0,0.3,400.0,1.0,10.32274499280731,0.015215311535046704,0.0,nan,nan,nan,0
gru_delay_screen_no_gru_case2_d1,case2,no_gru,3,99003,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,6,1,nan,nan,nan,nan,2.4447949460720837,3.610597627779269,397361.0797883267,75.0,50.0,3.0,0.3,400.0,1.0,12.262976115029778,0.013800715418467169,0.0,nan,nan,nan,0
gru_delay_screen_no_gru_case2_d1,case2,no_gru,4,99004,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,1,2.478124999999931,0.3739857013518457,2.2126736962348836,32.36250000000012,2.14973252982079,2.924734053144964,441016.5797668047,47.900000000000006,50.0,3.0,0.3,400.0,1.0,11.862630444034336,0.017873332181661202,0.0,nan,nan,nan,0
gru_delay_screen_no_gru_case2_d1,case2,no_gru,5,99005,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,6,2,nan,nan,nan,nan,2.0469039154561615,3.114456492854849,397174.80407680816,75.0,50.0,3.0,0.3,400.0,1.0,10.27618191636433,0.010756646998348347,0.0,nan,nan,nan,0
gru_delay_screen_no_gru_case2_d1,case2,no_gru,6,99006,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,5,2,nan,nan,nan,nan,2.4797456793418875,4.3540741578870135,375492.33765193063,75.0,50.0,3.0,0.3,400.0,1.0,10.856413823547609,0.012896700521360625,0.0,nan,nan,nan,0
gru_delay_screen_no_gru_case2_d1,case2,no_gru,7,99007,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,6,1,nan,nan,nan,nan,2.5151360945674885,4.237232438661097,397604.7094306273,75.0,50.0,3.0,0.3,400.0,1.0,10.173947606925696,0.021811920621101856,0.0,nan,nan,nan,0
gru_delay_screen_no_gru_case2_d1,case2,no_gru,8,99008,nominal,fixed,0,0,0,0,unsuccessful_interception,6,4,0,nan,nan,nan,nan,2.528019298010011,3.865410773064099,310062.32778638403,75.0,50.0,3.0,0.3,400.0,1.0,11.62146785385384,0.019055830509777896,0.0,nan,nan,nan,0
gru_delay_screen_no_gru_case2_d1,case2,no_gru,9,99009,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,4,1,nan,nan,nan,nan,2.5049371900456343,3.6472472406157763,353614.0264093715,75.0,50.0,3.0,0.3,400.0,1.0,11.928774182041634,0.009548945821536698,0.0,nan,nan,nan,0
gru_delay_screen_no_gru_case2_d1,case2,no_gru,10,99010,nominal,fixed,0,0,0,0,unsuccessful_interception,7,6,2,nan,nan,nan,nan,2.2378645919574023,4.39122024737722,375598.2359659287,75.0,50.0,3.0,0.3,400.0,1.0,9.667327261833446,0.013571107347890363,0.0,nan,nan,nan,0
gru_delay_screen_no_gru_case2_d1,case2,no_gru,11,99011,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,7,2,nan,nan,nan,nan,2.094264183231597,3.3870298238983736,419096.1903882009,75.0,50.0,3.0,0.3,400.0,1.0,12.64179192385649,0.015689404776419606,0.0,nan,nan,nan,0
gru_delay_screen_no_gru_case2_d1,case2,no_gru,12,99012,nominal,fixed,0,0,0,0,unsuccessful_interception,6,4,0,nan,nan,nan,nan,2.68004500575755,4.19999242157705,287976.53501071554,75.0,50.0,3.0,0.3,400.0,1.0,12.373523074966196,0.018792594637587673,0.0,nan,nan,nan,0
