condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
gru_delay_screen_no_gru_case2_d3,case2,no_gru,1,99001,0,3,1,1,0,0,nan,nan,nan,nan,nan,3.1671959448799094
gru_delay_screen_no_gru_case2_d3,case2,no_gru,1,99001,1,3,0,0,0,0,nan,nan,nan,nan,nan,4.104936850930501
gru_delay_screen_no_gru_case2_d3,case2,no_gru,1,99001,2,3,2,1,0,0,nan,nan,nan,nan,nan,3.037954793661946
gru_delay_screen_no_gru_case2_d3,case2,no_gru,1,99001,3,3,3,1,1,0,0.70000000000001,0.26666666666667044,0.3345929169130651,2.0528849785795638,28.750000000000274,2.0528849785795638
gru_delay_screen_no_gru_case2_d3,case2,no_gru,1,99001,4,2,1,1,0,0,nan,nan,nan,nan,nan,3.2479504987385996
gru_delay_screen_no_gru_case2_d3,case2,no_gru,1,99001,5,2,0,0,0,0,nan,nan,nan,nan,nan,3.646830208712614
gru_delay_screen_no_gru_case2_d3,case2,no_gru,1,99001,6,2,2,1,1,0,1.050000000000015,0.5250000000000075,0.3505216476829759,1.8221469150188034,28.100000000000264,1.5819469741858885
gru_delay_screen_no_gru_case2_d3,case2,no_gru,1,99001,7,2,1,1,0,0,nan,nan,nan,nan,nan,2.093715300676047
gru_delay_screen_no_gru_case2_d3,case2,no_gru,2,99002,0,3,3,1,1,0,1.3000000000000185,0.5222222222222305,0.5373875584770095,1.712065211079894,29.600000000000286,1.712065211079894
gru_delay_screen_no_gru_case2_d3,case2,no_gru,2,99002,1,3,1,1,0,0,nan,nan,nan,nan,nan,3.4147068859226017
gru_delay_screen_no_gru_case2_d3,case2,no_gru,2,99002,2,3,2,1,0,0,nan,nan,nan,nan,nan,3.381768200016054
gru_delay_screen_no_gru_case2_d3,case2,no_gru,2,99002,3,3,2,1,0,0,nan,nan,nan,nan,nan,2.5660288897351986
gru_delay_screen_no_gru_case2_d3,case2,no_gru,2,99002,4,2,2,1,1,0,0.9500000000000135,0.47500000000000675,0.3755786924304195,0.9664565091541847,27.400000000000254,0.9322841092669846
gru_delay_screen_no_gru_case2_d3,case2,no_gru,2,99002,5,2,1,1,0,0,nan,nan,nan,nan,nan,2.4225560871412006
gru_delay_screen_no_gru_case2_d3,case2,no_gru,2,99002,6,2,2,1,1,1,0.30000000000000426,0.15000000000000213,0.5615693615111783,1.4252191248681965,30.300000000000296,1.3395410043497755
gru_delay_screen_no_gru_case2_d3,case2,no_gru,2,99002,7,2,2,1,1,0,0.5000000000000071,0.25000000000000355,0.45601654632151395,2.0225817640510253,29.25000000000028,1.575256786533556
gru_delay_screen_no_gru_case2_d3,case2,no_gru,3,99003,0,3,1,1,0,0,nan,nan,nan,nan,nan,3.4201115218204747
gru_delay_screen_no_gru_case2_d3,case2,no_gru,3,99003,1,3,1,1,0,0,nan,nan,nan,nan,nan,3.057703300153603
gru_delay_screen_no_gru_case2_d3,case2,no_gru,3,99003,2,3,1,1,0,0,nan,nan,nan,nan,nan,3.0876560978184564
gru_delay_screen_no_gru_case2_d3,case2,no_gru,3,99003,3,3,2,1,0,0,nan,nan,nan,nan,nan,3.064538288977951
gru_delay_screen_no_gru_case2_d3,case2,no_gru,3,99003,4,2,1,1,0,0,nan,nan,nan,nan,nan,3.440971488922722
gru_delay_screen_no_gru_case2_d3,case2,no_gru,3,99003,5,2,0,0,0,0,nan,nan,nan,nan,nan,5.361705793499112
gru_delay_screen_no_gru_case2_d3,case2,no_gru,3,99003,6,2,2,1,1,0,1.050000000000015,0.5250000000000075,0.5476856216039401,1.5862416807295632,28.750000000000274,1.5713193991110297
gru_delay_screen_no_gru_case2_d3,case2,no_gru,3,99003,7,2,2,1,1,0,4.699999999999733,2.3499999999998664,0.43982937351584545,2.5869861188509073,46.04999999999952,2.5869861188509073
gru_delay_screen_no_gru_case2_d3,case2,no_gru,4,99004,0,3,2,1,0,0,nan,nan,nan,nan,nan,2.7838595031123035
gru_delay_screen_no_gru_case2_d3,case2,no_gru,4,99004,1,3,3,1,1,0,1.6500000000000234,0.6888888888888983,0.37469468072319484,2.5179730575546126,29.25000000000028,2.282939481764091
