condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves,training_seed
formal_ablation_full_case1,case1,full,1,98001,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.1288194444444442,0.3786914171101375,2.159598165740952,31.20625000000028,1.6069674908452327,2.9162239871218967,441868.6107164013,33.85,50.0,3.0,0.3,250.0,1.0,10.180860960403388,0.0089974717849933,0.0,,,,0,8301
formal_ablation_full_case1,case1,full,2,98002,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.1145833333333349,0.36711933245279,1.6896111273883836,29.44375000000028,1.3811523719582408,2.9246400111664737,441781.4955913819,31.200000000000003,50.0,3.0,0.3,250.0,1.0,10.593607572973353,0.0157690976993257,0.0,,,,0,8301
formal_ablation_full_case1,case1,full,3,98003,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.1246527777777771,0.3827670873795328,1.6218303523341449,30.60000000000028,1.322805450087138,2.65228484656938,441831.8150513175,33.7,50.0,3.0,0.3,250.0,1.0,9.94028090793827,0.0123601219559328,0.0,,,,0,8301
formal_ablation_full_case1,case1,full,4,98004,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.1378472222222182,0.3892452048531927,1.5407817549311742,31.912500000000257,1.4523792312431687,2.462821330456257,441960.86788300064,34.6,50.0,3.0,0.3,250.0,1.0,11.722673762377044,0.0152847850887096,0.0,,,,0,8301
formal_ablation_full_case1,case1,full,5,98005,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.1368055555555516,0.3373163900056732,1.5259847711699288,31.46250000000025,1.1426989280310758,2.977539036033892,441898.4067259684,34.5,50.0,3.0,0.3,250.0,1.0,10.953285085438983,0.021685438051412,0.0,,,,0,8301
formal_ablation_full_case1,case1,full,6,98006,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.1208333333333329,0.3704514699649032,1.5552288829926908,31.506250000000275,1.1475749067671062,2.892800109415812,441876.4276250852,34.65,50.0,3.0,0.3,250.0,1.0,10.340562884877604,0.0141258324171416,0.0,,,,0,8301
formal_ablation_full_case1,case1,full,7,98007,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0961805555555534,0.3425253430099368,1.7373392717992324,32.10625000000027,1.4711476091952351,2.858465564465394,441955.8705805484,34.7,50.0,3.0,0.3,250.0,1.0,12.136147613444717,0.0193092122472647,0.0,,,,0,8301
formal_ablation_full_case1,case1,full,8,98008,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.1482638888888901,0.3632022959822033,1.9070229249803792,30.631250000000296,1.4175115519957944,2.485084626559843,441865.3500820417,32.5,50.0,3.0,0.3,250.0,1.0,10.876731998358514,0.0190025294213468,0.0,,,,0,8301
formal_ablation_full_case1,case1,full,9,98009,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.1479166666666661,0.416523792065281,1.694336326400912,30.200000000000266,1.3018171505307334,2.9392432478029966,441815.81223626825,34.45,50.0,3.0,0.3,250.0,1.0,11.273676745235193,0.0061988629666459,0.0,,,,0,8301
formal_ablation_full_case1,case1,full,10,98010,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.1513888888888845,0.3181589053796767,1.5486271353250878,31.86250000000027,1.2330513624273294,2.316611853648843,441923.8596209403,34.300000000000004,50.0,3.0,0.3,250.0,1.0,12.6531695146743,0.0216422892850201,0.0,,,,0,8301
formal_ablation_full_case1,case1,full,11,98011,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.1440972222222207,0.3376166639186848,1.7537746867168282,30.82500000000028,1.3521569281328776,2.6976256377311696,441873.5908815173,33.550000000000004,50.0,3.0,0.3,250.0,1.0,11.444505768208051,0.0099376220301913,0.0,,,,0,8301
formal_ablation_full_case1,case1,full,12,98012,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0975694444444432,0.3563322155175895,1.5915062519142744,31.387500000000266,1.1838220421308403,2.572838185225077,441918.30665775633,33.6,50.0,3.0,0.3,250.0,1.0,11.186718727201637,0.0140544385960521,0.0,,,,0,8301
formal_ablation_full_case1,case1,full,13,98013,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.1159722222222224,0.3907623682932236,1.4447666614901815,30.587500000000297,1.1595300455794175,2.8401343630794,441779.06908677815,32.5,50.0,3.0,0.3,250.0,1.0,11.244095277990017,0.0109719290873955,0.0,,,,0,8301
