condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
formal_ablation_full_case1,case1,full,1,98035,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.15798611111111124,0.36833176690221914,1.7244739553742212,30.66875000000028,1.399537813327369,2.8576558999338615,441841.5128998059,33.9,50.0,3.0,0.3,250.0,1.0,11.6961295644895,0.015414259680341866,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,2,98036,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,6,1.828472222222132,0.35440478899440914,1.621718891978532,35.356250000000074,1.3038808725279225,2.878583230585824,442023.8125885578,60.45,50.0,3.0,0.3,250.0,1.0,13.096688645023114,0.01483885624672164,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,3,98037,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.14965277777777972,0.3504664995768557,1.9481865692789726,30.15625000000029,1.3947619632687835,2.7818293671126826,441776.08654012496,31.950000000000003,50.0,3.0,0.3,250.0,1.0,12.255285857052298,0.008908064416573273,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,4,98038,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,6,0.16041666666666643,0.34438485456753015,1.6525458920865692,30.400000000000286,1.2872595101796431,2.4310255445299647,441826.5771128404,33.25,50.0,3.0,0.3,250.0,1.0,10.490692582007338,0.01068634161447787,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,5,98039,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.1430555555555552,0.3569688188486202,1.7740073263562413,30.612500000000267,1.400001574055257,2.9834931313061066,441788.88509855734,35.050000000000004,50.0,3.0,0.3,250.0,1.0,9.662999534460743,0.01293931243819222,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,6,98040,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.1388888888888878,0.3462202777658806,1.6122800880297534,31.01250000000028,1.3134128462085268,2.7668315321779717,441872.12838473264,33.800000000000004,50.0,3.0,0.3,250.0,1.0,10.904388992720028,0.009837405808406419,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,7,98041,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.16250000000000217,0.38526903783407196,1.5871515804489,29.637500000000287,1.2644714988162873,2.804268897540191,441798.1572088874,31.0,50.0,3.0,0.3,250.0,1.0,9.778758989385627,0.011371561157098876,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,8,98042,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.1475694444444465,0.3899229767881972,1.8837570623242432,29.21250000000028,1.5469135202133386,2.923468357704062,441745.06533044466,30.700000000000003,50.0,3.0,0.3,250.0,1.0,9.40119150427866,0.014379900484282438,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,9,98043,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.15451388888889098,0.37335688128095856,1.4926664448270275,30.018750000000292,1.0814779509266292,2.743776214467746,441827.6878239677,31.200000000000003,50.0,3.0,0.3,250.0,1.0,11.262748286981376,0.011559337950316407,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,10,98044,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,4,0.1739583333333352,0.37667904057730606,1.6739612861058872,30.425000000000274,1.4288936292335026,2.6970434139998636,441802.4872265622,34.550000000000004,50.0,3.0,0.3,250.0,1.0,11.029262450868973,0.02280401173848158,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,11,98045,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,6,0.18854166666666777,0.3368098574192555,1.5237045759971366,30.643750000000292,1.2372003207104842,2.2030062754531006,441810.4757760959,32.9,50.0,3.0,0.3,250.0,1.0,12.571757435499052,0.013456446076242749,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,12,98046,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.15381944444444517,0.36847597156947764,1.6582449440726084,31.368750000000283,1.3358206702835913,2.6687159376313714,441807.89726413495,34.75,50.0,3.0,0.3,250.0,1.0,11.930796867270248,0.015767381086723247,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,13,98047,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,4,0.18402777777777435,0.40619796016691384,1.5693818565126738,31.04375000000026,1.3084739923672526,2.4238370525976136,441826.40856973734,33.9,50.0,3.0,0.3,250.0,1.0,10.80675815178874,0.011616619297603915,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,14,98048,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,6,0.17291666666666883,0.3808840096104842,1.761240240118111,30.706250000000303,1.440417958590812,2.70026944026881,441810.20897064824,31.650000000000002,50.0,3.0,0.3,250.0,1.0,10.900847936905508,0.02025408940242642,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,15,98049,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,5,0.1701388888888912,0.3607780214137711,1.649716386596788,30.012500000000294,1.3977800324905325,2.86596317380671,441784.8446392372,31.950000000000003,50.0,3.0,0.3,250.0,1.0,10.64218384661764,0.01931540210271721,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,16,98050,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.16319444444444184,0.36691024878521605,1.8762318571884833,31.6937500000003,1.2768748431643266,2.6512418920488408,441926.88212774554,33.0,50.0,3.0,0.3,250.0,1.0,10.59825055259918,0.02055226741178254,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,17,98051,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,5,0.15104166666666577,0.3428255666477225,1.7108877313653568,29.625000000000277,1.3883321203973495,2.8314170127320106,441736.35387846024,32.9,50.0,3.0,0.3,250.0,1.0,11.201461688824866,0.02131364518080007,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,18,98052,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.13541666666666757,0.40059013325709425,1.8065108145637727,30.400000000000297,1.44409730183911,2.8406007802924083,441820.5949877569,32.300000000000004,50.0,3.0,0.3,250.0,1.0,11.968599526310049,0.009764614434721883,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,19,98053,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.13125000000000106,0.37365863390191956,1.964485481518387,29.94375000000029,1.529077842946887,2.4287952919954146,441801.9120975349,32.15,50.0,3.0,0.3,250.0,1.0,10.78058798896634,0.014477229859149753,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,20,98054,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,6,0.16249999999999862,0.3414141790969605,1.7365831489548706,31.131250000000293,1.4115312463046066,2.891463705084923,441886.6215704742,32.800000000000004,50.0,3.0,0.3,250.0,1.0,11.766407849856781,0.010114155300323982,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,21,98055,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.12812500000000032,0.38894091196383157,1.9380111500599844,30.61250000000028,1.5982979433189226,2.8809877550420215,441837.7025569808,33.9,50.0,3.0,0.3,250.0,1.0,10.923980119525833,0.015462679129275113,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,22,98056,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.14444444444444154,0.31255074804597405,1.8305049160804139,30.975000000000286,1.4084465270008444,2.6596864029764435,441829.06206900376,32.9,50.0,3.0,0.3,250.0,1.0,11.422124588406268,0.016433543181489374,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,23,98057,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.14131944444444655,0.37301051723026274,1.553014016434274,29.825000000000287,1.2623056571421214,2.8974529204995263,441804.64540067466,31.25,50.0,3.0,0.3,250.0,1.0,11.471780488872689,0.02138589817693564,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,24,98058,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.14201388888888836,0.3455304095586925,1.6209945387954647,31.125000000000263,1.2013611869236969,2.3015458207071533,441838.1276718069,34.5,50.0,3.0,0.3,250.0,1.0,11.79525223031642,0.014262645608206384,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,25,98059,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.15104166666666927,0.3762592026598024,1.7152079378496476,29.96875000000029,1.2903112618911732,2.9160207420932998,441794.25064562785,31.55,50.0,3.0,0.3,250.0,1.0,9.537214402647072,0.024422548019106927,0.0,nan,nan,nan,0
formal_ablation_full_case1,case1,full,26,98060,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,6,0.15833333333333335,0.3686999004345212,1.573723329558905,30.218750000000277,1.2714776610490959,2.8438586674465407,441727.44261732174,33.300000000000004,50.0,3.0,0.3,250.0,1.0,13.232983721725766,0.013569911620304496,0.0,nan,nan,nan,0
