condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,1,98068,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,5,0.16111111111111293,0.36490568460281925,1.658770411969349,29.981250000000273,1.4256954701677131,2.7259843843829104,441707.7448626749,33.800000000000004,50.0,3.0,0.3,250.0,1.0,10.583367494869213,0.010071006823894373,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,2,98069,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,6,0.1750000000000025,0.3972915651909355,1.5622739214497299,29.71250000000029,1.2788028179941124,2.945151440730833,441749.271525232,31.150000000000002,50.0,3.0,0.3,250.0,1.0,10.679270845820438,0.0147601218832102,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,3,98070,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.13923611111111076,0.36531890648264487,1.6662683948271035,30.056250000000265,1.436634511494455,2.719501407789185,441855.66439653764,34.2,50.0,3.0,0.3,250.0,1.0,9.361072103952107,0.02484949333771504,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,4,98071,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,4,0.2048611111111128,0.3558619600135951,1.58448237955832,30.406250000000288,1.2304657353630808,2.7777580367481547,441753.223440828,32.9,50.0,3.0,0.3,250.0,1.0,10.621229838938762,0.018040947614256952,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,5,98072,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,5,0.1902777777777797,0.35391065554410034,1.6245194818857367,30.231250000000284,1.2836401169798874,2.9885352717641602,441723.2257834623,33.2,50.0,3.0,0.3,250.0,1.0,12.01609503008615,0.011070532612493859,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,6,98073,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,5,0.1909722222222241,0.38816604325097526,1.709091207453219,29.331250000000264,1.2969768565326643,2.6270087840963017,441691.8770067077,34.15,50.0,3.0,0.3,250.0,1.0,10.729249155711559,0.017223645987881925,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,7,98074,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,6,0.16041666666666857,0.3463973594532338,1.894448782989954,29.893750000000274,1.2964248062052255,2.679490137300045,441791.6148774903,33.9,50.0,3.0,0.3,250.0,1.0,12.005100118387906,0.0160368955617046,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,8,98075,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,5,0.18333333333333607,0.3664960272259144,1.503341067371686,29.21875000000028,1.201523716031413,2.991884806147103,441637.4869885234,31.150000000000002,50.0,3.0,0.3,250.0,1.0,10.692996939471564,0.011983542978365923,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,9,98076,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,7,0.16354166666666603,0.36662793989769643,1.6526229798792342,30.087500000000283,1.4815025681322995,2.8964513477391787,441692.37396700913,32.550000000000004,50.0,3.0,0.3,250.0,1.0,11.92722241652888,0.010378272808042127,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case1,case1,no_attention_residual,10,98077,nominal,fixed,1,1,0,0,delayed_cooperative_engagement,8,8,5,0.1833333333333329,0.3781597859246475,1.6210923886717605,30.312500000000277,1.3416318953304587,2.934991202087731,441729.70326339605,33.300000000000004,50.0,3.0,0.3,250.0,1.0,13.105879286934583,0.01940099866593195,0.0,nan,nan,nan,0
