condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
formal_ablation_no_gru_case1,case1,no_gru,1,98035,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0888888888888856,0.3715093830908004,1.7190327584779257,32.381250000000264,1.2745866448885317,2.4190631905934112,442016.59805797104,35.25,50.0,3.0,0.3,250.0,1.0,11.6961295644895,0.015414259680341866,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,2,98036,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.08298611111110898,0.3650597969100767,1.8396603803378575,33.281250000000234,1.448951138430576,2.4669237987804644,442092.18388508784,36.550000000000004,50.0,3.0,0.3,250.0,1.0,13.096688645023114,0.01483885624672164,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,3,98037,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0753472222222215,0.37989922738343396,1.5839104165627882,31.850000000000293,1.287236164261629,2.49025560422483,441945.56370148074,33.35,50.0,3.0,0.3,250.0,1.0,12.255285857052298,0.008908064416573273,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,4,98038,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07083333333333308,0.36795994085106276,1.7562249415102085,32.16875000000028,1.401351146573525,2.996097750860321,442022.93230156566,35.1,50.0,3.0,0.3,250.0,1.0,10.490692582007338,0.01068634161447787,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,5,98039,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07256944444444216,0.35169164719914814,1.8359820609745663,32.262500000000244,1.464441229016765,2.980263593060058,441952.66465914715,36.6,50.0,3.0,0.3,250.0,1.0,9.662999534460743,0.01293931243819222,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,6,98040,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07013888888888689,0.35399272963909323,1.6367578070237143,32.82500000000026,1.233917605806366,2.870912758758095,442059.126294121,35.7,50.0,3.0,0.3,250.0,1.0,10.904388992720028,0.009837405808406419,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,7,98041,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.08090277777777746,0.39793777842618183,1.441588833247755,31.412500000000307,1.1632943388131494,2.5697881892894547,441983.24481201806,32.35,50.0,3.0,0.3,250.0,1.0,9.778758989385627,0.011371561157098876,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,8,98042,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07951388888888933,0.39058878825619847,1.6466325866722527,30.881250000000296,1.2792882128089036,2.5177937887472264,441919.1544610992,32.75,50.0,3.0,0.3,250.0,1.0,9.40119150427866,0.014379900484282438,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,9,98043,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0767361111111117,0.37333168434717623,1.6497174729886999,31.7187500000003,1.3413310150315603,2.8768509877046484,442006.7734661264,33.85,50.0,3.0,0.3,250.0,1.0,11.262748286981376,0.011559337950316407,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,10,98044,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.09027777777777686,0.382342713454248,1.6389568347978412,32.12500000000026,1.2756616895134418,2.646392295462347,441988.8046828136,36.050000000000004,50.0,3.0,0.3,250.0,1.0,11.029262450868973,0.02280401173848158,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,11,98045,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.08541666666666256,0.35902028535380803,1.9317391019174552,32.43125000000026,1.5339458455747625,2.850332357479036,442022.7603649747,34.300000000000004,50.0,3.0,0.3,250.0,1.0,12.571757435499052,0.013456446076242749,0.0,nan,nan,nan,0
