condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
formal_ablation_no_trust_case2,case2,no_trust,1,99035,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,5,0,nan,nan,nan,nan,2.367740934967184,3.4733246091149064,375474.1126228158,75.0,50.0,3.0,0.3,400.0,1.0,11.54746919070206,0.018354165003553073,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,2,99036,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,5,0,nan,nan,nan,nan,2.5570948297388787,3.652525416847551,331537.6592908451,75.0,50.0,3.0,0.3,400.0,1.0,8.552943240924401,0.008641844456872052,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,3,99037,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,5,0,nan,nan,nan,nan,2.614567767012237,4.02487019192619,375335.9601098399,75.0,50.0,3.0,0.3,400.0,1.0,10.713014922789327,0.01684886058819407,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,4,99038,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,7,0,nan,nan,nan,nan,2.0597858607804627,3.054009024185944,419246.8795722778,75.0,50.0,3.0,0.3,400.0,1.0,9.579609347991815,0.01688267377129962,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,5,99039,nominal,fixed,0,0,0,0,unsuccessful_interception,7,5,0,nan,nan,nan,nan,2.3423036934542387,3.474332171436603,353132.3430910179,75.0,50.0,3.0,0.3,400.0,1.0,9.910521802930646,0.014774031192854198,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,6,99040,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,7,0,nan,nan,nan,nan,2.0879737948077697,3.6603766437544127,418877.12281533936,75.0,50.0,3.0,0.3,400.0,1.0,10.080772992963904,0.021243773691200844,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,7,99041,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,5,0,nan,nan,nan,nan,2.281436283830989,4.067666558571649,375261.5790076819,75.0,50.0,3.0,0.3,400.0,1.0,10.28487130924016,0.011460260430974109,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,8,99042,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,5,0,nan,nan,nan,nan,2.2666972071711267,3.526721965466546,375121.294875696,75.0,50.0,3.0,0.3,400.0,1.0,11.066784862635636,0.013390216748961934,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,9,99043,nominal,fixed,1,0,0,0,incomplete_cooperative_group,8,4,0,nan,nan,nan,nan,2.346484823610022,4.5011704806156905,331355.6641625503,75.0,50.0,3.0,0.3,400.0,1.0,10.509328942760737,0.018461796834696953,0.0,nan,nan,nan,0
formal_ablation_no_trust_case2,case2,no_trust,10,99044,nominal,fixed,0,0,0,0,unsuccessful_interception,7,5,0,nan,nan,nan,nan,2.5474618125784447,3.639537905053274,353445.6811008321,75.0,50.0,3.0,0.3,400.0,1.0,9.675934618548494,0.020166209739713805,0.0,nan,nan,nan,0
