update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,actor_update_fraction,completed_episodes,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
1,1024,331568.6427201773,0.0,0.0,0.75,0.875,0.75,0.75,0.13333333333333522,0.8000000000000002,1.1102230246251565e-16,0.19551306180832642,0.8044869381916736,0,-0.011580701416824013,1.2321030169725418,2.761000657081604,0.18984442255943573,0.8769052594900131,1.30169617831707,6.185970041155815,0.09852612533569335,0.0002998847409179881,22.001245737075806
2,2048,264675.97181764804,0.0,0.0,0.9,1.0,0.875,0.75,0.3857142857142729,0.7704354128741641,0.021958174408770896,0.18996850012115338,0.8100314998788466,1,-0.004521407233551144,0.37337280809879303,2.7601863622665403,-0.08445467669742057,1.1391061335802077,2.639959101378918,1.411028301715851,0.17116021816536253,0.0002995391413931026,45.38466763496399
3,3072,242990.31028149277,1.0,0.0,1.0,1.0,1.0,0.875,3.081249999999832,0.7491895065542329,0.036581419589307,0.2420528997816064,0.7579471002183936,1,-0.0013945739017799496,0.27409304194152356,2.7533788800239565,0.00566870608278931,1.0048359990119935,1.9363190859556199,1.3505712002515793,0.33037847894656525,0.00029896373431476147,67.26164031028748
4,4096,419088.9660112411,0.0,0.0,0.95,1.0,0.875,0.75,3.7928571428569358,0.7491895065542329,0.036581419589307,0.2909985712017781,0.7090014287982219,0,-0.003123977477662265,0.518951004743576,2.7395779967308043,0.014522413790009204,0.9882402181625366,1.3853859841823577,1.213083305954933,0.2879896317042477,0.00029815940691897306,89.30552577972412
5,5120,353691.3662758097,0.0,0.0,0.95,1.0,0.875,0.75,3.7928571428569358,0.7271389404909873,0.053071630666186656,0.2582829504232164,0.7417170495767835,1,0.0003272202564403415,0.3580679394304752,2.724466121196747,0.005721943514326267,0.9839668571949005,1.5467668563127517,1.752928826212883,0.2001189756479915,0.00029712739942028293,111.87459874153137
6,6144,67297.76366779208,0.0,0.0,0.95,1.0,0.875,0.75,0.19999999999999776,0.7070478763210095,0.06876370884809099,0.2837584950261007,0.7162415049738994,1,-0.004612497356720269,0.08431830237968825,2.7113157629966738,0.005982679934890767,0.9619290769100189,0.8999023877084256,0.4368852857500315,0.08477926429997218,0.00029586930309945264,134.28873944282532
7,7168,418883.3675825596,0.0,0.0,0.95,1.0,0.875,0.75,3.9571428571426415,0.7070478763210095,0.06876370884809099,0.3441117764471058,0.6558882235528942,0,0.015326696867123245,0.44370449483394625,2.7027491688728333,0.03196230344637705,0.9669631689786911,3.78993963599205,1.8560187324881554,0.5314410000000002,0.00029438705784982027,156.3457911014557
8,8192,331625.6807009927,0.0,0.0,0.95,1.0,0.875,0.75,3.9571428571426415,0.6890058224392576,0.07993045257493742,0.29152308752584427,0.7084769124741558,1,-0.0023231369210407137,0.26180526316165925,2.68555828332901,-0.003505403144639896,1.0124067395925522,1.3120490163564682,1.070346251875162,0.0984770902183612,0.0002926829491861255,178.8565649986267
9,9216,66445.9808181629,0.0,0.0,0.9,1.0,0.875,0.75,0.2928571428571343,0.6700560362575191,0.0910472187134964,0.3268396427052318,0.6731603572947682,1,-0.007017696491675452,0.07095081238076091,2.67391459941864,0.02090115972388429,0.9438205152750015,1.036213281750679,0.4445470705628395,0.13083690825684027,0.0002907596047204114,202.00086760520935
10,10240,418462.5916336179,0.0,0.0,0.95,1.0,0.875,0.75,3.821428571428363,0.6558517242330699,0.0998036633816279,0.354639175257732,0.6453608247422681,1,-0.004094749083742499,0.3052802786231041,2.663776969909668,0.012241930268834,1.0005574107170105,4.974474668502808,0.8442818477749825,0.47829690000000014,0.00028861999011043737,224.36699676513672
