update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,actor_update_fraction,completed_episodes,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
1,1024,397654.3941824138,0.0,0.0,0.9,1.0,0.75,0.75,0.13333333333333522,0.8000000000000002,1.1102230246251565e-16,0.1982158932809559,0.8017841067190441,0,-0.020651716842257882,2.0593655467033387,2.7574509263038633,0.23790743493864636,0.8732480734586716,1.236316204071045,3.4894312608987095,0.029192926025390625,0.0002998847409179881,21.13267469406128
2,2048,221527.21858296916,0.0,0.0,0.95,1.0,0.875,0.75,3.728571428571225,0.7706293831617183,0.02173633309168735,0.19968415511493245,0.8003158448850676,1,-0.01208915440365672,0.32427689991891384,2.7514854788780214,-0.10626702501021068,1.1838052153587342,3.554898799955845,1.8623033255338668,0.23478767923918048,0.0002995391413931026,41.88676357269287
3,3072,617687.4569990188,1.0,1.0,1.0,1.0,1.0,1.0,0.10625000000000062,0.7468552175637526,0.03839422343892211,0.23177795655671762,0.7682220434432824,1,0.002648966363631189,0.7051750093698501,2.7394300580024717,-0.004673003298562062,1.0092541038990022,0.9585900187492371,2.695595678687096,0.09788991968787115,0.00029896373431476147,62.986672163009644
4,4096,353660.0101483762,1.0,0.0,1.0,1.0,1.0,0.875,0.2562499999999934,0.7248370050882346,0.055248063104062516,0.2646987070017077,0.7353012929982923,1,0.004147754516452551,0.3825665347278118,2.7321932792663572,0.00805547173779777,1.013627552986145,2.620158690214157,1.9472130298614503,0.38878600280073433,0.00029815940691897306,83.33762741088867
5,5120,110652.60647203028,0.0,0.0,0.9,1.0,0.75,0.75,0.13333333333333522,0.702364531730055,0.0693424799836928,0.3070940819423369,0.6929059180576631,1,-0.004250008799135685,0.08120146424043924,2.7194810271263123,-0.02033678232577536,1.014616098999977,1.7857062265276908,0.5687016174197197,0.07204283123327695,0.00029712739942028293,102.7946388721466
6,6144,375664.7408631444,0.0,0.0,0.85,0.875,0.875,0.875,0.1142857142857159,0.702364531730055,0.0693424799836928,0.3134822950198826,0.6865177049801174,0,-0.001778875314630568,0.39160922467708587,2.71264488697052,0.013071493656020294,0.9910380035638809,1.0551549583673476,1.588669777661562,0.025119782014806573,0.00029586930309945264,122.5377197265625
7,7168,419726.8163940236,1.0,0.0,1.0,1.0,1.0,0.875,0.24999999999999378,0.6847340317443262,0.08327599546396645,0.32644792245968063,0.6735520775403194,1,0.0041156459599733354,0.40753082036972044,2.7147890448570253,0.024381694466599612,0.9889901340007782,2.0271375238895417,2.462645623087883,0.22447657799476256,0.00029438705784982027,143.03568863868713
8,8192,67201.36709706765,0.0,0.0,0.95,1.0,0.875,0.75,0.2928571428571343,0.6662865102441383,0.0953982297862433,0.33697916666666666,0.6630208333333333,1,0.0010352742508985102,0.08267176682129503,2.7080820083618162,-0.005678672048248057,1.005462884902954,0.7473519623279572,0.9120053377002477,0.033692730106842275,0.0002926829491861255,162.94808387756348
9,9216,397069.59442412853,0.0,0.0,0.9,1.0,0.75,0.75,0.1416666666666687,0.6662865102441383,0.0953982297862433,0.40848,0.59152,0,0.0008983344654552638,0.3056602217257023,2.7038830637931826,0.029502795199490617,0.9627495229244232,2.659507989883423,1.5316319525241853,0.3717118026115195,0.0002907596047204114,182.6317174434662
10,10240,353723.1915184818,0.0,0.0,0.9,1.0,0.75,0.75,0.1416666666666687,0.6495909995809722,0.10586714622414459,0.34464979773141907,0.655350202268581,1,-0.0009435645770281553,0.21694310978055,2.691670846939087,-0.006272420729510486,1.0082160204648971,1.006868302822113,2.2515087559819222,0.06199105272062908,0.00028861999011043737,203.32179260253906
11,11264,1524.0632250271738,0.0,0.0,0.8,0.875,0.75,0.75,0.13333333333333522,0.6346342358837765,0.11596777943626521,0.3648743016759777,0.6351256983240223,1,-0.00620804384816438,0.011561022675596177,2.6818000197410585,0.02358141215418108,0.9615323394536972,1.1945693373680115,1.0465229019522666,0.16946804037501975,0.00028626740448684966,223.80086398124695
12,12288,441049.5302951224,1.0,0.0,1.0,1.0,1.0,0.875,0.20624999999999627,0.6237552078689901,0.12481617565914997,0.4192481939512673,0.5807518060487327,1,9.62668564170599e-05,0.2654228910803795,2.6727224588394165,0.020156205410464034,0.9731547087430954,1.2188312470912934,1.5022679671645165,0.16678197193507568,0.00028370547536616097,243.77938294410706
13,13312,353551.4588190317,0.0,0.0,0.8,0.875,0.75,0.75,0.13333333333333522,0.6237552078689901,0.12481617565914997,0.4291873248544945,0.5708126751455055,0,6.677634082734585e-05,0.19201617762446405,2.6636508107185364,0.005288542612955793,1.0035633593797684,1.9817727297544478,1.6781673684716225,0.2384647848242412,0.0002809381530573832,263.8104064464569
14,14336,463571.7188797742,0.0,0.0,0.95,1.0,0.875,0.875,0.18571428571428328,0.6113485117901513,0.13242455065240546,0.402020716590253,0.5979792834097469,1,-0.001603918382897973,0.24473715648055078,2.649873948097229,0.015002921378729328,0.9807530134916306,1.1413692831993103,2.45340518951416,0.1683737466123797,0.0002779697045709368,284.0567181110382
15,15360,22802.782782547176,0.0,0.0,0.95,1.0,0.875,0.875,0.12142857142857315,0.6028959504475526,0.1395217355507534,0.43271954674220964,0.5672804532577904,1,0.00020347301615402101,0.02521721547818743,2.6431065917015077,-0.0047724764579275105,0.9419437766075134,0.8476499013602734,0.7049525067210197,0.03790799413706172,0.00027480470703923057,303.78634667396545
16,16384,419333.88003630936,0.0,0.0,0.95,1.0,0.875,0.75,0.49999999999998124,0.6028959504475526,0.1395217355507534,0.4605543710021322,0.5394456289978679,0,0.00477528776973486,0.21185600347816944,2.6417506098747254,0.028341130492845368,0.9895980328321456,2.1428592681884764,1.7196358188986778,0.22583680058787492,0.00027144804065905466,323.69667744636536
17,17408,375634.9220322333,0.0,0.0,0.95,1.0,0.875,0.75,0.49999999999998124,0.5925334179747804,0.14591806696650136,0.4076701030927835,0.5923298969072165,1,-0.00497431680560112,0.1703848771750927,2.6348760604858397,0.01595511105843501,0.9336008369922638,1.3772803783416747,1.1724705070257186,0.1620255624406481,0.0002679048811666714,343.7716703414917
18,18432,45033.64294269681,0.0,0.0,0.95,1.0,0.875,0.75,3.885714285714073,0.5834589917757402,0.15125274070263237,0.4319676860934795,0.5680323139065205,1,-0.003482172189978883,0.04001239433418959,2.6245202898979185,0.01140888564431206,0.9822938859462738,1.112366111576557,0.5650892049074173,0.10296181012091758,0.0002641806918572047,363.33940982818604
19,19456,441080.36535810307,1.0,0.0,1.0,1.0,1.0,0.875,0.2687499999999927,0.5776844150106062,0.1566388691722459,0.46882762046696475,0.5311723795330353,1,0.002052639052271843,0.2283877119421959,2.616724669933319,0.022712853563317825,0.970815098285675,2.0001825273036955,1.7647308826446533,0.18174660192309686,0.00026028121516063503,383.0821487903595
20,20480,375614.6659947336,0.0,0.0,0.85,0.875,0.875,0.875,0.1285714285714304,0.5776844150106062,0.1566388691722459,0.4617831325301205,0.5382168674698795,0,-0.0038703981786966323,0.15809499174356462,2.6127026677131653,0.024598480481702455,0.9511424660682678,1.2316984593868257,2.1771329760551454,0.24146898968153135,0.0002562124637873889,403.0957381725311
