update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,actor_update_fraction,completed_episodes,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
1,1024,375645.70125952736,0.0,0.0,0.85,0.875,0.875,0.875,0.12142857142857315,0.8000000000000002,1.1102230246251565e-16,0.1866601514781334,0.8133398485218666,0,-0.010863938461989164,0.6172000169754028,2.761224102973938,0.1980254870888054,0.8827364504337311,1.2575758874416352,5.322242400050163,0.14778918800354002,0.0002998847409179881,21.18150305747986
2,2048,177616.07286802307,0.0,0.0,0.9,1.0,0.875,0.875,0.12142857142857315,0.7709559890542134,0.021230202741721178,0.19227215455690885,0.8077278454430912,1,-0.004266179911792278,0.2488486237823963,2.7581855177879335,-0.052440214499528626,1.095123040676117,1.6585635483264922,2.1211297690868376,0.1026961308992175,0.0002995391413931026,42.086721658706665
3,3072,220179.37026848237,0.0,0.0,0.85,1.0,0.75,0.75,0.12500000000000178,0.7400307084959461,0.03890961577644933,0.21407129455909943,0.7859287054409005,1,0.0053689229302108284,0.3264998123049736,2.7464882493019105,-0.06446729646371215,1.0628336071968079,2.0394362986087797,1.9717468619346619,0.10704262717868705,0.00029896373431476147,62.646644115448
4,4096,375732.58146232367,0.0,0.0,0.85,1.0,0.75,0.75,0.12500000000000178,0.7400307084959461,0.03890961577644933,0.2660989888238425,0.7339010111761576,0,0.0008697984623722733,0.5716302931308747,2.7312851905822755,-0.039831125727179506,1.0641052722930908,4.6245603322982785,1.6003800868988036,0.28242953648100017,0.00029815940691897306,83.74939775466919
5,5120,353638.51083294675,0.0,0.0,0.9,1.0,0.75,0.75,0.12500000000000178,0.7158248682637122,0.055259921376041674,0.2644661776691117,0.7355338223308884,1,0.0009349900152301416,0.46622158735990527,2.7148308992385863,0.014565056951795802,0.9949749827384948,1.9035808563232421,1.2410710014402866,0.4486862423074082,0.00029712739942028293,105.1564872264862
6,6144,65503.39166567568,0.0,0.0,0.9,1.0,0.875,0.75,3.957142857142641,0.6906429472164402,0.07026746649340039,0.3093297854648262,0.6906702145351737,1,-0.004255098639987409,0.11576756238937377,2.6989890575408935,-0.08779564855386549,1.0848713040351867,1.8557786792516708,0.37598410397768023,0.05454977230054827,0.00029586930309945264,125.81246399879456
7,7168,353654.9225271344,0.0,0.0,0.8,0.875,0.75,0.75,0.13333333333333522,0.6906429472164402,0.07026746649340039,0.3158493787347055,0.6841506212652945,0,0.009178945224266499,0.47607928663492205,2.690820097923279,0.01659270338948482,0.9945784598588944,4.238624387979508,1.1575761318206788,0.38742048900000015,0.00029438705784982027,146.77722024917603
8,8192,419611.70555963553,0.0,0.0,0.95,1.0,0.875,0.75,0.7071428571428261,0.6705442961972461,0.0839659830080594,0.3242368944923689,0.6757631055076311,1,0.002132826135493815,0.5312066793441772,2.677284896373749,0.012124159328386891,1.0004183679819107,1.976162239909172,1.379704086482525,0.49854026923045347,0.0002926829491861255,167.9236490726471
9,9216,66809.45721734315,0.0,0.0,0.95,1.0,0.875,0.75,0.328571428571419,0.6525488923461266,0.09569022788958174,0.36777531411677755,0.6322246858832224,1,-0.002353637607302517,0.10829957276582718,2.6625944137573243,-0.08399589597571627,1.0700660228729248,1.5534832537174226,0.27689487095922233,0.06061085811172028,0.0002907596047204114,188.78355765342712
10,10240,331012.2170445174,0.0,0.0,0.75,0.875,0.75,0.75,0.1416666666666687,0.6525488923461266,0.09569022788958174,0.3803039273731991,0.6196960726268008,0,0.011339790653437376,0.40685323923826217,2.651176869869232,0.022634201798947297,0.9894583135843277,4.375730907917022,1.1152023553848267,0.32498016129818313,0.00028861999011043737,209.49762773513794
11,11264,397128.17675665766,0.0,0.0,0.9,1.0,0.875,0.75,0.44285714285712735,0.6339509240495279,0.10528990686135171,0.3671331467413035,0.6328668532586965,1,0.0002292717108502984,0.4533098295331001,2.63753365278244,0.011096756531332352,1.0005207508802414,1.376927775144577,1.5668966740369796,0.33873457492229697,0.00028626740448684966,230.64202976226807
12,12288,45135.0898546204,0.0,0.0,0.85,1.0,0.625,0.625,0.10000000000000142,0.6188030645878252,0.11541429626575347,0.4261536725713641,0.573846327428636,1,-0.00461612285580486,0.09605186171829701,2.6221129417419435,-0.08256441467167364,1.0804953932762147,1.3754728719592095,1.3661228094249964,0.04118221641321144,0.00028370547536616097,251.4823989868164
13,13312,441093.9158957377,1.0,0.0,1.0,1.0,1.0,0.875,3.212499999999825,0.6090509905308429,0.12321892058922672,0.41838253535102954,0.5816174646489705,1,0.004449329432100057,0.5466502666473388,2.612556505203247,0.032533268013450044,0.9639901399612427,2.9832572996616364,1.132508523762226,0.5048209328491119,0.0002809381530573832,272.3138041496277
14,14336,375801.9083414376,0.0,0.0,0.85,1.0,0.75,0.75,0.13333333333333522,0.6090509905308429,0.12321892058922672,0.4046619247579056,0.5953380752420945,0,-3.965805663028732e-05,0.44283741265535354,2.59922878742218,-0.015966473505088487,1.0261258900165557,1.3593810677528382,1.448671893030405,0.11365637070941753,0.0002779697045709368,293.45997047424316
15,15360,375557.3043852819,0.0,0.0,0.9,1.0,0.875,0.75,4.15714285714263,0.5953660335653118,0.13129914528359857,0.4124475179056557,0.5875524820943443,1,0.008390904578845948,0.39202875196933745,2.588966929912567,0.008956651663566855,0.9946922183036804,4.037633496522903,0.6706132367253304,0.34867844010000015,0.00027480470703923057,314.7352476119995
16,16384,44730.34945537709,0.0,0.0,0.9,1.0,0.75,0.75,0.1416666666666687,0.5860619707761596,0.137294360837655,0.49110381758507515,0.5088961824149248,1,-0.0011400116141885518,0.06788570675998926,2.5763072609901427,-0.024769703564304052,1.0361578226089478,1.7423155277967453,0.2814494431018829,0.042391158275216244,0.00027144804065905466,335.2639374732971
