episode,seed,defender_id,target_index,target_id,hit_time_s,min_distance_m,miss_at_arrival_m
1,74001,0,0,20,37.6,0.8892678269858568,0.8892678269858568
1,74001,1,0,20,37.65,0.45855245355917623,0.45855245355917623
1,74001,2,2,22,34.050000000000004,0.9670359059279892,0.9670359059279892
1,74001,3,3,23,33.0,0.9885318277130872,0.9885318277130872
1,74001,4,4,24,38.900000000000006,1.8043807984235873,1.8043807984235873
1,74001,5,4,24,38.900000000000006,1.6645213248806827,1.6645213248806827
1,74001,6,7,27,35.35,1.649133585655899,1.649133585655899
1,74001,7,1,21,34.6,2.6386539048877684,2.6386539048877684
1,74001,8,0,20,37.65,2.2748573842833477,2.2748573842833477
1,74001,9,1,21,34.550000000000004,0.3504292554632561,1.6603645423035613
1,74001,10,2,22,34.0,0.16021525536090345,0.16021525536090345
1,74001,11,3,23,32.95,0.07346706175769147,0.07346706175769147
1,74001,12,5,25,39.0,1.7902631715936486,1.7902631715936486
1,74001,13,5,25,39.0,0.5099367831681653,0.5099367831681653
1,74001,14,7,27,35.300000000000004,0.3776819727969948,2.3569635282698704
1,74001,15,7,27,35.35,0.2598471785862727,0.2598471785862727
1,74001,16,6,26,35.5,1.471264266349119,1.471264266349119
1,74001,17,1,21,34.6,1.68255254520286,1.68255254520286
1,74001,18,5,25,39.0,1.9287953475904012,1.9287953475904012
1,74001,19,3,23,32.95,0.45740085869776786,1.8078698558447066
2,74002,0,6,26,35.15,0.6269708370184757,1.7592054451427157
2,74002,1,6,26,35.2,2.528297611037539,2.528297611037539
2,74002,2,5,25,39.900000000000006,2.6349054566316696,2.6349054566316696
2,74002,3,3,23,32.65,2.3108099488544447,2.3108099488544447
2,74002,4,4,24,38.7,1.061949565349814,1.061949565349814
2,74002,5,4,24,38.7,0.887547489993671,0.887547489993671
2,74002,6,0,20,39.45,0.26789558311399236,0.26789558311399236
2,74002,7,7,27,34.6,0.017118483199906602,0.017118483199906602
2,74002,8,0,20,39.45,0.22699696990325124,0.22699696990325124
2,74002,9,1,21,35.0,0.8841297368184174,0.8841297368184174
2,74002,10,2,22,33.6,0.20658056813606035,2.1863894345084844
2,74002,11,3,23,32.6,0.8667000730853074,1.2246901538351267
2,74002,12,2,22,33.7,0.05107977754715247,0.05107977754715247
2,74002,13,5,25,39.85,0.41193309141472245,1.4892057692285383
2,74002,14,1,21,35.1,2.934801485022529,2.934801485022529
2,74002,15,7,27,34.6,0.4671742274562971,0.4671742274562971
2,74002,16,6,26,35.2,2.923289102004305,2.923289102004305
2,74002,17,1,21,35.050000000000004,0.8980884528922369,0.8980884528922369
2,74002,18,2,22,33.65,0.7204166211759689,0.7204166211759689
2,74002,19,3,23,32.65,0.11738556399356144,0.11738556399356144
3,74003,0,7,27,35.1,0.42088145421489415,0.42088145421489415
3,74003,1,7,27,35.1,0.5557842653511571,2.535577945273526
3,74003,2,5,25,38.050000000000004,0.3859964579866406,0.3859964579866406
3,74003,3,3,23,32.35,0.12224809987875648,0.12224809987875648
3,74003,4,4,24,38.75,1.6831626271985574,1.6831626271985574
3,74003,5,4,24,38.75,1.55524212220406,1.55524212220406
3,74003,6,6,26,35.85,0.9586539967746932,1.1801892068272102
3,74003,7,2,22,34.25,0.4900611498864974,0.4900611498864974
3,74003,8,1,21,36.35,1.0489718095893217,1.0489718095893217
3,74003,9,0,20,36.550000000000004,0.501978472933516,0.501978472933516
3,74003,10,6,26,36.050000000000004,1.2614708594505288,1.2614708594505288
3,74003,11,3,23,32.25,0.3937151685821146,1.9866209715648988
3,74003,12,5,25,38.0,0.8297935754322854,0.8297935754322854
3,74003,13,4,24,38.7,0.9141226169038394,2.9740466772080696
3,74003,14,6,26,35.800000000000004,0.9077769953399564,1.229038094128279
3,74003,15,0,20,36.6,0.6931368900852851,0.6931368900852851
3,74003,16,7,27,35.15,1.2647385132856996,1.2647385132856996
3,74003,17,1,21,36.300000000000004,0.9067385141618285,2.7908412338074555
3,74003,18,2,22,33.95,0.4612713124974047,2.4400406720314467
3,74003,19,2,22,34.25,0.34193168900042,0.34193168900042
4,74004,0,6,26,34.85,0.7307788131978964,0.7307788131978964
4,74004,1,1,21,35.45,0.33920091612081826,0.33920091612081826
4,74004,2,5,25,40.6,2.755570648065272,2.755570648065272
4,74004,3,3,23,34.0,0.8590865696688307,0.8590865696688307
4,74004,4,3,23,34.1,0.5240067576559614,0.5240067576559614
4,74004,5,5,25,40.550000000000004,0.9329994487778278,2.832710953821925
4,74004,6,1,21,35.5,1.9200505456104628,1.9200505456104628
4,74004,7,6,26,34.9,0.15514052888995908,0.15514052888995908
4,74004,8,7,27,35.45,0.2518638550885269,2.231846958060941
4,74004,9,0,20,36.7,0.8631055954272148,0.8631055954272148
4,74004,10,6,26,35.15,1.433579204929043,1.433579204929043
4,74004,11,7,27,36.6,0.04374407034878161,0.04374407034878161
4,74004,12,4,24,35.0,0.5416084402480167,0.5416084402480167
4,74004,13,2,22,35.6,0.5539791397020338,2.5250277361351396
4,74004,14,1,21,35.5,2.43690970136876,2.43690970136876
4,74004,15,0,20,36.75,1.058821569423329,1.058821569423329
4,74004,16,0,20,36.75,1.9418603485651356,1.9418603485651356
4,74004,17,7,27,35.45,0.7684797220562269,1.2119461733541095
4,74004,18,2,22,35.65,0.5142141084160671,0.5142141084160671
4,74004,19,4,24,34.95,1.027923392561394,1.027923392561394
5,74005,0,6,26,35.4,0.25177749311338565,0.25177749311338565
5,74005,1,1,21,34.7,1.8973596160717001,1.8973596160717001
5,74005,2,2,22,34.4,2.6830946694444355,2.6830946694444355
5,74005,3,3,23,32.65,0.5410281405194894,0.5410281405194894
5,74005,4,4,24,38.2,1.9592767638495225,1.9592767638495225
5,74005,5,4,24,38.2,1.7958861926870047,1.7958861926870047
5,74005,6,7,27,34.75,0.9670928142774967,0.9670928142774967
