episode,seed,interceptor_hit_count,target_coverage_count,all_targets_hit,all_targets_coordinated,mission_success,E_co_time_s,E_n_g,E_miss_m,E_t_s,max_group_spread_s,mean_interceptor_min_distance_m,worst_interceptor_min_distance_m,elapsed_steps,idbo_best_cost,idbo_repaired_cost,idbo_runtime_ms,idbo_final_population_cost,idbo_final_disagreement,repair_moves,raw_counts,final_counts
1,74001,20,8,True,True,True,0.014236111111110747,0.6659978352662635,1.3448783218058087,36.00625,0.05000000000000426,1.1198394354442238,2.6386539048877684,780,0.14864883951011276,0.14864883951011276,824.8548610135913,0.15095560501071262,0.0,0,"[3, 3, 2, 3, 2, 3, 1, 3]","[3, 3, 2, 3, 2, 3, 1, 3]"
2,74002,20,8,True,True,True,0.017013888888889845,0.8648322262048753,1.2132405687561745,36.16250000000001,0.10000000000000142,1.052203532232466,2.934801485022529,798,0.0631954548277395,0.0631954548277395,837.0824419544078,0.06711198676859503,0.0,0,"[2, 3, 3, 3, 2, 2, 3, 2]","[2, 3, 3, 3, 2, 2, 3, 2]"
3,74003,20,8,True,True,True,0.05034722222222203,0.8632890251294112,1.246490094901101,35.94375,0.29999999999999716,0.7848838295378727,1.6831626271985574,775,0.1412871394668911,0.1412871394668911,838.9884820207953,0.1412871394668911,0.0,0,"[2, 2, 3, 2, 3, 2, 3, 3]","[2, 2, 3, 2, 3, 2, 3, 3]"
4,74004,20,8,True,False,False,0.10034722222222141,0.8190777073659277,1.3223836389648067,36.16875,1.1499999999999986,0.9826461688060778,2.755570648065272,812,0.1610189652793379,0.1610189652793379,836.5579979727045,0.4822910117564753,0.0,0,"[3, 3, 2, 2, 2, 2, 3, 3]","[3, 3, 2, 2, 2, 2, 3, 3]"
5,74005,20,8,True,True,True,0.01875000000000012,0.7106884940967282,1.6472846506109526,35.849999999999994,0.09999999999999432,1.1132307054431094,2.6830946694444355,770,0.04912190503648124,0.04912190503648124,837.9594610305503,0.053082646450365735,0.0,0,"[2, 3, 2, 3, 2, 3, 3, 2]","[2, 3, 2, 3, 2, 3, 3, 2]"
6,74006,20,8,True,False,False,0.15243055555555562,0.8100185015461228,1.4811586851305603,36.70625,0.9500000000000028,0.8860776870961574,2.9545373109371758,781,0.4834269639148367,0.4834269639148367,833.1373470136896,1.6929437057759618,0.0,0,"[3, 2, 3, 3, 1, 2, 3, 3]","[3, 2, 3, 3, 1, 2, 3, 3]"
7,74007,20,8,True,False,False,0.06631944444444438,0.6956732392797068,1.4726957267072016,36.025000000000006,0.8500000000000014,0.9015625976673798,2.8263620643090532,771,0.07383311167914523,0.07383311167914523,840.1577469776385,0.20592265808954405,0.0,0,"[3, 2, 2, 3, 2, 2, 3, 3]","[3, 2, 2, 3, 2, 2, 3, 3]"
8,74008,20,8,True,False,False,0.09722222222222233,0.767046758255107,1.3948022181756525,36.04375,1.5499999999999972,1.1094781776113154,2.7176881637563137,778,0.18341240966688024,0.18341240966688024,824.0686330245808,0.23528381249462602,0.0,0,"[3, 2, 3, 3, 3, 2, 3, 1]","[3, 2, 3, 3, 3, 2, 3, 1]"
9,74009,20,8,True,True,True,0.02222222222222229,0.8091647438209091,1.3102933665665135,35.7625,0.10000000000000142,1.0243758448402314,2.9568281822352485,779,0.0645077245367219,0.0645077245367219,836.0568109783344,0.07311926045161443,0.0,0,"[3, 2, 2, 2, 3, 3, 2, 3]","[3, 2, 2, 2, 3, 3, 2, 3]"
10,74010,20,8,True,True,True,0.028819444444444734,0.6598864309909493,1.3960817675166546,36.025,0.25,1.1081220710338253,2.799149700231992,769,0.08362256597621678,0.08362256597621678,839.5208889851347,0.19326668447191916,0.0,0,"[3, 3, 2, 2, 3, 2, 3, 2]","[3, 3, 2, 2, 3, 2, 3, 2]"
