episode,seed,attacker_id,radius_m,altitude_m,speed_mps,heading_bias_rad,x_m,y_m,z_m
1,74001,20,2066.844864622728,91.24798293075146,34.0,0.04,-1817.1821527446693,-984.7318001179774,91.24798293075146
1,74001,21,2087.297707971463,112.52238783797776,34.99694577619635,-0.047,-2046.1957064219441,412.1830330366881,112.52238783797776
1,74001,22,2120.2008124604145,132.39848857393193,36.792285826940756,0.054,1482.052397097145,-1516.170233653335,132.39848857393193
1,74001,23,2198.6880390235992,154.45151609669585,38.25367395645251,-0.04,1116.9802752108099,1893.8279113307585,154.45151609669585
1,74001,24,2219.8270895377013,89.18822549080987,39.701493666376784,0.047,2218.5381196679223,75.63675710751218,89.18822549080987
1,74001,25,2256.4760589147118,115.240998462169,40.735727467700656,-0.054,1929.2584708732606,-1170.3187416336787,115.240998462169
1,74001,26,2291.9924246806218,130.02615623863286,42.602675727523376,0.04,-1701.45822441183,-1535.6657140714897,130.02615623863286
1,74001,27,2309.318268520995,156.05020177463487,44.40488460030967,-0.047,-1637.673326962976,-1628.1820965355269,156.05020177463487
2,74002,20,2075.6128207473153,89.82500659908179,34.59710404723214,0.04,-1831.9917879586662,-975.6918932237961,89.82500659908179
2,74002,21,2109.653878136814,111.11236729339835,35.64828001888602,-0.047,-2064.6619062398768,433.37131707072746,111.11236729339835
2,74002,22,2138.6842896544545,135.36228662884943,37.51827747087059,0.054,1485.167914821384,-1538.9108991750888,135.36228662884943
2,74002,23,2178.340654910314,154.04610824022467,38.09529413929806,-0.04,1076.0884679942524,1893.9909233903097,154.04610824022467
2,74002,24,2209.139123709135,89.2944725334995,40.23857122328249,0.047,2208.525296442938,52.07382138847598,89.2944725334995
2,74002,25,2212.6632088769575,114.64331468495968,40.72356671580982,-0.054,1894.161447723181,-1143.691779229394,114.64331468495968
2,74002,26,2266.3684251351647,131.4055196198898,42.20587556012952,0.04,-1644.6199458500987,-1559.375218528775,131.4055196198898
2,74002,27,2272.752588137674,158.33519161013987,43.45901146303001,-0.047,-1636.0886854718283,-1577.5354639936184,158.33519161013987
3,74003,20,2078.075819069963,90.02399936813006,34.0,0.04,-1849.758507361755,-946.9913274397554,90.02399936813006
3,74003,21,2109.9291213453635,110.25630517118158,35.0191048575196,-0.047,-2059.3821991019668,459.0706428461353,110.25630517118158
3,74003,22,2131.831833764934,138.05431667211198,37.49141961605523,0.054,1469.4534371071718,-1544.478411512275,138.05431667211198
3,74003,23,2168.354449666402,155.38009208543107,38.571579828079976,-0.04,1066.8702182311295,1887.7364638210356,155.38009208543107
3,74003,24,2193.582066163159,92.4501268965741,39.35905782463869,0.047,2192.064092952059,81.59223849668966,92.4501268965741
3,74003,25,2216.9554869976996,111.00025694099278,40.582952876570445,-0.054,1905.8407213433397,-1132.5470304577668,111.00025694099278
3,74003,26,2273.8441174995746,134.67285526719107,43.08343395481501,0.04,-1656.4910361980862,-1557.6920484109846,134.67285526719107
3,74003,27,2324.5750524966293,157.41300994671576,44.40517981033389,-0.047,-1652.915981436356,-1634.4778777952286,157.41300994671576
4,74004,20,2095.966406339408,91.77907128106449,34.0,0.04,-1828.4349587429917,-1024.6466601467291,91.77907128106449
4,74004,21,2102.979354536857,113.78132224081283,35.928840847802796,-0.047,-2059.099756318991,427.35273385732313,113.78132224081283
4,74004,22,2164.3649255511104,132.1383091078042,36.76125110860807,0.054,1495.7651448973197,-1564.3408075819552,132.1383091078042
4,74004,23,2168.1326559361746,154.80317673494596,37.42481139224013,-0.04,1076.7471582412577,1881.8647058054482,154.80317673494596
4,74004,24,2203.486211428294,88.06041961141918,39.589476749836145,0.047,2201.1259988947504,101.95989870632775,88.06041961141918
4,74004,25,2255.5516158665473,108.85686617651108,41.07351343710838,-0.054,1938.1277955448074,-1153.7650280602277,108.85686617651108
4,74004,26,2251.799949790388,133.44277553124428,43.415012605075425,0.04,-1671.6035364068202,-1508.755987874847,133.44277553124428
4,74004,27,2308.600347890356,155.38859352250984,43.84088407786502,-0.047,-1664.8235173545781,-1599.374322146821,155.38859352250984
5,74005,20,2080.4665071576283,90.49899437796044,34.28904638466731,0.04,-1853.8106170843087,-944.3130219318996,90.49899437796044
5,74005,21,2083.9115918125685,112.70965041972387,35.167862542526755,-0.047,-2051.204388852393,367.76089738235197,112.70965041972387
5,74005,22,2149.834485112348,134.56760891912066,36.95299414587224,0.054,1467.7313414112425,-1570.8446844985754,134.56760891912066
5,74005,23,2176.707803816052,155.60242282463864,37.8090755339972,-0.04,1071.113497188431,1894.9334392886917,155.60242282463864
5,74005,24,2178.222091810512,85.5926561341364,39.81045580338553,0.047,2177.443144821548,58.24802418118563,85.5926561341364
5,74005,25,2223.6249359566714,111.85373744194567,40.8149308684885,-0.054,1900.11656094195,-1155.0172772051715,111.85373744194567
5,74005,26,2265.2096694720167,131.63653158170757,42.67197366122956,0.04,-1660.5938933324255,-1540.6501121593378,131.63653158170757
5,74005,27,2271.7593121748273,154.68430157832182,44.15921530853678,-0.047,-1608.3690572870473,-1604.3812975769254,154.68430157832182
6,74006,20,2072.3654734328547,89.98442383055051,34.25610348618637,0.04,-1835.700061277437,-961.719262832244,89.98442383055051
6,74006,21,2103.028343224611,109.14448292594243,35.65388378202789,-0.047,-2064.6084677752583,400.15008084061765,109.14448292594243
6,74006,22,2135.5936850482135,134.37377746397854,36.91167699962173,0.054,1446.1233380089125,-1571.4603650374925,134.37377746397854
6,74006,23,2175.6599476321953,159.3741758274911,38.29391074985249,-0.04,1017.2662265921658,1923.1915224350028,159.3741758274911
