episode,seed,attacker_id,radius_m,altitude_m,speed_mps,heading_bias_rad,x_m,y_m,z_m
1,73201,20,2064.435248013161,86.67971569361698,34.17482946854424,0.04,-1811.1627203380103,-990.748451271553,86.67971569361698
1,73201,21,2099.9036473037713,113.11129723394998,35.035833836227596,-0.047,-2058.8715864033734,413.0897222886786,113.11129723394998
1,73201,22,2149.275505421564,136.16265295064926,36.543115682985885,0.054,1473.7021560084672,-1564.4766388735611,136.16265295064926
1,73201,23,2170.602784776556,156.80101992125836,38.06767723866895,-0.04,1086.0761101788798,1879.349656710654,156.80101992125836
1,73201,24,2182.913306789208,89.47299929020951,39.86008660161626,0.047,2181.4694382955877,79.38258461229951,89.47299929020951
1,73201,25,2242.5101904273556,113.7919913034152,41.16056913817757,-0.054,1928.9430451162261,-1143.6916904779346,113.7919913034152
1,73201,26,2287.020774285842,134.80936526255877,43.166057740596145,0.04,-1699.2150733226638,-1530.7292891324926,134.80936526255877
1,73201,27,2276.5768380172385,153.48134866190935,44.14851585208182,-0.047,-1626.932197908081,-1592.4489702362675,153.48134866190935
2,73202,20,2079.990265004619,86.54020558040204,34.0,0.04,-1852.2971653962018,-946.2318498017178,86.54020558040204
2,73202,21,2095.617036117478,113.70609681643663,35.25549104931846,-0.047,-2057.8482257380506,396.069996203401,113.70609681643663
2,73202,22,2149.6180716114523,132.82075098281766,37.67438653017959,0.054,1497.339289057203,-1542.3465587358144,132.82075098281766
2,73202,23,2180.242589313865,155.7531302401587,38.538568761512764,-0.04,1062.828655379894,1903.642035037416,155.7531302401587
2,73202,24,2218.5563845864194,88.9390232683422,39.540818157205464,0.047,2216.3712378491623,98.4427123972921,88.9390232683422
2,73202,25,2219.0230604840076,111.69577346568805,41.01506381730485,-0.054,1908.7352538901519,-1131.721287913552,111.69577346568805
2,73202,26,2265.176889054377,134.59103878211965,43.145818522784616,0.04,-1659.3954342669335,-1541.8927107422621,134.59103878211965
2,73202,27,2311.655774568926,152.47033572598377,44.509794207404035,-0.047,-1647.1204614099618,-1621.9576460877443,152.47033572598377
