episode,seed,defender_id,target_index,target_id,hit_time_s,min_distance_m,miss_at_arrival_m
1,73101,0,1,21,32.15,0.31969287630678156,1.6203515642615351
1,73101,1,1,21,32.35,0.6884592053931553,0.6884592053931553
1,73101,2,2,22,nan,3.501768482497109,nan
1,73101,3,3,23,51.800000000000004,1.4640956553028304,1.4640956553028304
1,73101,4,4,24,nan,93.05173684903382,nan
1,73101,5,5,25,61.45,0.5961808013223568,2.4711563670683523
1,73101,6,6,26,33.4,1.5223918419945408,1.5223918419945408
1,73101,7,0,20,nan,226.3039818134351,nan
1,73101,8,6,26,33.4,2.6165404928270064,2.6165404928270064
1,73101,9,1,21,32.25,0.9325561452144892,2.869744651966151
1,73101,10,2,22,nan,3.5092100052456496,nan
1,73101,11,3,23,51.85,1.7655401307015763,1.7655401307015763
1,73101,12,5,25,61.550000000000004,2.116621211202613,2.116621211202613
1,73101,13,4,24,nan,90.99672200945044,nan
1,73101,14,6,26,33.35,0.5638787580610469,2.486018509688158
1,73101,15,7,27,32.15,0.36626334002904315,0.36626334002904315
1,73101,16,7,27,32.15,1.9869823394581414,1.9869823394581414
1,73101,17,0,20,nan,228.29940768652233,nan
1,73101,18,4,24,nan,90.6731403786418,nan
1,73101,19,3,23,51.800000000000004,1.521973721292136,1.521973721292136
2,73102,0,6,26,32.75,0.4204835003261125,0.4204835003261125
2,73102,1,1,21,34.800000000000004,0.3213762090680336,0.3213762090680336
2,73102,2,2,22,nan,3.312222419196551,nan
2,73102,3,3,23,52.050000000000004,1.3472608380050346,1.3472608380050346
2,73102,4,4,24,nan,14.138315567915857,nan
2,73102,5,4,24,nan,12.730939772801012,nan
2,73102,6,0,20,nan,4.053566114321048,nan
2,73102,7,7,27,32.15,0.5291940849162743,1.4558882069582033
2,73102,8,7,27,32.2,0.7713232323092853,0.7713232323092853
2,73102,9,7,27,32.1,0.8818011061723328,2.857717194234444
2,73102,10,1,21,36.6,1.7206870106534755,1.7206870106534755
2,73102,11,3,23,52.050000000000004,1.3541400112257187,1.3541400112257187
2,73102,12,0,20,nan,24.083784370203226,nan
2,73102,13,5,25,43.550000000000004,1.0335495452585004,1.0335495452585004
2,73102,14,0,20,nan,3.8434888259809186,nan
2,73102,15,6,26,32.800000000000004,0.6663414878178641,0.6663414878178641
2,73102,16,5,25,39.800000000000004,0.8055521023110945,2.7055349560577744
2,73102,17,1,21,34.800000000000004,0.25474096518198275,0.25474096518198275
2,73102,18,2,22,nan,3.1786662893867805,nan
2,73102,19,2,22,35.9,0.3001559691674972,0.3001559691674972
