episode,seed,attacker_id,radius_m,altitude_m,speed_mps,heading_bias_rad,x_m,y_m,z_m
1,73101,20,2057.7683923757313,89.67758716191558,34.26660023013466,0.04,-1832.0723958384588,-936.9746491060102,89.67758716191558
1,73101,21,2107.9764318820594,116.53993339535526,34.958191220111374,-0.047,-2062.373826828007,436.09498481984286,116.53993339535526
1,73101,22,2143.516380096169,132.68612613230732,36.37899696319163,0.054,1478.7265629352817,-1551.7829177466133,132.68612613230732
1,73101,23,2145.849544854058,157.97911453461748,38.609773380047045,-0.04,1046.2074939172078,1873.5314645934943,157.97911453461748
1,73101,24,2228.128226467409,89.70304342024926,39.58429327255836,0.047,2226.052951430853,96.14390779862156,89.70304342024926
1,73101,25,2241.839184466001,112.24564844674802,41.130581953600206,-0.054,1914.8034351951842,-1165.9205519982509,112.24564844674802
1,73101,26,2281.176779324569,135.06646006806676,42.63526010797847,0.04,-1663.4763833322181,-1560.9656692655276,135.06646006806676
1,73101,27,2299.7472919967454,157.5654436100537,44.28927057861141,-0.047,-1649.7578144812346,-1602.2286854892045,157.5654436100537
2,73102,20,2069.6191544776843,91.94074241867045,34.545268928803374,0.04,-1835.7635775126134,-955.6649685214039,91.94074241867045
2,73102,21,2140.8661740978514,112.08498948075965,35.32515254629152,-0.047,-2100.880572416671,411.83588459309124,112.08498948075965
2,73102,22,2158.5053166811435,133.56320395100153,37.05625935641049,0.054,1499.160490162076,-1552.9530021471246,133.56320395100153
2,73102,23,2151.8067471547215,155.7278621400455,38.72214787452231,-0.04,1072.4794153798412,1865.4919406652762,155.7278621400455
2,73102,24,2205.145666375754,88.11825239758879,39.85929037761144,0.047,2202.3052726079504,111.88787324366392,88.11825239758879
2,73102,25,2223.7682994331603,114.00734966537388,40.84846440632326,-0.054,1889.9481920098444,-1171.8537797364352,114.00734966537388
2,73102,26,2276.5006515224877,135.0496734476077,42.8523518261781,0.04,-1673.4113990308638,-1543.4213637162984,135.0496734476077
2,73102,27,2292.5113952308247,154.1978831031829,43.98330968584864,-0.047,-1646.545926621632,-1595.1473313737808,154.1978831031829
