case,seed,defender_id,assigned_target_id,hit,hit_time_s,recorded_hit_distance_m,trajectory_min_distance_m,trajectory_min_distance_time_s,min_distance_margin_from_hit_radius_m
case1,76014,0,20,True,31.3,1.6421023961700092,1.5913296077634846,31.35,-1.4086703922365154
case1,76014,1,21,False,,,3.160684377699248,28.35,0.16068437769924815
case1,76014,2,22,True,33.1,0.9498660177592246,0.9498660177592246,33.1,-2.0501339822407756
case1,76014,3,23,True,30.2,1.0063583316137275,1.0063583316137275,30.200000000000003,-1.9936416683862725
case1,76014,4,24,True,26.75,2.3375266761437627,2.3375266761437627,26.75,-0.6624733238562373
case1,76014,5,25,True,33.15,1.5410494194541315,1.5410494194541315,33.15,-1.4589505805458685
case1,76014,6,26,True,29.25,1.4475397535298176,1.4475397535298176,29.25,-1.5524602464701824
case1,76014,7,27,True,28.5,1.4780898346595401,1.4780898346595401,28.5,-1.5219101653404599
case1,76014,8,20,True,31.3,2.0695266758484294,0.3843192814841618,31.35,-2.615680718515838
case1,76014,9,21,True,28.35,0.6906826149187658,0.6906826149187658,28.35,-2.309317385081234
case1,76014,10,22,True,33.05,1.9797689811103063,0.9487956317525198,33.1,-2.0512043682474803
case1,76014,11,23,True,30.15,1.8781922300444738,1.294236568725339,30.200000000000003,-1.705763431274661
case1,76014,12,24,True,26.75,1.506021320162611,1.506021320162611,26.75,-1.493978679837389
case1,76014,13,25,True,33.15,1.561503034351345,1.561503034351345,33.15,-1.438496965648655
case1,76014,14,26,True,29.2,1.792298679650629,1.1325486854028255,29.25,-1.8674513145971745
case1,76014,15,27,True,28.5,1.1430068310450174,1.1430068310450174,28.5,-1.8569931689549826
case1,76014,16,20,True,31.35,0.9098308640229438,0.9098308640229438,31.35,-2.0901691359770562
case1,76014,17,21,True,28.35,1.8447929051605922,1.8447929051605922,28.35,-1.1552070948394078
case1,76014,18,22,True,33.05,1.668195243113815,0.897112661613178,33.1,-2.102887338386822
case1,76014,19,23,True,30.15,1.3696225942507922,0.9824770645748039,30.200000000000003,-2.017522935425196
case1,76048,0,20,True,31.3,1.5318622473997492,1.3454513508804224,31.35,-1.6545486491195776
case1,76048,1,21,True,28.35,2.6334768126239236,2.6334768126239236,28.35,-0.36652318737607636
case1,76048,2,22,True,33.1,0.863014805493224,0.863014805493224,33.1,-2.136985194506776
case1,76048,3,23,True,30.2,0.7792877526910349,0.7792877526910349,30.200000000000003,-2.220712247308965
case1,76048,4,24,True,26.75,2.8221778223076877,2.8221778223076877,26.75,-0.17782217769231234
case1,76048,5,25,False,,,3.243160704674884,33.1,0.24316070467488382
case1,76048,6,26,True,29.25,1.3580159249577213,1.3580159249577213,29.25,-1.6419840750422787
case1,76048,7,27,True,28.5,0.8545441637353934,0.8545441637353934,28.5,-2.1454558362646066
case1,76048,8,20,True,31.3,1.8569280020843175,0.7201163490001149,31.35,-2.279883650999885
case1,76048,9,21,True,28.35,1.2077671286783431,1.2077671286783431,28.35,-1.7922328713216569
case1,76048,10,22,True,33.05,1.7458622096267504,0.3288260737360364,33.1,-2.6711739262639638
case1,76048,11,23,True,30.15,1.8374825139378335,0.6009156851599476,30.200000000000003,-2.3990843148400525
case1,76048,12,24,True,26.75,1.8469710844866238,1.8469710844866238,26.75,-1.1530289155133762
case1,76048,13,25,True,33.1,1.7663251928156942,1.7663251928156942,33.1,-1.2336748071843058
case1,76048,14,26,True,29.2,1.5603462127245387,1.5204593028005593,29.25,-1.4795406971994407
case1,76048,15,27,True,28.5,1.3455048718441032,1.3455048718441032,28.5,-1.6544951281558968
case1,76048,16,20,True,31.35,1.7257408900194655,1.7257408900194655,31.35,-1.2742591099805345
case1,76048,17,21,True,28.35,1.5042589439579401,1.5042589439579401,28.35,-1.4957410560420599
case1,76048,18,22,True,33.05,1.5581701202414766,0.48633421655140563,33.1,-2.5136657834485945
case1,76048,19,23,True,30.15,1.1081766495422578,0.9273097902207234,30.200000000000003,-2.0726902097792768
case1,76052,0,20,True,31.3,1.8840076019060603,1.6256443301087247,31.35,-1.3743556698912753
case1,76052,1,21,True,28.35,1.6994031619628496,1.6994031619628496,28.35,-1.3005968380371504
case1,76052,2,22,True,33.1,0.8693681327482821,0.8693681327482821,33.1,-2.1306318672517177
case1,76052,3,23,True,30.2,1.5316138477434875,1.5316138477434875,30.200000000000003,-1.4683861522565125
case1,76052,4,24,True,26.75,2.6652033033193687,2.6652033033193687,26.75,-0.3347966966806313
case1,76052,5,25,True,33.1,2.5499922971174134,2.5499922971174134,33.1,-0.4500077028825866
case1,76052,6,26,True,29.25,1.888898222475742,1.888898222475742,29.25,-1.111101777524258
case1,76052,7,27,True,28.5,2.6429501467537113,2.6429501467537113,28.5,-0.3570498532462887
case1,76052,8,20,False,,,3.0412648408885308,31.35,0.041264840888530774
case1,76052,9,21,True,28.35,0.8218044166456461,0.8218044166456461,28.35,-2.178195583354354
case1,76052,10,22,True,33.05,2.0659734537355887,1.277067929362453,33.1,-1.722932070637547
case1,76052,11,23,True,30.15,1.9089008770767724,0.992072783704103,30.200000000000003,-2.007927216295897
case1,76052,12,24,True,26.75,2.5784121250556384,2.5784121250556384,26.75,-0.42158787494436156
case1,76052,13,25,True,33.1,1.5486224455932567,1.5486224455932567,33.1,-1.4513775544067433
case1,76052,14,26,True,29.2,1.8964628757929634,1.3534251777416082,29.25,-1.6465748222583918
case1,76052,15,27,True,28.5,1.3823984173174475,1.3823984173174475,28.5,-1.6176015826825525
case1,76052,16,20,True,31.35,0.6909883802490626,0.6909883802490626,31.35,-2.3090116197509376
case1,76052,17,21,True,28.35,1.317917363075833,1.317917363075833,28.35,-1.682082636924167
case1,76052,18,22,True,33.05,1.9067120656191303,1.3826674444441533,33.1,-1.6173325555558467
case1,76052,19,23,True,30.15,2.36154484346055,2.34743224388664,30.200000000000003,-0.6525677561133598
case2,77008,0,20,True,29.1,2.866935804888227,1.1219692771950827,29.150000000000002,-1.8780307228049173
case2,77008,1,21,False,,,3.5743973919113023,26.150000000000002,0.5743973919113023
case2,77008,2,22,True,64.8,2.827169469725394,2.827169469725394,64.8,-0.17283053027460582
case2,77008,3,23,True,28.15,2.841244349939992,2.841244349939992,28.150000000000002,-0.1587556500600078
case2,77008,4,24,True,24.9,1.1410238922266918,1.1410238922266918,24.900000000000002,-1.8589761077733082
case2,77008,5,25,True,26.75,1.5200351771023608,1.5200351771023608,26.75,-1.4799648228976392
case2,77008,6,26,True,26.3,2.599230825379064,2.599230825379064,26.3,-0.40076917462093586
case2,77008,7,27,True,27.55,1.8847292770373565,1.8847292770373565,27.55,-1.1152707229626435
case2,77008,8,20,True,29.15,1.5137012683731657,1.3957138304618686,29.200000000000003,-1.6042861695381314
case2,77008,9,21,True,26.15,2.8604935075943336,2.8604935075943336,26.150000000000002,-0.13950649240566637
case2,77008,10,22,True,64.9,2.9478081962817098,2.9478081962817098,64.9,-0.05219180371829024
case2,77008,11,23,True,27.95,1.630211367709195,1.373093841365585,28.0,-1.626906158634415
case2,77008,12,24,True,24.85,2.865006901831046,0.6263245700992133,24.900000000000002,-2.3736754299007865
case2,77008,13,25,True,26.75,2.1272391669610866,2.1272391669610866,26.75,-0.8727608330389134
case2,77008,14,26,True,26.25,1.62735426060523,0.4699451937513703,26.3,-2.53005480624863
case2,77008,15,27,True,27.55,1.8079949970142992,1.8079949970142992,27.55,-1.1920050029857008
case2,77008,16,20,True,29.3,0.7029045573409601,0.7029045573409601,29.3,-2.2970954426590398
case2,77008,17,21,True,26.1,2.878017717315603,0.7522548162071465,26.150000000000002,-2.2477451837928535
case2,77008,18,22,True,64.55,2.8953243162878732,2.8953243162878732,64.55,-0.10467568371212677
case2,77008,19,23,True,27.95,0.3076621824346962,0.3076621824346962,27.950000000000003,-2.6923378175653037
case2,77020,0,20,True,29.15,1.8054923591269025,1.8054923591269025,29.150000000000002,-1.1945076408730975
case2,77020,1,21,True,26.15,2.8849414748409017,2.8849414748409017,26.150000000000002,-0.11505852515909831
case2,77020,2,22,False,,,3.096457262717377,37.25,0.0964572627173772
case2,77020,3,23,True,28.1,2.82892418062204,2.82892418062204,28.1,-0.1710758193779598
case2,77020,4,24,True,24.9,1.5011005363471512,1.5011005363471512,24.900000000000002,-1.4988994636528488
case2,77020,5,25,True,26.75,1.6324443174750056,1.6324443174750056,26.75,-1.3675556825249944
case2,77020,6,26,True,26.3,2.4434604161771674,2.4434604161771674,26.3,-0.5565395838228326
case2,77020,7,27,True,27.55,0.9975664462247357,0.9975664462247357,27.55,-2.002433553775264
case2,77020,8,20,True,29.15,1.2986362805357239,1.109291666562812,29.200000000000003,-1.890708333437188
case2,77020,9,21,True,26.15,2.7887627487143396,2.7887627487143396,26.150000000000002,-0.2112372512856604
case2,77020,10,22,True,37.2,2.496265401503007,2.496265401503007,37.2,-0.503734598496993
case2,77020,11,23,True,27.95,1.158497476426058,0.8907649348814403,28.0,-2.10923506511856
case2,77020,12,24,True,24.85,2.773878568960886,0.759711571292214,24.900000000000002,-2.240288428707786
case2,77020,13,25,True,26.75,1.3025110853878281,1.3025110853878281,26.75,-1.6974889146121719
case2,77020,14,26,True,26.25,2.4739128126584466,1.6600931348303691,26.3,-1.3399068651696309
case2,77020,15,27,True,27.55,2.242281777890896,2.242281777890896,27.55,-0.7577182221091041
case2,77020,16,20,True,29.3,1.485257418602337,1.485257418602337,29.3,-1.514742581397663
case2,77020,17,21,True,26.15,2.920783865103143,2.920783865103143,26.150000000000002,-0.07921613489685697
case2,77020,18,22,True,37.15,2.667703657710493,2.667703657710493,37.15,-0.3322963422895069
case2,77020,19,23,True,27.95,0.43103672314849945,0.43103672314849945,27.950000000000003,-2.5689632768515005
case2,77023,0,20,True,29.1,2.8379865916252403,0.9341275669570613,29.150000000000002,-2.0658724330429385
case2,77023,1,21,True,26.15,2.367808666573245,1.9432490022934814,26.200000000000003,-1.0567509977065186
case2,77023,2,22,True,64.55,2.9316262785448113,2.9316262785448113,64.55,-0.06837372145518872
case2,77023,3,23,True,28.15,1.9993005159818509,1.9993005159818509,28.150000000000002,-1.0006994840181491
