case,seed,target_id,assigned_defender_count,hit_defender_count,target_intercepted,assigned_group_complete,observed_hit_time_spread_s,within_sync_tolerance_among_hits,assigned_defender_ids,hit_defender_ids
case1,76014,20,3,3,True,True,0.05000000000000071,True,0;8;16,0;8;16
case1,76014,21,3,2,True,False,0.0,True,1;9;17,9;17
case1,76014,22,3,3,True,True,0.05000000000000426,True,2;10;18,2;10;18
case1,76014,23,3,3,True,True,0.05000000000000071,True,3;11;19,3;11;19
case1,76014,24,2,2,True,True,0.0,True,4;12,4;12
case1,76014,25,2,2,True,True,0.0,True,5;13,5;13
case1,76014,26,2,2,True,True,0.05000000000000071,True,6;14,6;14
case1,76014,27,2,2,True,True,0.0,True,7;15,7;15
case1,76048,20,3,3,True,True,0.05000000000000071,True,0;8;16,0;8;16
case1,76048,21,3,3,True,True,0.0,True,1;9;17,1;9;17
case1,76048,22,3,3,True,True,0.05000000000000426,True,2;10;18,2;10;18
case1,76048,23,3,3,True,True,0.05000000000000071,True,3;11;19,3;11;19
case1,76048,24,2,2,True,True,0.0,True,4;12,4;12
case1,76048,25,2,1,True,False,0.0,True,5;13,13
case1,76048,26,2,2,True,True,0.05000000000000071,True,6;14,6;14
case1,76048,27,2,2,True,True,0.0,True,7;15,7;15
case1,76052,20,3,2,True,False,0.05000000000000071,True,0;8;16,0;16
case1,76052,21,3,3,True,True,0.0,True,1;9;17,1;9;17
case1,76052,22,3,3,True,True,0.05000000000000426,True,2;10;18,2;10;18
case1,76052,23,3,3,True,True,0.05000000000000071,True,3;11;19,3;11;19
case1,76052,24,2,2,True,True,0.0,True,4;12,4;12
case1,76052,25,2,2,True,True,0.0,True,5;13,5;13
case1,76052,26,2,2,True,True,0.05000000000000071,True,6;14,6;14
case1,76052,27,2,2,True,True,0.0,True,7;15,7;15
case2,77008,20,3,3,True,True,0.1999999999999993,True,0;8;16,0;8;16
case2,77008,21,3,2,True,False,0.04999999999999716,True,1;9;17,9;17
case2,77008,22,3,3,True,True,0.3500000000000085,True,2;10;18,2;10;18
case2,77008,23,3,3,True,True,0.1999999999999993,True,3;11;19,3;11;19
case2,77008,24,2,2,True,True,0.04999999999999716,True,4;12,4;12
case2,77008,25,2,2,True,True,0.0,True,5;13,5;13
case2,77008,26,2,2,True,True,0.05000000000000071,True,6;14,6;14
case2,77008,27,2,2,True,True,0.0,True,7;15,7;15
case2,77020,20,3,3,True,True,0.15000000000000213,True,0;8;16,0;8;16
case2,77020,21,3,3,True,True,0.0,True,1;9;17,1;9;17
case2,77020,22,3,2,True,False,0.05000000000000426,True,2;10;18,10;18
case2,77020,23,3,3,True,True,0.15000000000000213,True,3;11;19,3;11;19
case2,77020,24,2,2,True,True,0.04999999999999716,True,4;12,4;12
case2,77020,25,2,2,True,True,0.0,True,5;13,5;13
case2,77020,26,2,2,True,True,0.05000000000000071,True,6;14,6;14
case2,77020,27,2,2,True,True,0.0,True,7;15,7;15
case2,77023,20,3,3,True,True,0.1999999999999993,True,0;8;16,0;8;16
case2,77023,21,3,2,True,False,0.04999999999999716,True,1;9;17,1;9
case2,77023,22,3,3,True,True,0.20000000000000284,True,2;10;18,2;10;18
case2,77023,23,3,3,True,True,0.1999999999999993,True,3;11;19,3;11;19
case2,77023,24,2,2,True,True,0.0,True,4;12,4;12
case2,77023,25,2,2,True,True,0.0,True,5;13,5;13
case2,77023,26,2,2,True,True,0.05000000000000071,True,6;14,6;14
case2,77023,27,2,2,True,True,0.0,True,7;15,7;15
