episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread
1,case2,8,19,8,6,True,False,1.0499992370605469,0.19999933242797852
2,case2,8,18,8,6,True,False,28.949996948242188,3.6687493324279785
3,case2,8,17,8,6,True,False,1.850006103515625,0.3285718560218811
4,case2,8,18,8,6,True,False,0.1999988555908203,0.08124923706054688
5,case2,8,20,8,7,True,False,27.5,3.4937496185302734
6,case2,8,19,8,6,True,False,26.900001525878906,3.4187498092651367
7,case2,8,19,8,6,True,False,25.799999237060547,3.28749942779541
8,case2,8,19,8,7,True,False,0.1999988555908203,0.0624995231628418
9,case2,8,18,8,6,True,False,0.14999961853027344,0.05624961853027344
10,case2,8,17,8,5,True,False,0.14999961853027344,0.07142802327871323
11,case2,8,20,8,7,True,False,29.25,3.72499942779541
12,case2,8,20,8,7,True,False,27.79999542236328,3.518749237060547
13,case2,8,17,7,6,False,False,29.199996948242188,4.242856025695801
14,case2,8,18,8,6,True,False,0.1999988555908203,0.06874966621398926
15,case2,8,20,8,7,True,False,28.949996948242188,3.674999237060547
16,case2,8,17,8,6,True,False,0.1999988555908203,0.07142802327871323
17,case2,8,19,8,6,True,False,26.949996948242188,3.4187493324279785
18,case2,8,17,8,6,True,False,29.400001525878906,4.264285564422607
19,case2,8,18,8,5,True,False,1.4500007629394531,0.2428569793701172
20,case2,8,19,8,7,True,False,0.2999992370605469,0.10624933242797852
