episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread,eval_seed,chunk,source_summary
1,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76001,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
2,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76002,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
3,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76003,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
4,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76004,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
5,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76005,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
6,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76006,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
7,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76007,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
8,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76008,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
9,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76009,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
10,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76010,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
11,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76011,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
12,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76012,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
13,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76013,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
14,case1,8,19,8,7,True,False,0.05000114440917969,0.02500009536743164,76014,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
15,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,76015,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_00/case1/case1_episode_summary.csv
