case,seed,target_id,assigned_defender_ids,hit_defender_ids_before_asset_hit,complete_before_asset_hit,asset_hit_time_s
case1,76048,20,0;8;16,0;8;16,True,52.2
case1,76048,21,1;9;17,1;9;17,True,52.2
case1,76048,22,2;10;18,2;10;18,True,52.2
case1,76048,23,3;11;19,3;11;19,True,52.2
case1,76048,24,4;12,4;12,True,52.2
case1,76048,25,5;13,13,False,52.2
case1,76048,26,6;14,6;14,True,52.2
case1,76048,27,7;15,7;15,True,52.2
case2,77008,20,0;8;16,0;8;16,True,47.150000000000006
case2,77008,21,1;9;17,9;17,False,47.150000000000006
case2,77008,22,2;10;18,,False,47.150000000000006
case2,77008,23,3;11;19,3;11;19,True,47.150000000000006
case2,77008,24,4;12,4;12,True,47.150000000000006
case2,77008,25,5;13,5;13,True,47.150000000000006
case2,77008,26,6;14,6;14,True,47.150000000000006
case2,77008,27,7;15,7;15,True,47.150000000000006
