condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m,training_seed
formal_ablation_full_case2,case2,full,3,99003,5,2,0,0,0,0,,,,,,3.30045503007731,8301
formal_ablation_full_case2,case2,full,7,99007,6,2,0,0,0,0,,,,,,3.863402856282877,8301
formal_ablation_full_case2,case2,full,8,99008,4,2,0,0,0,0,,,,,,3.649930216960796,8301
formal_ablation_full_case2,case2,full,8,99008,6,2,0,0,0,0,,,,,,3.410034392311519,8301
formal_ablation_full_case2,case2,full,10,99010,4,2,0,0,0,0,,,,,,3.599604437441222,8301
formal_ablation_full_case2,case2,full,12,99012,4,2,0,0,0,0,,,,,,3.888001469806165,8301
formal_ablation_full_case2,case2,full,12,99012,7,2,0,0,0,0,,,,,,3.545803220857447,8301
formal_ablation_full_case2,case2,full,19,99019,4,2,0,0,0,0,,,,,,3.6804048567370486,8301
formal_ablation_full_case2,case2,full,21,99021,2,3,0,0,0,0,,,,,,3.25707678066779,8301
formal_ablation_full_case2,case2,full,21,99021,6,2,0,0,0,0,,,,,,3.636631208519757,8301
formal_ablation_full_case2,case2,full,22,99022,4,2,0,0,0,0,,,,,,3.334441237499109,8301
formal_ablation_full_case2,case2,full,23,99023,5,2,0,0,0,0,,,,,,3.4558507480241403,8301
formal_ablation_full_case2,case2,full,30,99030,6,2,0,0,0,0,,,,,,3.227967232451784,8301
formal_ablation_full_case2,case2,full,32,99032,4,2,0,0,0,0,,,,,,4.26889842528918,8301
formal_ablation_full_case2,case2,full,34,99034,1,3,0,0,0,0,,,,,,3.826450576333978,8301
formal_ablation_full_case2,case2,full,34,99034,4,2,0,0,0,0,,,,,,3.6669979982181298,8301
formal_ablation_full_case2,case2,full,10,99044,5,2,0,0,0,0,,,,,,3.658773839920888,8302
formal_ablation_full_case2,case2,full,14,99048,5,2,0,0,0,0,,,,,,4.140098658674341,8302
formal_ablation_full_case2,case2,full,23,99057,5,2,0,0,0,0,,,,,,3.417799164753294,8302
formal_ablation_full_case2,case2,full,29,99063,6,2,0,0,0,0,,,,,,3.281334243884513,8302
formal_ablation_full_case2,case2,full,3,99070,0,3,0,0,0,0,,,,,,4.085686345168159,8303
formal_ablation_full_case2,case2,full,11,99078,4,2,0,0,0,0,,,,,,3.915115373386509,8303
formal_ablation_full_case2,case2,full,20,99087,5,2,0,0,0,0,,,,,,3.26721675054682,8303
formal_ablation_full_case2,case2,full,25,99092,7,2,0,0,0,0,,,,,,4.016859763731072,8303
formal_ablation_full_case2,case2,full,33,99100,6,2,0,0,0,0,,,,,,3.6521339995737394,8303
