condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves,training_seed
formal_ablation_full_case2,case2,full,3,99003,nominal,fixed,0,0,0,0,unsuccessful_interception,7,6,0,,,,,2.481088051917654,3.582216351060942,375208.7227959081,75.0,50.0,3.0,0.3,400.0,1.0,12.262976115029778,0.0138007154184671,0.0,,,,0,8301
formal_ablation_full_case2,case2,full,7,99007,nominal,fixed,0,0,0,0,unsuccessful_interception,7,6,0,,,,,2.4687744838213765,4.275814157178683,375337.1167314922,75.0,50.0,3.0,0.3,400.0,1.0,10.173947606925696,0.0218119206211018,0.0,,,,0,8301
formal_ablation_full_case2,case2,full,8,99008,nominal,fixed,0,0,0,0,unsuccessful_interception,6,5,0,,,,,2.6827275851115884,3.716951930758536,331668.24064497615,75.0,50.0,3.0,0.3,400.0,1.0,11.62146785385384,0.0190558305097778,0.0,,,,0,8301
formal_ablation_full_case2,case2,full,10,99010,nominal,fixed,0,0,0,0,unsuccessful_interception,7,6,1,,,,,2.093897403660402,4.153638448864548,375409.70677771664,75.0,50.0,3.0,0.3,400.0,1.0,9.667327261833446,0.0135711073478903,0.0,,,,0,8301
formal_ablation_full_case2,case2,full,12,99012,nominal,fixed,0,0,0,0,unsuccessful_interception,6,4,0,,,,,2.561672732252712,4.461301164099735,287953.6879554712,75.0,50.0,3.0,0.3,400.0,1.0,12.373523074966196,0.0187925946375876,0.0,,,,0,8301
formal_ablation_full_case2,case2,full,19,99019,nominal,fixed,0,0,0,0,unsuccessful_interception,7,4,0,,,,,2.57399594879539,3.754405549169943,331596.6441701115,75.0,50.0,3.0,0.3,400.0,1.0,11.176301811466477,0.0169811857471768,0.0,,,,0,8301
formal_ablation_full_case2,case2,full,21,99021,nominal,fixed,0,0,0,0,unsuccessful_interception,6,6,1,,,,,2.5886103084633927,3.852638460741741,331722.4971387798,75.0,50.0,3.0,0.3,400.0,1.0,10.900073441091584,0.0158404616354231,0.0,,,,0,8301
formal_ablation_full_case2,case2,full,22,99022,nominal,fixed,0,0,0,0,unsuccessful_interception,7,5,1,,,,,2.578442067935166,3.743374287957613,353510.2100130589,75.0,50.0,3.0,0.3,400.0,1.0,11.994864814930134,0.0216222099942649,0.0,,,,0,8301
formal_ablation_full_case2,case2,full,23,99023,nominal,fixed,0,0,0,0,unsuccessful_interception,7,5,0,,,,,2.1217055596229786,3.5727461267854856,353505.37682156044,75.0,50.0,3.0,0.3,400.0,1.0,13.567835415363543,0.0096980185702782,0.0,,,,0,8301
formal_ablation_full_case2,case2,full,30,99030,nominal,fixed,0,0,0,0,unsuccessful_interception,7,6,0,,,,,2.5161060503654054,3.5646131566698407,375620.5980409939,75.0,50.0,3.0,0.3,400.0,1.0,10.338142106522223,0.0162162896405512,0.0,,,,0,8301
