episode,seed,target_index,group_size,hit_count,first_hit_s,last_hit_s,arrival_spread_s,delayed_group
4,74004,7,3,3,35.45,36.6,1.1499999999999986,True
6,74006,1,2,2,37.75,38.6,0.8500000000000014,True
6,74006,7,3,3,35.75,36.7,0.9500000000000028,True
7,74007,6,3,3,36.45,37.3,0.8499999999999943,True
8,74008,3,3,3,33.7,35.25,1.5499999999999972,True
17,74017,3,3,3,34.9,35.95,1.0500000000000043,True
23,74023,4,3,3,36.2,38.2,2.0,True
23,74023,7,3,3,36.35,37.35,1.0,True
26,74026,7,3,3,34.800000000000004,36.05,1.249999999999993,True
32,74032,5,3,3,38.55,39.75,1.2000000000000028,True
32,74032,7,3,3,34.75,35.95,1.2000000000000028,True
34,74034,0,3,3,38.2,39.45,1.25,True
34,74034,4,3,3,36.6,38.55,1.9499999999999957,True
34,74034,7,3,3,36.5,37.3,0.7999999999999972,True
39,74039,7,2,2,35.9,36.8,0.8999999999999986,True
41,74041,6,3,3,35.65,36.7,1.0500000000000043,True
43,74043,1,3,3,35.5,36.65,1.1499999999999986,True
43,74043,4,3,3,37.9,39.35,1.4500000000000028,True
43,74043,6,3,3,37.35,38.05,0.6999999999999957,True
43,74043,7,3,3,35.550000000000004,36.6,1.0499999999999972,True
47,74047,2,3,3,32.95,34.050000000000004,1.1000000000000014,True
47,74047,5,2,2,38.2,39.5,1.2999999999999972,True
47,74047,7,2,2,35.800000000000004,36.85,1.0499999999999972,True
50,74050,6,3,3,35.4,36.55,1.1499999999999986,True
51,74051,3,3,3,34.9,36.15,1.25,True
52,74052,0,3,3,37.65,38.55,0.8999999999999986,True
52,74052,5,3,3,38.8,39.650000000000006,0.8500000000000085,True
62,74062,4,3,3,38.400000000000006,39.95,1.5499999999999972,True
65,74065,4,3,3,36.1,38.05,1.9499999999999957,True
70,74070,7,3,3,34.85,36.1,1.25,True
71,74071,7,3,3,35.7,36.85,1.1499999999999986,True
79,74079,3,3,3,34.4,35.75,1.3500000000000014,True
80,74080,3,3,3,34.35,35.550000000000004,1.2000000000000028,True
80,74080,6,2,2,36.4,37.25,0.8500000000000014,True
84,74084,7,3,3,35.85,36.75,0.8999999999999986,True
88,74088,7,3,3,35.25,36.4,1.1499999999999986,True
91,74091,6,3,3,36.75,37.55,0.7999999999999972,True
92,74092,5,3,3,39.1,40.3,1.1999999999999957,True
94,74094,3,3,3,33.7,35.4,1.6999999999999957,True
96,74096,4,3,3,37.2,38.75,1.5499999999999972,True
