update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,actor_lr,wall_time_s
1,6000,315519.3741279021,0.0,0.0,0.7124999999999999,0.78125,0.75,0.75,0.2958333333333207,0.23005567040951128,0.022520862444244134,0.8013416666666666,-0.013710171575075947,0.9211337059736252,2.7597885966300963,0.18468243123708292,0.00029815940691897306,35.604559659957886
2,12000,255478.59290857613,0.0,0.0,0.575,0.59375,0.59375,0.59375,0.4849999999999789,0.2501139601330533,0.03870285543965468,0.769125,0.003220234403852373,0.43159613460302354,2.7597426056861876,-0.04339175369765611,0.0002926829491861254,73.30645751953125
3,18000,288297.7870968506,0.0,0.0,0.6499999999999999,0.75,0.625,0.625,0.314999999999986,0.2719210505754599,0.056069565426284655,0.7476,-0.0002889919560402632,0.4992721930146217,2.7484601378440856,-0.07353984044402218,0.00028370547536616097,104.2400894165039
4,24000,271789.03091205936,0.0,0.0,0.6124999999999999,0.65625,0.625,0.625,0.23749999999999233,0.2903641440028317,0.0717020059561297,0.7273583333333333,-0.0013132170686731115,0.4465521201491356,2.732527232170105,-0.02172283335210521,0.00027144804065905466,139.29087734222412
5,30000,288140.94919330627,0.0,0.0,0.6499999999999999,0.71875,0.65625,0.65625,0.36458333333331905,0.30855196004170377,0.08549369327752357,0.7095166666666667,0.0002680584671907127,0.461016383767128,2.718165922164917,-0.02805020727320264,0.0002562124637873889,175.85658288002014
6,36000,277151.3812074661,0.0,0.0,0.625,0.6875,0.625,0.625,0.36749999999998373,0.324183386929698,0.09876298869326433,0.693675,0.00013371024979278446,0.43650443106889725,2.7056983351707458,0.020157014040917475,0.00023837389521772474,207.96716785430908
7,42000,299106.0886559896,0.0,0.0,0.6749999999999999,0.75,0.6875,0.6875,0.3641666666666507,0.3409010862057692,0.10947153834374909,0.676475,-0.0013967313105240464,0.44938356429338455,2.697646510601044,-0.06636822292201221,0.00021837157971106225,247.30427145957947
8,48000,282742.4995328486,0.0,0.0,0.6375,0.6875,0.65625,0.65625,0.3016666666666551,0.35360982794369955,0.11831627211528332,0.6590333333333334,-0.0008841602597385645,0.4042009934782982,2.6930853843688967,-0.05242356859095394,0.00019669804065905466,278.54448103904724
9,54000,315389.9080580026,0.0,0.0,0.7124999999999999,0.8125,0.71875,0.71875,0.3933333333333213,0.36904973894455956,0.12858471096283539,0.6456333333333333,-0.0006737469258951024,0.428919418156147,2.6874783396720887,0.015487489714748203,0.00017388695252351454,312.7040784358978
10,60000,288179.4484847076,0.0,0.0,0.6499999999999999,0.71875,0.65625,0.65625,0.37249999999998684,0.38012899562588015,0.13696852637640955,0.6320833333333333,0.0035929120029322805,0.3622195765376091,2.6840232372283936,0.01920094383775568,0.0001505,348.3653013706207
11,66000,288035.11243344843,0.0,0.0,0.65,0.75,0.625,0.625,0.45999999999998165,0.3915553794854982,0.1431317007668634,0.6208,-0.002082703937776387,0.3447325572371483,2.677174460887909,-0.06359983862310647,0.0001271130474764855,382.16321897506714
12,72000,260784.82819633186,0.0,0.0,0.5874999999999999,0.6875,0.53125,0.5,0.6679166666666387,0.3980344709117121,0.1471073732005776,0.6083666666666666,0.0046751796500757335,0.3005077697336674,2.6698420643806458,0.013727513041918476,0.00010430195934094536,419.13883447647095
13,78000,288055.52369917557,0.0,0.0,0.6499999999999999,0.78125,0.59375,0.59375,0.38499999999998813,0.4080952682442522,0.15333261555007133,0.6048833333333333,-0.003286816203035414,0.3159323424100876,2.6620768904685974,-0.023520383497923614,8.262842028893775e-05,451.9301211833954
14,84000,211002.0271537921,0.0,0.0,0.475,0.59375,0.34375,0.34375,0.6416666666666369,0.40862861831058755,0.15339902976018202,0.5903416666666667,-0.0006207918107975274,0.24681982919573783,2.657535934448242,0.02153727575501272,6.262610478227527e-05,486.456698179245
15,90000,254774.17295886774,0.0,0.0,0.575,0.71875,0.46875,0.4375,0.8447916666666284,0.413581296799855,0.15628137916002394,0.5926166666666667,-0.005217652034480125,0.2756644196808338,2.652622330188751,0.012367376169692745,4.478753621261114e-05,522.6263179779053
16,96000,266038.2038559186,0.0,0.0,0.6000000000000001,0.71875,0.53125,0.46875,0.8531249999999615,0.4199526387210075,0.16171965924163897,0.5867333333333333,-0.005150619271444157,0.28339080363512037,2.6495819807052614,0.02609021071618729,2.9551959340945366e-05,560.560417175293
17,102000,227661.55271143076,0.0,0.0,0.5125,0.65625,0.375,0.3125,1.440624999999926,0.421142658926012,0.16211719559845708,0.5796083333333333,-0.0051298672216944395,0.25367830097675326,2.6486673951148987,0.026295323449211816,1.7294524633839014e-05,594.1760761737823
