update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
1,4096,320883.8430479169,0.0,0.0,0.7250000000000001,0.8125,0.625,0.625,0.10458333333333482,0.22953895259112794,0.022036971924114652,0.7976341827428003,-0.03593947374174604,0.7107719719409943,2.758594310283661,0.2886164497534594,0.8642126142978668,2.1927260875701906,5.43226574510336,0.09852612533569335,0.00029996721217948936,18.895671844482422
2,8192,337318.3058221191,0.0,0.0,0.7625,0.8125,0.71875,0.71875,0.09375000000000133,0.25850114128923424,0.04108194809045021,0.7771221492809168,-0.00250382567755878,0.39370006173849104,2.767297053337097,-0.13240402451192496,1.14748657643795,5.418034195899963,3.0789555311203003,0.1540441963488263,0.00029986886309977926,38.07342338562012
3,12288,342803.78281520586,0.0,0.0,0.7749999999999999,0.875,0.6875,0.6875,0.0958333333333347,0.2844449182042979,0.057861775110245185,0.747482083134257,-0.01699765366502106,0.2810860760509968,2.7737863302230834,-0.0894882025251377,1.0893774807453156,3.968056446313858,1.0983035631477833,0.1468348795318067,0.00029970499590002654,57.33802032470703
4,16384,320860.8854084518,0.0,0.0,0.725,0.75,0.6875,0.6875,0.10083333333333476,0.3061265535541714,0.07496039877016947,0.7291208892663922,-0.009436954185366631,0.2292828306555748,2.7800569415092466,-0.3255503323234734,1.5242493361234666,4.903962594270706,1.2177363097667695,0.13774454807628336,0.00029947568245780083,76.64954090118408
5,20480,326346.6068973243,0.0,0.0,0.7375,0.84375,0.625,0.625,0.10000000000000142,0.32541320955274144,0.08764139275216903,0.7077051770610652,-0.009033179439211381,0.21520831286907197,2.7912339210510253,-0.009805872033030027,0.9985163122415542,2.634492594003677,1.1181023590266705,0.1458867332473858,0.0002991810233575568,95.80351305007935
6,24576,342780.19128151983,0.0,0.0,0.7749999999999999,0.90625,0.65625,0.65625,0.10517857142857294,0.3444253302219399,0.09768040189169255,0.6867734781278678,-0.01013676730217412,0.20157991126179695,2.8008131861686705,-0.03867240622930694,1.022076216340065,2.5519656598567964,0.6646172150969505,0.18772990416183966,0.0002988211478465144,115.4128828048706
7,28672,309815.7453802973,0.0,0.0,0.7,0.71875,0.65625,0.65625,0.1004166666666681,0.3588250172962758,0.110225416856629,0.6767955299965531,-0.01396845739800483,0.18512264117598534,2.8103261947631837,-0.11155619858473073,1.3447701066732407,2.434274363517761,0.8811066403985024,0.07827014305419981,0.00029839621377796666,140.32856249809265
8,32768,309904.55791427195,0.0,0.0,0.7,0.875,0.5,0.5,0.10895833333333488,0.3704846581883211,0.11686459077061336,0.6615559854634869,-0.009079191414639354,0.1972127728164196,2.819371962547302,-0.009553804296228919,1.0501973897218704,1.9197004735469818,1.1152045667171477,0.07460707575295988,0.0002979064075420404,166.75521993637085
9,36864,315430.94481258094,0.0,0.0,0.7124999999999999,0.875,0.53125,0.53125,0.11958333333333504,0.38220111773679777,0.12318438819591233,0.6492207744808205,-0.012661603523883968,0.1862264946103096,2.827198100090027,0.015205941402746248,0.9885357469320297,1.7175630629062653,0.4821295693516731,0.06503469698491146,0.0002973519439839389,186.71579504013062
10,40960,320771.3126773834,0.0,0.0,0.7250000000000001,0.84375,0.59375,0.59375,0.10875000000000154,0.3932700409746592,0.13084249162650388,0.6415233460524618,-0.009857035824097693,0.18247975185513496,2.833837795257568,0.017180960137193325,1.020421314239502,2.2161771595478057,1.0147833585739137,0.1721973686684141,0.00029673306630970386,206.68795537948608
11,45056,315308.65710570663,0.0,0.0,0.7124999999999999,0.78125,0.625,0.625,0.11104166666666825,0.4028698152146422,0.13828687172091397,0.6341128929035089,-0.011598138068802655,0.18120997697114943,2.8399574041366575,-0.004947261513507328,1.0086033165454864,2.105739656090736,0.5430166780948639,0.07977130015243368,0.00029605004597953736,226.64163780212402
12,49152,293384.0802918002,0.0,0.0,0.6625,0.75,0.53125,0.53125,0.12083333333333504,0.4093128038228021,0.14356918445279165,0.6196214032425947,-0.014430579612962902,0.171550253033638,2.8451367259025573,-0.018178188473302725,1.422751259803772,2.1142804265022277,0.6195780172944069,0.05543168612753235,0.00029530318258873023,246.26448822021484
13,53248,276945.41021625325,0.0,0.0,0.625,0.6875,0.5,0.5,0.11583333333333498,0.41332316126688384,0.1459308176665215,0.6081856279197582,-0.01164645894896239,0.17062506526708604,2.8496108412742616,-0.0037544466705881517,1.7193194329738617,2.6039764523506164,0.2962044276297092,0.06419752093526002,0.0002944928037362498,265.67121028900146
14,57344,266034.43442655355,0.0,0.0,0.6,0.75,0.375,0.375,0.11666666666666832,0.41550923320222805,0.14808733463887672,0.6057398497509918,-0.011091417423449457,0.17482879497110843,2.8534998655319215,-0.010700109269237146,2.12567800283432,3.0007697701454163,0.9441818948835135,0.10198842795548314,0.0002936192648810439,285.5491907596588
15,61440,320852.72103153914,0.0,0.0,0.7250000000000001,0.84375,0.59375,0.59375,0.11625000000000166,0.4233922185618785,0.15186524228115153,0.6088702250709103,-0.0012489957734942436,0.18007872328162194,2.8573529362678527,-0.13576739170530344,60.9554956048727,4.168687731027603,0.8684842571616173,0.31381059609000017,0.00029268294918612537,304.82178688049316
16,65536,282484.94708218426,0.0,0.0,0.6375,0.78125,0.4375,0.4375,0.13333333333333522,0.42524017252489593,0.1508915685035811,0.5949063282396616,-0.0075304133875761185,0.16050136908888818,2.86241751909256,-0.01093095847463701,0.9785747349262237,1.9937934577465057,0.3886179104447365,0.11775321743115623,0.00029168426735050334,323.1412305831909
17,69632,287897.6502853874,0.0,0.0,0.65,0.71875,0.53125,0.53125,0.10625000000000151,0.4287598965973583,0.1529100464072701,0.5996268136160714,-0.005850398435723036,0.15949918627738952,2.865328681468964,0.005572275310987607,0.9664325445890427,2.749878603219986,0.31165925972163677,0.1683634947547786,0.0002906236574290377,350.21292328834534
18,73728,298856.08997232094,0.0,0.0,0.675,0.8125,0.5,0.5,0.13229166666666856,0.4329712050204188,0.15522094045360751,0.5977676432488066,0.0007953620719490573,0.16162447184324263,2.867569315433502,-0.0013279074380989186,1.0003812551498412,5.302528744935989,0.28996249511837957,0.21665344086545546,0.0002895015846402935,375.93386340141296
19,77824,304245.94177865237,0.0,0.0,0.6875,0.75,0.59375,0.59375,0.1056250000000015,0.43749963882142345,0.15833082614069066,0.593881460000358,0.001353527751052752,0.16284993886947632,2.8684948444366456,0.01752725626283791,0.9953329920768738,5.880379521846772,0.6365411847829818,0.31475993251360257,0.00028831854116248074,395.90242075920105
20,81920,309914.531398423,0.0,0.0,0.7000000000000001,0.84375,0.53125,0.53125,0.1125000000000016,0.44296770281116454,0.16057180543339977,0.5910127406978428,-0.005655283006490208,0.16312295198440552,2.86865439414978,-0.007876649239915424,0.9758851826190948,4.893296009302139,0.48190642073750495,0.21872119109600585,0.0002870750459175687,415.2900390625
21,86016,298731.83020555193,0.0,0.0,0.675,0.71875,0.59375,0.59375,0.11145833333333492,0.44614778740489563,0.16478036689102982,0.587907307111782,-0.002024728513788432,0.1548385914415121,2.868432939052582,7.918828050605953e-05,1.0050139129161835,5.2011222541332245,0.3040795810520649,0.25330923926913784,0.0002857716443436698,435.08754777908325
