experiment,key,value
complexity,ND=10,per_round_ms=1.804;comm=34.0
complexity,ND=20,per_round_ms=3.006;comm=104.7
complexity,ND=40,per_round_ms=7.920;comm=430.0
complexity,ND=80,per_round_ms=34.014;comm=1770.7
complexity,ND=160,per_round_ms=207.613;comm=7058.7
complexity,ND=240,per_round_ms=664.588;comm=15934.7
scalability,10v4,rounds=24.2;cost=1.85
scalability,20v8,rounds=29.2;cost=3.94
scalability,40v16,rounds=25.7;cost=7.03
scalability,80v32,rounds=27.2;cost=16.06
scalability,160v64,rounds=26.5;cost=47.07
delay,d=0,rounds=11.3
delay,d=1,rounds=18.0
delay,d=2,rounds=24.6
delay,d=4,rounds=37.7
delay,d=8,rounds=61.7
delay,d=16,rounds=110.8
