seed,delay_rounds,delay_ms,graph_diameter_D,rounds,latency_s,messages,record_entries,fixed_point,idbo_cost,max_target_load
0,0,0,7,9,0.45,464,5914,True,0.7001299224945403,3
0,1,50,7,16,0.8,870,10668,True,0.7001299224945403,3
0,2,100,7,23,1.1500000000000001,1276,15422,True,0.7001299224945403,3
0,4,200,7,37,1.85,2088,24930,True,0.7001299224945403,3
0,8,400,7,65,3.25,3712,43946,True,0.7001299224945403,3
1,0,0,9,11,0.55,580,7492,True,0.435645792256634,3
1,1,50,9,20,1.0,1102,13824,True,0.435645792256634,3
1,2,100,9,29,1.4500000000000002,1624,20156,True,0.435645792256634,3
1,4,200,9,47,2.35,2668,32820,True,0.435645792256634,3
1,8,400,9,83,4.15,4756,58148,True,0.435645792256634,3
2,0,0,7,9,0.45,464,5565,True,0.7920615805183789,3
2,1,50,7,16,0.8,870,9970,True,0.7920615805183789,3
2,2,100,7,23,1.1500000000000001,1276,14375,True,0.7920615805183789,3
2,4,200,7,37,1.85,2088,23185,True,0.7920615805183789,3
2,8,400,7,65,3.25,3712,40805,True,0.7920615805183789,3
3,0,0,9,11,0.55,620,8180,True,0.5266678502080288,3
3,1,50,9,20,1.0,1178,15120,True,0.5266678502080288,3
3,2,100,9,29,1.4500000000000002,1736,22060,True,0.5266678502080288,3
3,4,200,9,47,2.35,2852,35940,True,0.5266678502080288,3
3,8,400,9,83,4.15,5084,63700,True,0.5266678502080288,3
4,0,0,7,9,0.45,480,5825,True,0.6358148534424677,3
4,1,50,7,16,0.8,900,10450,True,0.6358148534424677,3
4,2,100,7,23,1.1500000000000001,1320,15075,True,0.6358148534424677,3
4,4,200,7,37,1.85,2160,24325,True,0.6358148534424677,3
4,8,400,7,65,3.25,3840,42825,True,0.6358148534424677,3
5,0,0,9,11,0.55,560,7077,True,0.9057867352878087,3
5,1,50,9,20,1.0,1064,13034,True,0.9057867352878087,3
5,2,100,9,29,1.4500000000000002,1568,18991,True,0.9057867352878087,3
5,4,200,9,47,2.35,2576,30905,True,0.9057867352878087,3
5,8,400,9,83,4.15,4592,54733,True,0.9057867352878087,3
6,0,0,6,8,0.4,420,5059,True,1.4622844407663416,3
6,1,50,6,14,0.7000000000000001,780,8918,True,1.4622844407663416,3
6,2,100,6,20,1.0,1140,12777,True,1.4622844407663416,3
6,4,200,6,32,1.6,1860,20495,True,1.4622844407663416,3
6,8,400,6,56,2.8000000000000003,3300,35931,True,1.4622844407663416,3
7,0,0,10,12,0.6000000000000001,594,7576,True,0.3917644981019845,3
7,1,50,10,22,1.1,1134,14072,True,0.3917644981019845,3
7,2,100,10,32,1.6,1674,20568,True,0.3917644981019845,3
7,4,200,10,52,2.6,2754,33560,True,0.3917644981019845,3
7,8,400,10,92,4.6000000000000005,4914,59544,True,0.3917644981019845,3
8,0,0,8,10,0.5,486,5673,True,0.454687560230215,3
8,1,50,8,18,0.9,918,10266,True,0.454687560230215,3
