seed,topology,graph_diameter_D,mean_degree,rounds,latency_s,messages,record_entries,fixed_point
0,complete,1,19.0,5,0.25,1520,8740,True
0,ring-k4,3,8.0,11,0.55,1600,16160,True
0,ring-k3,4,6.0,14,0.7000000000000001,1560,16800,True
0,ring-k2,5,4.0,17,0.8500000000000001,1280,12400,True
0,ring-k1,10,2.0,32,1.6,1240,12800,True
1,complete,1,19.0,5,0.25,1520,8740,True
1,ring-k4,3,8.0,11,0.55,1600,16160,True
1,ring-k3,4,6.0,14,0.7000000000000001,1560,16800,True
1,ring-k2,5,4.0,17,0.8500000000000001,1280,12400,True
1,ring-k1,10,2.0,32,1.6,1240,12800,True
2,complete,1,19.0,5,0.25,1520,8740,True
2,ring-k4,3,8.0,11,0.55,1600,16160,True
2,ring-k3,4,6.0,14,0.7000000000000001,1560,16800,True
2,ring-k2,5,4.0,17,0.8500000000000001,1280,12400,True
2,ring-k1,10,2.0,32,1.6,1240,12800,True
3,complete,1,19.0,5,0.25,1520,8740,True
3,ring-k4,3,8.0,11,0.55,1600,16160,True
3,ring-k3,4,6.0,14,0.7000000000000001,1560,16800,True
3,ring-k2,5,4.0,17,0.8500000000000001,1280,12400,True
3,ring-k1,10,2.0,32,1.6,1240,12800,True
4,complete,1,19.0,5,0.25,1520,8740,True
4,ring-k4,3,8.0,11,0.55,1600,16160,True
4,ring-k3,4,6.0,14,0.7000000000000001,1560,16800,True
4,ring-k2,5,4.0,17,0.8500000000000001,1280,12400,True
4,ring-k1,10,2.0,32,1.6,1240,12800,True
5,complete,1,19.0,5,0.25,1520,8740,True
5,ring-k4,3,8.0,11,0.55,1600,16160,True
5,ring-k3,4,6.0,14,0.7000000000000001,1560,16800,True
5,ring-k2,5,4.0,17,0.8500000000000001,1280,12400,True
5,ring-k1,10,2.0,32,1.6,1240,12800,True
6,complete,1,19.0,5,0.25,1520,8740,True
6,ring-k4,3,8.0,11,0.55,1600,16160,True
6,ring-k3,4,6.0,14,0.7000000000000001,1560,16800,True
6,ring-k2,5,4.0,17,0.8500000000000001,1280,12400,True
6,ring-k1,10,2.0,32,1.6,1240,12800,True
7,complete,1,19.0,5,0.25,1520,8740,True
7,ring-k4,3,8.0,11,0.55,1600,16160,True
7,ring-k3,4,6.0,14,0.7000000000000001,1560,16800,True
7,ring-k2,5,4.0,17,0.8500000000000001,1280,12400,True
7,ring-k1,10,2.0,32,1.6,1240,12800,True
8,complete,1,19.0,5,0.25,1520,8740,True
8,ring-k4,3,8.0,11,0.55,1600,16160,True
8,ring-k3,4,6.0,14,0.7000000000000001,1560,16800,True
8,ring-k2,5,4.0,17,0.8500000000000001,1280,12400,True
8,ring-k1,10,2.0,32,1.6,1240,12800,True
9,complete,1,19.0,5,0.25,1520,8740,True
9,ring-k4,3,8.0,11,0.55,1600,16160,True
9,ring-k3,4,6.0,14,0.7000000000000001,1560,16800,True
9,ring-k2,5,4.0,17,0.8500000000000001,1280,12400,True
9,ring-k1,10,2.0,32,1.6,1240,12800,True
10,complete,1,19.0,5,0.25,1520,8740,True
10,ring-k4,3,8.0,11,0.55,1600,16160,True
10,ring-k3,4,6.0,14,0.7000000000000001,1560,16800,True
10,ring-k2,5,4.0,17,0.8500000000000001,1280,12400,True
10,ring-k1,10,2.0,32,1.6,1240,12800,True
11,complete,1,19.0,5,0.25,1520,8740,True
11,ring-k4,3,8.0,11,0.55,1600,16160,True
11,ring-k3,4,6.0,14,0.7000000000000001,1560,16800,True
11,ring-k2,5,4.0,17,0.8500000000000001,1280,12400,True
11,ring-k1,10,2.0,32,1.6,1240,12800,True
