seed,delay_rounds,delay_ms,graph_diameter_D,exact_node_fraction,winner_jaccard,edge_disagreement,stale_record_fraction,recovery_rate,recovery_time_mean_s,recovery_time_p95_s
0,0,0,9,0.8374137931034482,0.9327067813277996,0.12488109393579072,0.08650000000000001,1.0,0.42068965517241386,0.45
0,1,50,9,0.6748275862068965,0.8654135626555993,0.2497621878715814,0.17300000000000001,1.0,0.8413793103448277,0.9
0,2,100,9,0.5122413793103449,0.7981203439833989,0.3746432818073722,0.2595,1.0,1.2620689655172417,1.35
0,4,200,9,0.19870689655172413,0.6649163404612622,0.6131093935790726,0.43125,0.10344827586206896,1.75,1.75
0,8,400,9,0.012413793103448275,0.49492860952505274,0.8394768133174791,0.6645,0.0,nan,nan
1,0,0,9,0.8497844827586207,0.9372895676645926,0.11072796934865899,0.088625,1.0,0.42407407407407405,0.45
1,1,50,9,0.6995689655172413,0.8745791353291854,0.22145593869731803,0.17725000000000002,1.0,0.8481481481481481,0.9
1,2,100,9,0.5493534482758621,0.811868702993778,0.33218390804597697,0.26587500000000003,1.0,1.2722222222222226,1.35
1,4,200,9,0.25926724137931034,0.6873716044678074,0.5448595146871008,0.441875,0.037037037037037035,1.75,1.75
1,8,400,9,0.07668103448275862,0.5193704172976346,0.731800766283525,0.6875,0.0,nan,nan
2,0,0,13,0.7895689655172413,0.9067708349910614,0.15616219667943806,0.12199999999999998,1.0,0.6037037037037037,0.65
2,1,50,13,0.5791379310344827,0.8135416699821227,0.31232439335887613,0.24399999999999997,1.0,1.2074074074074075,1.3
2,2,100,13,0.3687068965517241,0.7203125049731841,0.46848659003831417,0.366,1.0,1.8111111111111111,1.9500000000000002
2,4,200,13,0.14224137931034483,0.5783216741101087,0.6494252873563218,0.5612499999999999,0.037037037037037035,1.25,1.25
2,8,400,13,0.05655172413793104,0.46089982719797523,0.787962962962963,0.74075,0.0,nan,nan
3,0,0,6,0.8774568965517242,0.9437689071362019,0.10098522167487685,0.07675,1.0,0.3000000000000001,0.30000000000000004
3,1,50,6,0.7549137931034482,0.8875378142724042,0.2019704433497537,0.1535,1.0,0.6000000000000002,0.6000000000000001
3,2,100,6,0.6323706896551724,0.8313067214086061,0.30295566502463056,0.23025000000000004,1.0,0.8999999999999998,0.9
3,4,200,6,0.3872844827586207,0.7188445356810103,0.5049261083743843,0.38375,1.0,1.5,1.5
3,8,400,6,0.06418103448275862,0.5276248612380902,0.7749692118226602,0.655125,0.0,nan,nan
4,0,0,7,0.8876724137931035,0.9539392831721821,0.08579072532699168,0.0755,1.0,0.33333333333333326,0.35000000000000003
4,1,50,7,0.7753448275862069,0.9078785663443643,0.17158145065398336,0.15100000000000002,1.0,0.6666666666666665,0.7000000000000001
4,2,100,7,0.6630172413793103,0.8618178495165464,0.25737217598097506,0.2265,1.0,1.0000000000000002,1.05
4,4,200,7,0.4383620689655172,0.7696964158609108,0.4289536266349584,0.3775,1.0,1.6666666666666667,1.75
4,8,400,7,0.13530172413793104,0.6089311703711533,0.6677764565992866,0.637375,0.07407407407407407,1.8,1.8
5,0,0,10,0.8607327586206897,0.9600971896923072,0.0796076099881094,0.09849999999999999,1.0,0.45,0.5
5,1,50,10,0.7214655172413794,0.9201943793846146,0.1592152199762188,0.19699999999999998,1.0,0.9,1.0
5,2,100,10,0.5821982758620688,0.8802915690769219,0.2388228299643282,0.2955,1.0,1.3499999999999999,1.5
5,4,200,10,0.3286637931034483,0.8038895889590514,0.38272889417360284,0.484375,0.08333333333333333,1.75,1.75
5,8,400,10,0.13590517241379307,0.7175140572120168,0.5511890606420928,0.69225,0.0,nan,nan
6,0,0,9,0.8351724137931034,0.9239856882844367,0.11896551724137931,0.1005,1.0,0.44107142857142856,0.45
6,1,50,9,0.670344827586207,0.847971376568873,0.23793103448275862,0.20099999999999998,1.0,0.8821428571428571,0.9
6,2,100,9,0.5055172413793104,0.7719570648533095,0.3568965517241379,0.3015,1.0,1.3232142857142861,1.35
6,4,200,9,0.19181034482758622,0.6221681897455891,0.5818965517241379,0.5,0.03571428571428571,1.75,1.75
6,8,400,9,0.03120689655172414,0.4759506097259819,0.7427841634738186,0.722375,0.0,nan,nan
7,0,0,7,0.8755172413793104,0.9458420907468943,0.0886206896551724,0.0805,1.0,0.34285714285714286,0.35000000000000003
7,1,50,7,0.7510344827586207,0.8916841814937881,0.1772413793103448,0.161,1.0,0.6857142857142857,0.7000000000000001
7,2,100,7,0.626551724137931,0.8375262722406823,0.26586206896551723,0.2415,1.0,1.0285714285714287,1.05
7,4,200,7,0.3775862068965517,0.7292104537344705,0.44310344827586207,0.40249999999999997,1.0,1.7142857142857142,1.75
7,8,400,7,0.08120689655172414,0.5545987498383755,0.6918390804597702,0.6565,0.0,nan,nan
