sweep,M,N,population_P,iterations_T,seed,runtime_s,max_target_load
population,20,8,8,20,0,0.07233265694230795,3
population,20,8,8,20,1,0.05906909704208374,4
population,20,8,8,20,2,0.05886928294785321,3
population,20,8,8,20,3,0.057377067976631224,3
population,20,8,8,20,4,0.0589226430747658,3
population,20,8,8,20,5,0.05832946195732802,3
population,20,8,8,20,6,0.05830000899732113,3
population,20,8,16,20,0,0.10447417001705617,3
population,20,8,16,20,1,0.10228177299723029,3
population,20,8,16,20,2,0.09868850000202656,3
population,20,8,16,20,3,0.09731951204594225,3
population,20,8,16,20,4,0.09420963295269758,3
population,20,8,16,20,5,0.09576144407037646,4
population,20,8,16,20,6,0.093964918050915,3
population,20,8,32,20,0,0.17392263701185584,3
population,20,8,32,20,1,0.1767243529902771,3
population,20,8,32,20,2,0.18566929700318724,3
population,20,8,32,20,3,0.1879879959160462,3
population,20,8,32,20,4,0.192364735994488,3
population,20,8,32,20,5,0.18912111094687134,3
population,20,8,32,20,6,0.18810767505783588,3
population,20,8,64,20,0,0.34779303905088454,3
population,20,8,64,20,1,0.3396478929789737,3
population,20,8,64,20,2,0.339505905052647,3
population,20,8,64,20,3,0.3344191269716248,3
population,20,8,64,20,4,0.33099465898703784,3
population,20,8,64,20,5,0.327113147941418,3
population,20,8,64,20,6,0.35777926491573453,3
problem_size,10,4,12,12,0,0.03220793802756816,3
problem_size,10,4,12,12,1,0.03111763810738921,3
problem_size,10,4,12,12,2,0.030800865031778812,3
problem_size,10,4,12,12,3,0.030443674069829285,3
problem_size,10,4,12,12,4,0.030077412957325578,3
problem_size,20,8,12,12,0,0.04819185798987746,4
problem_size,20,8,12,12,1,0.04867263790220022,3
problem_size,20,8,12,12,2,0.048139633028768,4
problem_size,20,8,12,12,3,0.048894604900851846,4
problem_size,20,8,12,12,4,0.04450685600750148,4
problem_size,40,16,12,12,0,0.0858726060250774,4
problem_size,40,16,12,12,1,0.0894131800159812,4
problem_size,40,16,12,12,2,0.09112085599917918,4
problem_size,40,16,12,12,3,0.09280629002023488,5
problem_size,40,16,12,12,4,0.09353604505304247,4
problem_size,80,32,12,12,0,0.2836820950033143,5
problem_size,80,32,12,12,1,0.2685669589554891,5
problem_size,80,32,12,12,2,0.2635548369726166,5
problem_size,80,32,12,12,3,0.26857640605885535,7
problem_size,80,32,12,12,4,0.278804664965719,6
problem_size,160,64,12,12,0,2.0104957360308617,5
problem_size,160,64,12,12,1,2.0200904589146376,7
problem_size,160,64,12,12,2,1.838354017934762,7
problem_size,160,64,12,12,3,1.8867799440631643,6
problem_size,160,64,12,12,4,1.9861037390073761,6
