seed,M,N,graph_diameter_D,mean_degree,rounds,latency_s,messages,record_entries,fixed_point,idbo_cost,max_target_load
0,10,4,3,4.0,11,0.55,400,2200,True,0.1750756222361249,3
1,10,4,3,4.0,11,0.55,400,2200,True,0.2266281035897498,3
2,10,4,3,4.0,11,0.55,400,2200,True,0.0076180975216109045,3
3,10,4,3,4.0,11,0.55,400,2200,True,0.07307566283946242,3
4,10,4,3,4.0,11,0.55,400,2200,True,2.300289134329524,4
0,20,8,5,4.0,17,0.8500000000000001,1280,12400,True,1.0049517380361694,3
1,20,8,5,4.0,17,0.8500000000000001,1280,12400,True,0.36026238736448796,3
2,20,8,5,4.0,17,0.8500000000000001,1280,12400,True,1.505301205172875,4
3,20,8,5,4.0,17,0.8500000000000001,1280,12400,True,1.0890183599960932,3
4,20,8,5,4.0,17,0.8500000000000001,1280,12400,True,0.23613946546493564,3
0,40,16,10,4.0,32,1.6,4960,97600,True,5.63194093162857,4
1,40,16,10,4.0,32,1.6,4960,97600,True,6.506640416242291,4
2,40,16,10,4.0,32,1.6,4960,97600,True,6.251750979334064,4
3,40,16,10,4.0,32,1.6,4960,97600,True,4.348556920571753,5
4,40,16,10,4.0,32,1.6,4960,97600,True,3.4533354906372753,4
0,80,32,20,4.0,62,3.1,19520,774400,True,17.965429169263423,6
1,80,32,20,4.0,62,3.1,19520,774400,True,17.94538899802263,5
2,80,32,20,4.0,62,3.1,19520,774400,True,13.51639408776856,5
3,80,32,20,4.0,62,3.1,19520,774400,True,16.095625903805615,7
4,80,32,20,4.0,62,3.1,19520,774400,True,17.196982592912338,7
0,160,64,40,4.0,122,6.1000000000000005,77440,6169600,True,39.199234376963716,6
1,160,64,40,4.0,122,6.1000000000000005,77440,6169600,True,36.99869322954556,7
2,160,64,40,4.0,122,6.1000000000000005,77440,6169600,True,34.487225295991244,9
3,160,64,40,4.0,122,6.1000000000000005,77440,6169600,True,34.77739489029145,6
4,160,64,40,4.0,122,6.1000000000000005,77440,6169600,True,38.588509453258276,6
