case,tail_definition,metric,tail_n,remainder_n,tail_mean,tail_median,remainder_mean,remainder_median,mean_difference,relative_mean_change_percent
Case 1,E_co_time >= case-specific q95 (0.070833 s),E_co_time_s,50,937,0.07658333333254794,0.0758333333322298,0.04913909640650702,0.048333333333494,0.027444236926040914,55.85010497345395
Case 1,E_co_time >= case-specific q95 (0.070833 s),E_n_g,50,937,0.07967806685017262,0.078916105220509,0.07128770929867932,0.0711898230809554,0.008390357551493297,11.769711264447569
Case 1,E_co_time >= case-specific q95 (0.070833 s),E_miss_m,50,937,2.98254338107347,2.9941492269578447,2.998110617925745,2.97961393708333,-0.015567236852275013,-0.5192349061171488
Case 1,E_co_time >= case-specific q95 (0.070833 s),control_energy,50,937,1.8965943908730143,1.872676276552105,1.9701637234037834,1.96965888076962,-0.07356933253076914,-3.734173543895426
Case 1,E_co_time >= case-specific q95 (0.070833 s),E_t_s,50,937,29.077,29.15,28.82908217716115,28.95,0.24791782283885055,0.8599573906492761
Case 2,E_co_time >= case-specific q95 (0.152083 s),E_co_time_s,49,922,0.18571428571315376,0.17666666666446,0.07940708604426375,0.07416666666549646,0.10630719966889002,133.87621302415175
Case 2,E_co_time >= case-specific q95 (0.152083 s),E_n_g,49,922,0.14239528495240172,0.131461590704637,0.16700949558594322,0.1702051299219695,-0.024614210633541495,-14.738210271927326
Case 2,E_co_time >= case-specific q95 (0.152083 s),E_miss_m,49,922,3.181230616925101,3.18636369985351,3.0823015122727466,3.069103904254505,0.09892910465235438,3.2095855729379514
Case 2,E_co_time >= case-specific q95 (0.152083 s),control_energy,49,922,3.3920264850699575,3.1849265591208,3.2137509039336662,3.0797871196392848,0.17827558113629127,5.547274398836575
Case 2,E_co_time >= case-specific q95 (0.152083 s),E_t_s,49,922,36.65510204081633,36.35,33.2441431670282,32.95,3.4109588737881325,10.260330238173045
