case,cohort,metric,n,mean,std,q000,q010,q050,q250,q500,q750,q900,q950,q975,q990,q1000
Case 1,paper_matched,E_co_time_s,987,0.05052938196507039,0.011827429181984655,0.0191666666663878,0.0266666666662786,0.03250000000000112,0.0416666666668675,0.0491666666666774,0.0583333333324845,0.0666666666667038,0.07083333333334765,0.0758333333322298,0.08011666666550077,0.0899999999986903
Case 1,paper_matched,E_n_g,987,0.07171275274100422,0.011162685871009716,0.0353751514261434,0.04668148765310958,0.053852441172389715,0.0635574052856855,0.0716639151483983,0.07917227632735185,0.08600409892405826,0.08960750649387259,0.09347890015897757,0.09936883563798969,0.10800580721945
Case 1,paper_matched,E_miss_m,987,2.9973220041034407,0.26761317834914244,2.22048189787385,2.3650756830130737,2.579421596619644,2.816439379547285,2.98256637009013,3.18378142880704,3.3300994230217,3.464520136124391,3.5455532057124826,3.6354681862605047,3.83651080684731
Case 1,paper_matched,control_energy,987,1.9664368068622047,0.15975272100918278,1.52082289448454,1.6361413071331268,1.7200946078717212,1.862407413759235,1.96173768291074,2.059747416315095,2.155031169352546,2.215984251839787,2.278953100002925,2.355160891302297,3.55354149340392
Case 1,paper_matched,E_t_s,987,28.841641337386015,0.8523999890973836,25.65,26.343,27.15,28.4,28.95,29.45,29.8,30.0,30.117500000000003,30.307,30.5
Case 1,full_archive,E_co_time_s,1961,0.050560513344500756,0.011646755048742505,0.0175000000010186,0.02666666666744276,0.0333333333328483,0.0416666666693345,0.0499999999992724,0.0583333333326664,0.0666666666655146,0.0708333333333485,0.0741666666669516,0.0795000000022265,0.105833333339251
Case 1,full_archive,E_n_g,1961,0.07205723740322427,0.010993473133091264,0.0353751514261434,0.04765119217674244,0.0543156497502614,0.0642676551127522,0.0717381127654582,0.0789373329972879,0.0863374559767279,0.0906910579927898,0.0938233339197215,0.09893926415625458,0.112090453054781
Case 1,full_archive,E_miss_m,1961,2.9966399446099374,0.26629259902199104,2.14174780085588,2.3924106467038038,2.56803079981558,2.81461665789053,2.9913915849941,3.17909688265887,3.33402353473986,3.45386541373387,3.54014823726423,3.63991185966026,3.83651080684731
Case 1,full_archive,control_energy,1961,1.962623268503354,0.16011482677960923,1.36825465061706,1.605234677458242,1.71154113307603,1.85487838255295,1.95905870050041,2.06505891445597,2.16376322931666,2.22221539180202,2.28136334231517,2.353130613484416,3.55354149340392
Case 1,full_archive,E_t_s,1961,28.862468128505867,0.8325604881677844,24.9,26.35,27.2,28.45,28.95,29.45,29.8,29.95,30.15,30.25,30.5
Case 2,paper_matched,E_co_time_s,971,0.08477171301004707,0.036187998787924204,0.0275000000000048,0.03558333333285192,0.0424999999998711,0.0599999999991269,0.0766666666651872,0.10374999999937701,0.132499999998254,0.1520833333312115,0.17583333333104773,0.20024999999690427,0.316666666662059
Case 2,paper_matched,E_n_g,971,0.165767377850574,0.05048961370755016,0.0491885310032788,0.07443011895226599,0.08462088819634539,0.123154506892587,0.167478400547831,0.20845406643242448,0.231321225510014,0.2436930361041355,0.25276898624828925,0.2601442944920524,0.27893158618029
Case 2,paper_matched,E_miss_m,971,3.087293815185172,0.26618807514215737,2.20447206149837,2.491825645409528,2.651191590430205,2.907126758726055,3.07707636730814,3.263926677782495,3.44012649344909,3.53813892662825,3.6290738832213503,3.6968273712351905,3.89256392178558
Case 2,paper_matched,control_energy,971,3.222747302981739,0.6291784017551283,1.97166350007001,2.199246004156576,2.40401376328224,2.7575271470071296,3.08815504976252,3.649288027069665,4.18929196911358,4.43776611087363,4.618214693773105,4.753904679092895,5.4263314332931
Case 2,paper_matched,E_t_s,971,33.416271884654996,2.735794218203014,26.7,28.22,29.35,31.65,33.1,34.95,36.95,38.475,39.8625,41.19499999999999,44.65
Case 2,full_archive,E_co_time_s,1920,0.08539583333549725,0.03760740510345455,0.0250000000014552,0.03432500000167605,0.04249999999998432,0.0591666666703532,0.0766666666665287,0.10333333333227325,0.13258333334008113,0.1583750000087549,0.18416666666448733,0.21500000001280903,0.316666666662059
Case 2,full_archive,E_n_g,1920,0.16588466271643307,0.04977669207365635,0.0465863210764052,0.07063486169809657,0.08464776587581527,0.12433519977749975,0.16798829664599652,0.20774423848322876,0.2295892353322291,0.2420349627031794,0.2516191048008121,0.2603283838167534,0.298881509582405
Case 2,full_archive,E_miss_m,1920,3.0884660252068956,0.2630924247482008,2.20447206149837,2.46702261485226,2.6456567892821163,2.9066300683209922,3.09753862153503,3.26406472541356,3.424986990762059,3.52959268415925,3.598524823366801,3.6815709138595327,3.89256392178558
Case 2,full_archive,control_energy,1920,3.199892343478408,0.6290238220129556,1.97166350007001,2.1796885399865715,2.3715286309366923,2.7306298039547277,3.057360763887135,3.6116235509708825,4.144167169430007,4.422878963571937,4.623146893546063,4.8209483312033035,5.4263314332931
Case 2,full_archive,E_t_s,1920,33.45130208333333,2.8447172495168354,26.4,28.1095,29.2975,31.6,33.125,34.95,37.2,39.0,40.201249999999995,41.27149999999999,48.05
