case,delay_rank,source_row_1based,E_co_time_s,E_n_g,E_miss_m,control_energy,E_t_s,strict_success_record
Case 1,1,661,0.0899999999986903,0.0952115525654108,3.18556733507954,1.98601647502174,29.8,True
Case 1,2,91,0.0858333333336532,0.0912605309581232,2.96478737502861,1.64216626012689,28.5,True
Case 1,3,761,0.0858333333322662,0.0844242459107055,2.81238388480149,1.73510964651051,28.9,True
Case 1,4,705,0.0858333333320843,0.0928374132501436,2.53712263709075,1.94156402185601,29.8,True
Case 1,5,613,0.0833333333321207,0.0833452489224623,3.13382016085117,1.80517262178444,28.3,True
Case 1,6,381,0.0824999999987995,0.0825817442015842,3.2481027783945,1.89872632153985,28.6,True
Case 1,7,1,0.0816666666666677,0.0909233197248755,2.95536510102062,3.55354149340392,30.4,True
Case 1,8,34,0.0816666666665981,0.0675287707645968,2.92912199075104,1.8831827984745,29.6,True
Case 1,9,659,0.0816666666652964,0.0643376264282364,3.1954876515079,1.86890290317748,29.6,True
Case 1,10,702,0.0808333333321571,0.0964687384842424,2.63241941148586,1.73312342774786,27.75,True
Case 2,1,254,0.316666666662059,0.129062786511753,3.62355298629206,3.81199926585698,42.45,True
Case 2,2,645,0.28166666666275,0.111728678348237,3.56252183624648,3.43203531899894,38.0,True
Case 2,3,25,0.268333333333089,0.118761809541695,2.81475641812666,3.44070257954452,37.85,True
Case 2,4,662,0.238333333329865,0.22001473224206,3.14842815180825,3.01207397563545,35.4,True
Case 2,5,315,0.229999999996653,0.157465955631863,3.09519666618811,4.18695731925748,35.85,True
Case 2,6,423,0.217499999996835,0.138843823489383,2.77856492177581,2.9386781041532,36.45,True
Case 2,7,927,0.21416666666355,0.106231796875788,3.2275935837632,2.62949605855799,36.55,True
Case 2,8,391,0.203333333330374,0.0715224910828983,3.46396883053962,4.4554125178853,36.4,True
Case 2,9,844,0.200833333330229,0.0690729698124268,3.80132855048693,3.38420973003622,33.3,True
Case 2,10,624,0.200833333330229,0.106312360870321,3.06740449335894,3.96675488476938,36.25,True
