condition,case,variant,episode,seed,defender_id,target_id,time,dist_to_target,defender_pos_x,defender_pos_y,defender_pos_z
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,1,21,25.80000000000023,0.7777384081848163,438.8129066009984,722.9935536778213,370.2428813124657
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,17,21,25.850000000000232,1.5246072321063155,437.5986592241194,721.5169424677507,369.2740147192989
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,0,20,25.950000000000234,1.0558937207626573,700.513591329196,-234.3824056233831,478.0786179668912
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,9,21,25.950000000000234,1.023148529322486,436.5274992047348,719.785015613743,368.2902910869583
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,16,20,26.000000000000234,0.7740416268917715,699.6298619410958,-234.04050410982538,477.41317447981544
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,8,20,26.100000000000236,0.9269238428430197,697.1599996492489,-233.3352936082027,475.6320918163611
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,13,25,26.950000000000248,2.148562730500651,-432.1254578599774,-695.8088363696953,564.4933789610035
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,5,25,27.10000000000025,0.9740382283290053,-431.1245287607085,-694.0446164591542,563.0052604460811
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,12,24,27.70000000000026,2.3565562162248126,-852.4662415283107,291.86145269753246,448.69003504229534
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,4,24,27.80000000000026,2.8680573057912104,-849.8954586389901,291.2701394834086,447.321736838918
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,14,26,28.750000000000274,1.8761829178964404,-339.271355811634,-865.6476599448443,446.7893755523454
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,6,26,28.850000000000275,1.399652593363287,-338.5964863352802,-864.0233187434557,445.8760225166321
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,2,22,28.900000000000276,1.7773695272251973,260.48363543817385,867.7871493171948,455.9916385895161
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,15,27,28.900000000000276,1.536617621631045,784.4155602319742,-521.8751507518587,356.80458063182755
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,10,22,28.950000000000276,0.6954917626607456,260.3083390164271,867.5843726063906,455.85400199109785
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,7,27,29.050000000000278,1.0208428575042565,781.8931355741998,-520.1556860696201,355.5295208380578
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,18,22,29.050000000000278,0.5214363273819599,259.61981170132617,865.4519450675443,454.6287072549188
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,11,23,29.350000000000282,2.0437956845050835,-804.10712945949,461.44907723120997,439.04978895299445
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,3,23,29.400000000000283,0.8225875401167753,-803.9609119079262,461.5932372680887,439.01910080965183
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,19,23,29.500000000000284,0.35936381959632246,-802.3428356787553,460.69462807792894,438.06092342445254
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,2,22,24.850000000000218,2.8652951791316683,264.2452574115462,706.4323049624553,444.2046633956955
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,10,22,24.90000000000022,0.7728638676332683,264.02638433541165,707.1021157635439,444.5960810498617
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,0,20,25.00000000000022,1.6144521986692286,717.5820282221611,-171.07011456003798,408.2723077719724
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,18,22,25.00000000000022,0.4664681468012512,263.13186094591225,705.1902515074805,443.2472754439398
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,16,20,25.05000000000022,1.7961409884422914,716.1492103345365,-170.8981873720874,407.3892222009208
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,8,20,25.200000000000223,0.48487080817549333,713.6862843266997,-170.01370026983545,405.7760613617279
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,1,21,26.050000000000235,2.1984374444295254,457.7928854251462,679.3896055906671,468.0481620144786
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,9,21,26.100000000000236,0.34333438911389624,458.28026093782466,679.5149463594103,468.32606606213017
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,17,21,26.100000000000236,1.8350057966299478,457.3152489988617,678.6426625211128,467.5111044247397
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,12,24,26.200000000000237,0.4191822372188413,-850.505008313583,214.50096425043404,350.2440606294248
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,4,24,26.250000000000238,1.0240732523386513,-848.055503520946,214.10205207903124,349.08652668096477
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,11,23,26.850000000000247,1.3947082100106236,-662.5573459804175,502.92989653336014,471.49603386719116
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,3,23,26.900000000000247,1.0122521692585673,-661.8903395725089,502.34897273782195,470.94113368927225
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,19,23,26.950000000000248,2.541309941270842,-660.1050916552904,500.5157939276872,469.4610880859207
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,15,27,28.750000000000274,2.6092110601559613,824.3019826295356,-381.9560581238691,414.15469033856806
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,7,27,28.900000000000276,1.6727646168511328,821.8194937313809,-380.80683423455406,412.80466502105946
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,14,26,29.25000000000028,1.6463535157486762,-187.6480144706987,-873.0553867960456,551.0477660335221
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,6,26,29.400000000000283,0.8961660014351035,-187.06959461110927,-870.574458971006,549.3741090648823
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,13,25,30.250000000000295,2.644369727756556,-479.5474754703725,-804.9353744201015,585.9941033811649
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,5,25,30.350000000000296,2.984279839895446,-478.2672870797732,-802.9508780240415,584.5218742385321
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,3,99403,12,24,24.800000000000217,2.5590823188010168,-774.5289217961001,203.69613975577138,436.0721110964436
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,3,99403,4,24,24.90000000000022,0.16904972641845403,-774.581093646445,203.14802386262366,436.08417713894465
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,3,99403,2,22,25.550000000000228,2.5656775283093265,160.83937311222797,772.4587779923717,481.08442677969754
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,3,99403,0,20,25.60000000000023,2.0972449959283033,794.1652903957281,-136.04360814186535,470.570682691472
