condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,0,3,3,1,1,1,0.15000000000000213,0.05555555555555477,0.3182314909458214,0.9189530634991495,26.100000000000236,0.7403236198882442
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,1,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.13263891767101607,1.1084980565378726,25.950000000000234,0.604250061013251
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,2,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.20104364332584848,0.9980992057559676,29.050000000000278,0.537591832333669
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,3,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.08287333880868114,1.0752490147393938,29.500000000000284,0.45346445496466764
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.1284299280460558,2.6123067610080115,27.80000000000026,1.5750379849707064
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.07428749539590541,1.5613004794148282,27.10000000000025,0.6760036894825774
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,6,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.12949137805107885,1.6379177556298639,28.850000000000275,1.0071792908313961
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,1,99401,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.07526153591365492,1.2787302395676508,29.050000000000278,0.6441219355880344
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,0,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.33004821971188897,1.2984879984290045,25.200000000000223,0.3625293320136625
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,2,99402,1,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.11942433984918709,1.4589258767244564,26.100000000000236,0.9986973580883903
