condition,case,variant,episode,seed,defender_id,target_id,time,dist_to_target,defender_pos_x,defender_pos_y,defender_pos_z
final_case4_plot_source_clean,case4,full,1,98101,2,22,24.550000000000214,2.572247330623203,154.31859078013022,731.426908894385,405.1718709205013
final_case4_plot_source_clean,case4,full,1,98101,10,22,24.550000000000214,1.6393307050337729,154.23592664854212,732.2641492777426,405.6256946157374
final_case4_plot_source_clean,case4,full,1,98101,18,22,24.650000000000215,1.4009874420345765,153.70119039719978,730.0086196690485,404.2603385281223
final_case4_plot_source_clean,case4,full,1,98101,14,26,25.900000000000233,2.120964578537003,-236.63597156876574,-690.8632139318175,528.4445301882205
final_case4_plot_source_clean,case4,full,1,98101,6,26,26.000000000000234,0.9714295707918577,-235.9425817808993,-689.6433577469998,527.343445150706
final_case4_plot_source_clean,case4,full,1,98101,1,21,26.35000000000024,1.6899919760679334,353.38980421863545,686.8695516938318,541.8325428466067
final_case4_plot_source_clean,case4,full,1,98101,9,21,26.40000000000024,2.064344906737068,352.55468824292205,685.7736528305107,540.8755968464527
final_case4_plot_source_clean,case4,full,1,98101,17,21,26.40000000000024,2.3156195291849784,352.5210655664781,685.542596910667,540.726691008515
final_case4_plot_source_clean,case4,full,1,98101,15,27,26.50000000000024,0.5294217151585825,665.0137353325458,-350.7745517782783,523.8484256907014
final_case4_plot_source_clean,case4,full,1,98101,0,20,26.550000000000242,2.4046723306789066,767.2629101393053,-324.9582814138575,452.5270527354949
final_case4_plot_source_clean,case4,full,1,98101,16,20,26.600000000000243,1.863440220799241,766.6302924480992,-324.6773862245312,452.12568079153095
final_case4_plot_source_clean,case4,full,1,98101,7,27,26.650000000000244,0.345699577239092,662.3639904088768,-349.3096244968253,521.5283619810735
final_case4_plot_source_clean,case4,full,1,98101,8,20,26.750000000000245,0.21502776540483357,764.9203231228098,-323.57096500308563,450.9658610490672
final_case4_plot_source_clean,case4,full,1,98101,13,25,27.05000000000025,1.7331582551650395,-489.95010892804316,-739.2143942180227,361.15309956765657
final_case4_plot_source_clean,case4,full,1,98101,5,25,27.20000000000025,0.24131820958985692,-488.62531773983983,-737.059702085346,360.00289212636295
final_case4_plot_source_clean,case4,full,1,98101,12,24,27.350000000000254,0.5579374807662374,-844.1491092895473,211.3940862985365,504.17138550721194
final_case4_plot_source_clean,case4,full,1,98101,4,24,27.450000000000255,0.9399217848284176,-841.6922249922285,210.8551808215308,502.6201085306013
final_case4_plot_source_clean,case4,full,1,98101,3,23,28.300000000000267,2.495613594113426,-753.2109885401729,386.2539005637976,498.31335797866535
final_case4_plot_source_clean,case4,full,1,98101,11,23,28.300000000000267,1.2254422712849653,-754.0547094164502,386.9895863532669,498.94833423384165
final_case4_plot_source_clean,case4,full,1,98101,19,23,28.40000000000027,1.5461019205299327,-751.781291304366,385.6200508323572,497.3031828135856
final_case4_plot_source_clean,case4,full,2,98102,13,25,24.35000000000021,0.6867050918779373,-242.28355552491715,-722.6508340981194,409.69662536799854
final_case4_plot_source_clean,case4,full,2,98102,1,21,24.450000000000212,0.8445495198550296,340.8346739324462,680.8574631450175,432.9567213275853
final_case4_plot_source_clean,case4,full,2,98102,5,25,24.450000000000212,0.9688113806169887,-241.15756281586766,-720.1570404617925,408.07065674510034
final_case4_plot_source_clean,case4,full,2,98102,9,21,24.450000000000212,2.7249302657810164,339.679111785066,679.705779480628,431.95897962810574
final_case4_plot_source_clean,case4,full,2,98102,17,21,24.500000000000213,2.65166292857581,339.22370525237295,678.6524128082892,431.2710216902007
final_case4_plot_source_clean,case4,full,2,98102,15,27,24.550000000000214,0.41974107241557784,672.9711412863271,-344.3861191415035,451.71544669433473
final_case4_plot_source_clean,case4,full,2,98102,7,27,24.650000000000215,0.7832143884094218,670.8041446414649,-343.00266637744886,450.04084336986057
final_case4_plot_source_clean,case4,full,2,98102,2,22,27.650000000000258,1.6849803597679245,192.72795705952308,865.1546636101763,437.11608304819543
final_case4_plot_source_clean,case4,full,2,98102,10,22,27.70000000000026,1.6479164349228133,192.51745702505568,863.8920796156049,436.4216419058834
final_case4_plot_source_clean,case4,full,2,98102,18,22,27.75000000000026,0.5278410483015273,192.21280970269538,864.4355356613928,436.6578428045566
final_case4_plot_source_clean,case4,full,2,98102,14,26,27.80000000000026,0.5880781629690672,-111.75113092311179,-910.1025379147621,369.35122444796366
final_case4_plot_source_clean,case4,full,2,98102,6,26,27.90000000000026,2.1009291401145096,-111.61672946152797,-906.4727676156749,367.7007535806429
final_case4_plot_source_clean,case4,full,2,98102,11,23,28.050000000000264,2.172668907206419,-815.2245920914764,482.6898521362441,406.8517995379924
final_case4_plot_source_clean,case4,full,2,98102,0,20,28.100000000000264,2.2917260372698864,809.0843970921635,-92.59184473283437,533.3772219416146
final_case4_plot_source_clean,case4,full,2,98102,3,23,28.100000000000264,0.9704397070743993,-815.0851162430938,482.8462608162066,406.86495843601205
final_case4_plot_source_clean,case4,full,2,98102,12,24,28.100000000000264,0.30289724539673,-805.7957020386474,261.8002828611831,535.7690095343041
final_case4_plot_source_clean,case4,full,2,98102,16,20,28.100000000000264,2.155053093669644,809.1923295489469,-92.62385096743458,533.4605417565627
final_case4_plot_source_clean,case4,full,2,98102,19,23,28.150000000000265,0.7043471136195136,-814.3410944117911,482.4151978089334,406.46037723449984
final_case4_plot_source_clean,case4,full,2,98102,4,24,28.200000000000266,0.4211766083578286,-803.3040337486972,260.9897496745688,533.9934483890344
final_case4_plot_source_clean,case4,full,2,98102,8,20,28.200000000000266,2.0675791266065917,807.0632376385837,-92.32129241933661,531.9845784885574
final_case4_plot_source_clean,case4,full,3,98103,1,21,24.30000000000021,0.833102751320777,353.4498965199125,654.821054617164,445.9460433879083
final_case4_plot_source_clean,case4,full,3,98103,17,21,24.40000000000021,1.0290483955920124,352.0187802524885,652.761850582719,444.33218715619233
final_case4_plot_source_clean,case4,full,3,98103,9,21,24.450000000000212,1.6193013176120947,351.0112742301153,651.4258578656894,443.28918108811
final_case4_plot_source_clean,case4,full,3,98103,13,25,25.00000000000022,2.823905326200251,-373.5551108121834,-644.5578894049281,417.31456511497055
final_case4_plot_source_clean,case4,full,3,98103,5,25,25.200000000000223,1.9080266073652656,-371.2928629312277,-641.0401907400166,414.7900876235866
final_case4_plot_source_clean,case4,full,3,98103,0,20,25.60000000000023,2.9029359548046423,767.8741158277986,-121.4767071929274,478.11867422765573
final_case4_plot_source_clean,case4,full,3,98103,16,20,25.65000000000023,0.9038705577546178,768.5209395323633,-121.22236364083612,478.5578591883471
final_case4_plot_source_clean,case4,full,3,98103,2,22,25.70000000000023,0.3818764894671603,180.59606780758844,758.987707867502,521.3052945372289
final_case4_plot_source_clean,case4,full,3,98103,10,22,25.70000000000023,1.4641245333737014,180.63389056626193,758.0360154212468,520.6413726488781
