condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
final_case4_plot_source_clean,case4,full,1,98101,0,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.20329321957681445,1.4943801056276602,26.750000000000245,0.3548744306630806
final_case4_plot_source_clean,case4,full,1,98101,1,3,3,1,1,1,0.05000000000000071,0.022222222222223326,0.09744507604202644,2.0233188039966596,26.40000000000024,1.5912186643698776
final_case4_plot_source_clean,case4,full,1,98101,2,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.2514131736924318,1.8708551592305174,24.650000000000215,0.6983635186148218
final_case4_plot_source_clean,case4,full,1,98101,3,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.14233595592222745,1.7557192619761082,28.40000000000027,0.7038754206156576
final_case4_plot_source_clean,case4,full,1,98101,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.15510568092071486,0.7489296327973275,27.450000000000255,0.7489296327973275
final_case4_plot_source_clean,case4,full,1,98101,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.16153999212434106,0.9872382323774482,27.20000000000025,0.26610671561644583
final_case4_plot_source_clean,case4,full,1,98101,6,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.26401746516961666,1.5461970746644305,26.000000000000234,0.8220516775343212
final_case4_plot_source_clean,case4,full,1,98101,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.21776677893835567,0.4375606461988373,26.650000000000244,0.4375606461988373
final_case4_plot_source_clean,case4,full,2,98102,0,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.1940863516803846,2.171452752515374,28.200000000000266,1.037523310864556
final_case4_plot_source_clean,case4,full,2,98102,1,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.13682842903220563,2.0737142380706186,24.500000000000213,1.522366172722055
final_case4_plot_source_clean,case4,full,2,98102,2,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.27025580437943025,1.286912614330755,27.75000000000026,0.29803742247283443
final_case4_plot_source_clean,case4,full,2,98102,3,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.043231940311155716,1.282485242633444,28.150000000000265,0.4457987301846586
final_case4_plot_source_clean,case4,full,2,98102,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.2610636820577139,0.3620369268772793,28.200000000000266,0.3620369268772793
final_case4_plot_source_clean,case4,full,2,98102,5,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.17970309630760575,0.8277582362474629,24.450000000000212,0.8277582362474629
final_case4_plot_source_clean,case4,full,2,98102,6,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.14404486017058618,1.3445036515417885,27.90000000000026,1.3445036515417885
final_case4_plot_source_clean,case4,full,2,98102,7,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.12599356392836775,0.6014777304124999,24.650000000000215,0.6014777304124999
final_case4_plot_source_clean,case4,full,3,98103,0,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.14666573612968165,1.6362092222096802,25.75000000000023,0.6662327364333073
final_case4_plot_source_clean,case4,full,3,98103,1,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.15902200790133522,1.160484154841628,24.450000000000212,0.8527174673820478
final_case4_plot_source_clean,case4,full,3,98103,2,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.1494265040570692,1.5466610106727972,25.75000000000023,1.1314002522825617
final_case4_plot_source_clean,case4,full,3,98103,3,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.10404641698123411,1.5630938907477798,27.600000000000257,0.3759445761128612
final_case4_plot_source_clean,case4,full,3,98103,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.14636688521253743,0.8675403590654823,28.40000000000027,0.23333855883826873
final_case4_plot_source_clean,case4,full,3,98103,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.20128637915502434,2.3659659667827584,25.200000000000223,1.0240246505223556
final_case4_plot_source_clean,case4,full,3,98103,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.18746808111666685,1.5303828392905123,28.900000000000276,0.24819812119242296
final_case4_plot_source_clean,case4,full,3,98103,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.20032029562846673,2.252824835547095,27.05000000000025,1.5280753316555358
final_case4_plot_source_clean,case4,full,4,98104,0,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.19715088386660976,1.7584929446672037,28.150000000000265,0.6742735719319164
final_case4_plot_source_clean,case4,full,4,98104,1,3,3,1,1,1,0.10000000000000142,0.03333333333333499,0.1293606112083906,1.055741709721007,27.250000000000252,0.12874512147888895
