case,episode,seed,failed_count,failed_defender_ids,failed_target_indices,interception_success,all_active_defenders_hit,cooperative_success,targets_covered,active_defenders_hit,E_co_time_s,E_n_g,E_miss_m,E_t_s,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms
case1,1,89001,2,10;18,2;2,1,1,1,8,18,0.00868055555555558,0.3132981942747487,1.652638372368254,35.950000000000095,35.95,50.0,3.0,0.3,250.0
case1,2,89002,2,9;11,1;3,1,1,1,8,18,0.011805555555555477,0.2094534142926686,1.6175158725804908,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,3,89003,2,4;15,4;7,1,1,1,8,18,0.0114583333333332,0.25593676605084714,1.6912486082110236,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,4,89004,2,2;13,2;5,1,1,1,8,18,0.011458333333333496,0.26271418760485715,1.8115164187251827,34.45000000000018,34.45,50.0,3.0,0.3,250.0
case1,5,89005,2,10;15,2;7,1,1,1,8,18,0.014583333333333318,0.3551089081613883,1.7134790573136733,35.00000000000015,35.0,50.0,3.0,0.3,250.0
case1,6,89006,2,3;9,3;1,1,0,0,8,17,0.011805555555555255,0.3965666453142991,1.7804857195248858,33.10000000000026,75.0,50.0,3.0,0.3,250.0
case1,7,89007,2,8;16,0;0,1,1,1,8,18,0.011805555555555477,0.20790144323564855,1.7093711907742066,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,8,89008,2,1;12,1;4,1,1,1,8,18,0.0114583333333332,0.28610148149120496,1.5318244215237664,34.25000000000019,34.25,50.0,3.0,0.3,250.0
case1,9,89009,2,1;14,1;6,1,1,1,8,18,0.011458333333332979,0.22495098971959945,1.571125497436433,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,10,89010,2,7;19,7;3,1,1,1,8,18,0.011805555555555477,0.26688340720653303,1.4905559294734867,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,11,89011,2,4;17,4;1,1,1,1,8,18,0.014583333333333245,0.25924597299096824,1.7257492115797612,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,12,89012,2,10;17,2;1,1,1,1,8,18,0.014930555555555447,0.2818318580700815,1.4702916412670874,35.00000000000015,35.0,50.0,3.0,0.3,250.0
case1,13,89013,2,5;17,5;1,1,1,1,8,18,0.014583333333333245,0.2546396537879738,1.5949515062183344,37.10000000000003,37.1,50.0,3.0,0.3,250.0
case1,14,89014,2,12;15,4;7,1,1,1,8,18,0.0114583333333332,0.22385955599283014,1.5873335104551465,34.000000000000206,34.0,50.0,3.0,0.3,250.0
case1,15,89015,2,1;4,1;4,1,1,1,8,18,0.014583333333333023,0.18194690747653963,1.6073017997402594,33.150000000000254,33.15,50.0,3.0,0.3,250.0
case1,16,89016,2,8;17,0;1,1,0,0,8,17,0.018055555555555124,0.20566435465468555,1.6984593986018575,33.150000000000254,75.0,50.0,3.0,0.3,250.0
case1,17,89017,2,7;14,7;6,1,1,1,8,18,0.008333333333333156,0.22761873079488582,1.568112498780585,33.150000000000254,33.15,50.0,3.0,0.3,250.0
case1,18,89018,2,10;12,2;4,1,1,1,8,18,0.011805555555555403,0.3094811108555522,1.5203957943081818,35.00000000000015,35.0,50.0,3.0,0.3,250.0
case1,19,89019,2,15;18,7;2,1,1,1,8,18,0.00868055555555558,0.23103119578273112,1.6843132836805483,33.40000000000024,33.4,50.0,3.0,0.3,250.0
case1,20,89020,2,2;18,2;2,1,1,1,8,18,0.00868055555555558,0.2515263986495112,1.3144804821408473,34.700000000000166,34.7,50.0,3.0,0.3,250.0
case1,21,89021,2,3;12,3;4,1,1,1,8,18,0.011805555555555255,0.18736448433508057,1.3750184047702296,33.80000000000022,33.800000000000004,50.0,3.0,0.3,250.0
case1,22,89022,2,6;15,6;7,1,1,1,8,18,0.008333333333333156,0.24165544314190532,1.553305962871431,33.150000000000254,33.15,50.0,3.0,0.3,250.0
case1,23,89023,2,1;7,1;7,1,1,1,8,18,0.014583333333333023,0.2910363324003434,1.5421494176955943,33.150000000000254,33.15,50.0,3.0,0.3,250.0
case1,24,89024,2,7;15,7;7,0,0,0,7,18,nan,nan,nan,nan,33.1,50.0,3.0,0.3,250.0
case1,25,89025,2,2;4,2;4,1,1,1,8,18,0.00868055555555558,0.22562441242359416,1.7552225344295804,33.35000000000024,33.35,50.0,3.0,0.3,250.0
case1,26,89026,2,0;5,0;5,0,0,0,7,17,nan,nan,nan,nan,75.0,50.0,3.0,0.3,250.0
case1,27,89027,2,9;14,1;6,1,1,1,8,18,0.014583333333333023,0.2286781975764709,1.6592159362306687,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,28,89028,2,3;5,3;5,1,1,1,8,18,0.008680555555555433,0.2524850726770209,1.664697271355655,34.80000000000016,34.800000000000004,50.0,3.0,0.3,250.0
case1,29,89029,2,4;13,4;5,1,1,1,8,18,0.0114583333333332,0.2903549782855269,1.7309498516820714,34.40000000000018,34.4,50.0,3.0,0.3,250.0
case1,30,89030,2,13;14,5;6,0,0,0,7,16,nan,nan,nan,nan,75.0,50.0,3.0,0.3,250.0
case1,31,89031,2,2;10,2;2,1,1,1,8,18,0.014583333333333318,0.20240079125202676,1.7595279091600324,35.9000000000001,35.9,50.0,3.0,0.3,250.0
case1,32,89032,2,1;18,1;2,1,0,0,8,17,0.011805555555555403,0.21547314459189665,1.7958364022661868,33.40000000000024,75.0,50.0,3.0,0.3,250.0
case1,33,89033,2,10;12,2;4,1,1,1,8,18,0.014583333333333318,0.24731968420010758,1.3859577637181972,35.00000000000015,35.0,50.0,3.0,0.3,250.0
case1,34,89034,2,6;19,6;3,1,1,1,8,18,0.01458333333333317,0.31151713595915625,1.7337567123205282,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,35,89035,2,11;12,3;4,1,1,1,8,18,0.008680555555555433,0.317730768346019,1.6991338701612406,33.70000000000022,33.7,50.0,3.0,0.3,250.0
case1,36,89036,2,4;12,4;4,0,0,0,7,18,nan,nan,nan,nan,33.1,50.0,3.0,0.3,250.0
case1,37,89037,2,11;16,3;0,1,1,1,8,18,0.012152777777777754,0.306617990699167,1.6704570165035166,33.150000000000254,33.15,50.0,3.0,0.3,250.0
case1,38,89038,2,10;15,2;7,1,1,1,8,18,0.011805555555555403,0.17986658311143056,1.830476720108963,35.00000000000015,35.0,50.0,3.0,0.3,250.0
case1,39,89039,2,9;10,1;2,1,1,1,8,18,0.011805555555555403,0.21579332390542275,1.6618758912921372,35.00000000000015,35.0,50.0,3.0,0.3,250.0
case1,40,89040,2,7;16,7;0,1,1,1,8,18,0.008680555555555433,0.285397596794596,1.5018563331361945,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,41,89041,2,10;19,2;3,1,0,0,8,17,0.012152777777777679,0.37415432881505584,1.7203730544268525,35.00000000000015,75.0,50.0,3.0,0.3,250.0
case1,42,89042,2,9;19,1;3,1,1,1,8,18,0.011805555555555477,0.29307585256457774,1.6061677520194202,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,43,89043,2,7;14,7;6,1,1,1,8,18,0.008333333333333156,0.2714070664990396,1.3863294723593231,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,44,89044,2,6;10,6;2,1,1,1,8,18,0.01180555555555518,0.2679307424761045,1.6848076602507907,35.00000000000015,35.0,50.0,3.0,0.3,250.0
case1,45,89045,2,0;13,0;5,1,1,1,8,18,0.008680555555555433,0.19100512480584514,1.8409465549814943,34.45000000000018,34.45,50.0,3.0,0.3,250.0
case1,46,89046,2,7;13,7;5,1,0,0,8,16,0.011805555555555477,0.2904393485930362,1.8667153398685044,34.60000000000017,75.0,50.0,3.0,0.3,250.0
case1,47,89047,2,8;14,0;6,1,1,1,8,18,0.011805555555555255,0.21927155318637448,1.732388840236551,33.150000000000254,33.15,50.0,3.0,0.3,250.0
case1,48,89048,2,10;14,2;6,1,1,1,8,18,0.01180555555555518,0.36744558217605594,1.5563435107232424,35.00000000000015,35.0,50.0,3.0,0.3,250.0
case1,49,89049,2,8;18,0;2,1,1,1,8,18,0.012152777777777457,0.2596344574280118,1.730093399338582,33.40000000000024,33.4,50.0,3.0,0.3,250.0
case1,50,89050,2,11;15,3;7,1,1,1,8,18,0.011458333333333348,0.298580169153551,1.7940277778239004,33.150000000000254,33.15,50.0,3.0,0.3,250.0
case1,51,89051,2,2;11,2;3,1,1,1,8,18,0.009027777777777857,0.2212331162065017,1.7144826030477005,33.35000000000024,33.35,50.0,3.0,0.3,250.0
case1,52,89052,2,1;13,1;5,0,0,0,7,17,nan,nan,nan,nan,75.0,50.0,3.0,0.3,250.0
case1,53,89053,2,1;3,1;3,1,1,1,8,18,0.008680555555555433,0.24795969697072165,1.6344830231031653,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,54,89054,2,13;16,5;0,1,1,1,8,18,0.014930555555555522,0.2456453645340313,1.6046476295252217,34.45000000000018,34.45,50.0,3.0,0.3,250.0
case1,55,89055,2,6;17,6;1,1,1,1,8,18,0.0114583333333332,0.2750035245396902,1.6938605658203243,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,56,89056,2,0;2,0;2,1,0,0,8,17,0.005902777777777812,0.24028314845048873,1.7402353639758736,33.35000000000024,75.0,50.0,3.0,0.3,250.0
case1,57,89057,2,9;10,1;2,1,1,1,8,18,0.01805555555555527,0.25495889571026753,1.7441702206721084,35.00000000000015,35.0,50.0,3.0,0.3,250.0
case1,58,89058,2,6;16,6;0,1,1,1,8,18,0.011805555555555477,0.28492031325066125,1.5385890026382651,33.150000000000254,33.15,50.0,3.0,0.3,250.0
case1,59,89059,2,13;14,5;6,1,1,1,8,18,0.0114583333333332,0.31319753190021615,1.470747481616238,34.550000000000175,34.550000000000004,50.0,3.0,0.3,250.0
case1,60,89060,2,11;15,3;7,1,1,1,8,18,0.0149305555555553,0.24470046994860406,2.0308756121117213,33.150000000000254,33.15,50.0,3.0,0.3,250.0
case1,61,89061,2,1;9,1;1,1,1,1,8,18,0.0114583333333332,0.22580973478798044,1.623749428718651,33.150000000000254,33.15,50.0,3.0,0.3,250.0
case1,62,89062,2,10;19,2;3,1,1,1,8,18,0.012152777777777679,0.2214850031536176,1.6132838241670733,35.00000000000015,35.0,50.0,3.0,0.3,250.0
case1,63,89063,2,14;15,6;7,1,1,1,8,18,0.008333333333333156,0.2662993099149503,1.840806805620851,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,64,89064,2,6;14,6;6,0,0,0,7,18,nan,nan,nan,nan,33.1,50.0,3.0,0.3,250.0
case1,65,89065,2,7;15,7;7,0,0,0,7,18,nan,nan,nan,nan,33.1,50.0,3.0,0.3,250.0
case1,66,89066,2,6;19,6;3,1,0,0,8,17,0.011805555555555477,0.15225488857409497,1.468441759967038,33.150000000000254,75.0,50.0,3.0,0.3,250.0
case1,67,89067,2,4;11,4;3,1,1,1,8,18,0.014583333333333393,0.2406442574558497,1.7733161761878455,33.150000000000254,33.15,50.0,3.0,0.3,250.0
case1,68,89068,2,13;19,5;3,1,1,1,8,18,0.011805555555555477,0.25040627573108637,1.6428980032099112,34.550000000000175,34.550000000000004,50.0,3.0,0.3,250.0
case1,69,89069,2,4;13,4;5,1,1,1,8,18,0.0114583333333332,0.2661804663760047,1.8920402855087322,34.40000000000018,34.4,50.0,3.0,0.3,250.0
case1,70,89070,2,15;17,7;1,1,1,1,8,18,0.014583333333333245,0.20660230147888264,1.6076165036368257,33.150000000000254,33.15,50.0,3.0,0.3,250.0
case1,71,89071,2,6;15,6;7,1,1,1,8,18,0.008333333333333156,0.255204427025709,1.6988801831965166,33.10000000000026,33.1,50.0,3.0,0.3,250.0
case1,72,89072,2,9;16,1;0,1,0,0,8,17,0.015277777777777798,0.26153278100769456,1.6712340692174263,33.150000000000254,75.0,50.0,3.0,0.3,250.0
case1,73,89073,2,4;9,4;1,1,1,1,8,18,0.014583333333333023,0.22760547468858364,1.706299628670782,33.150000000000254,33.15,50.0,3.0,0.3,250.0
case1,74,89074,2,6;16,6;0,1,1,1,8,18,0.005555555555555388,0.2963329893109403,1.6533562028429047,33.10000000000026,33.1,50.0,3.0,0.3,250.0
