case,episode,seed,defender_id,target_index,hit_time_s,terminal_abs_ny_g,hit_distance_m
case1,1,89001,4,4,26.750000000000245,0.052833157290236576,2.510537060172212
case1,1,89001,12,4,26.750000000000245,0.036298908765711374,1.5018470541517976
case1,1,89001,1,1,28.350000000000268,0.03698756962965005,1.931983951366372
case1,1,89001,9,1,28.350000000000268,0.40885209379292065,1.8130836993487358
case1,1,89001,17,1,28.350000000000268,0.1228303167709538,2.5411700815748426
case1,1,89001,7,7,28.50000000000027,0.5195467746832609,0.39947468826118576
case1,1,89001,15,7,28.50000000000027,0.44407121219852236,0.8754212020055546
case1,1,89001,14,6,29.20000000000028,0.23318128284868123,1.509643348779218
case1,1,89001,6,6,29.25000000000028,0.49479168456031064,0.8874379211499304
case1,1,89001,11,3,30.150000000000293,0.400234965296778,2.8150110223932208
case1,1,89001,19,3,30.150000000000293,0.18368619289835714,2.0637040791322088
case1,1,89001,3,3,30.200000000000294,0.1259927706143948,0.8288849583688066
case1,1,89001,0,0,31.30000000000031,0.4356372377359512,1.1850080211789469
case1,1,89001,8,0,31.30000000000031,0.5550782802071939,1.9829350933982335
case1,1,89001,16,0,31.35000000000031,0.47699047306165987,0.83312753517464
case1,1,89001,5,5,33.10000000000026,0.18366521009684944,1.1863491457075763
case1,1,89001,13,5,33.10000000000026,0.450164378974668,1.7746489589404197
case1,1,89001,2,2,35.950000000000095,0.3836792828195828,2.5667911420500817
case1,2,89002,4,4,26.750000000000245,0.04069223935415317,2.690839058926578
case1,2,89002,12,4,26.750000000000245,0.16514364440913995,1.3378884292285076
case1,2,89002,7,7,28.50000000000027,0.23196450470991367,0.2933775997162513
case1,2,89002,15,7,28.50000000000027,0.19910371293391083,0.7962442863486104
case1,2,89002,14,6,29.20000000000028,0.12910777979754906,1.8390503032619605
case1,2,89002,6,6,29.25000000000028,0.26288717371804754,0.7226871458628094
case1,2,89002,1,1,29.600000000000286,0.684605864679857,2.6766968526273733
case1,2,89002,17,1,29.600000000000286,0.19783955616311275,1.8894585607794248
case1,2,89002,0,0,31.30000000000031,0.05403508923825412,0.8467529413658145
case1,2,89002,8,0,31.30000000000031,0.17366013601980118,2.731294518071563
case1,2,89002,16,0,31.35000000000031,0.5675814002992341,0.6634563046279027
case1,2,89002,19,3,31.450000000000312,0.21034820068404458,2.6889016793142715
case1,2,89002,3,3,31.500000000000313,0.21307931025011434,1.6473082532678565
case1,2,89002,5,5,33.05000000000026,0.031682611940677174,2.8192609584013226
case1,2,89002,10,2,33.05000000000026,0.17753441062521935,1.9113549750306833
case1,2,89002,13,5,33.05000000000026,0.16643402014820208,1.1060966594143193
case1,2,89002,18,2,33.05000000000026,0.09738766188321973,1.6520064238730223
case1,2,89002,2,2,33.10000000000026,0.15735031677523476,0.25380109823886443
case1,3,89003,12,4,27.70000000000026,0.21604867494703484,2.2795712487850164
case1,3,89003,1,1,28.350000000000268,0.7123965421097288,1.791278510369968
case1,3,89003,9,1,28.350000000000268,0.32389180451391275,1.2612304173955031
case1,3,89003,17,1,28.350000000000268,0.001708740514997975,1.6900108615485392
case1,3,89003,14,6,29.20000000000028,0.25018876122809075,1.625305220460614
case1,3,89003,6,6,29.25000000000028,0.5554348837058051,1.3353598015972807
case1,3,89003,7,7,29.85000000000029,0.19268441969500294,2.32486731920747
case1,3,89003,11,3,30.150000000000293,0.02925344702970656,1.9135810534881155
case1,3,89003,19,3,30.150000000000293,0.06077432689709636,0.9212482565347736
case1,3,89003,3,3,30.200000000000294,0.31633537255434163,0.6652172275358289
case1,3,89003,0,0,31.30000000000031,0.18975835888875933,1.880518394561095
case1,3,89003,8,0,31.30000000000031,0.26281879249274337,2.731440813760094
case1,3,89003,16,0,31.35000000000031,0.097298260630411,0.9923139609965848
case1,3,89003,5,5,33.05000000000026,0.17470213107051605,1.229656259471477
case1,3,89003,10,2,33.05000000000026,0.3025325319107654,1.7593451752323868
case1,3,89003,13,5,33.05000000000026,0.4977707798560015,1.3112554633048104
case1,3,89003,18,2,33.05000000000026,0.17883494304827977,2.0312280775818357
case1,3,89003,2,2,33.10000000000026,0.22353514691285462,0.8868730268311068
