case,episode,seed,target_index,assigned_defenders,active_defenders,active_hits,target_covered,active_group_complete,coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s
case2,1,90001,0,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.1777375280610148,2.4700086332335753,29.500000000000284
case2,1,90001,1,3,3,3,1,1,1,0.0,0.0,0.33492032847364955,2.0353327263994725,26.150000000000237
case2,1,90001,2,3,3,3,1,1,0,0.7499999999999574,0.3111111111110934,0.3427122817212173,2.7227842751848694,63.049999999998555
case2,1,90001,3,3,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.2937118814752836,1.5557177287150499,28.150000000000265
case2,1,90001,4,2,1,0,0,0,0,nan,nan,nan,nan,nan
case2,1,90001,5,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.3894066326398372,2.9466122073446024,26.750000000000245
case2,1,90001,6,2,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.36188503392979543,2.7648800481671514,26.35000000000024
case2,1,90001,7,2,2,2,1,1,1,0.0,0.0,0.3001295164546516,1.9197193021177787,27.550000000000257
case2,2,90002,0,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.28499906513384293,2.0052602515749096,29.30000000000028
case2,2,90002,1,3,2,2,1,1,1,0.0,0.0,0.16799950641890027,2.786404706827951,26.200000000000237
case2,2,90002,2,3,2,2,1,1,1,0.14999999999999147,0.07499999999999574,0.20858884504952133,2.7070975632389835,65.09999999999845
case2,2,90002,3,3,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.1685911579938493,1.6370619093566943,28.150000000000265
case2,2,90002,4,2,2,2,1,1,1,0.0,0.0,0.12171210702586995,1.8349878515466314,24.850000000000218
case2,2,90002,5,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.18979901406301689,2.1362219783803296,26.750000000000245
case2,2,90002,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.12640602783749857,2.188433074520127,26.30000000000024
case2,2,90002,7,2,2,2,1,1,1,0.0,0.0,0.2706726204839772,1.420904091687499,27.550000000000257
case2,3,90003,0,3,2,2,1,1,1,0.0,0.0,0.47708588656013573,2.176084306472207,29.500000000000284
case2,3,90003,1,3,3,0,0,0,0,nan,nan,nan,nan,nan
case2,3,90003,2,3,3,3,1,1,0,27.099999999998467,12.022222222221542,0.27922091219009637,2.6082806375545498,64.2499999999985
case2,3,90003,3,3,2,2,1,1,1,0.0,0.0,0.2374868235543484,2.751029508088341,28.150000000000265
case2,3,90003,4,2,2,2,1,1,1,0.0,0.0,0.3875328435979686,1.2239078624606465,24.850000000000218
case2,3,90003,5,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.4782262213726713,1.799672822107695,26.750000000000245
case2,3,90003,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.37083597068474883,2.3169202337396557,26.30000000000024
case2,3,90003,7,2,2,2,1,1,1,0.0,0.0,0.17075251218628484,1.9315906753957162,27.550000000000257
case2,4,90004,0,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.2904066527340225,2.254624713741447,29.30000000000028
case2,4,90004,1,3,3,3,1,1,1,0.05000000000000071,0.022222222222223326,0.39834229229684825,2.5538119418751184,26.150000000000237
case2,4,90004,2,3,1,0,0,0,0,nan,nan,nan,nan,nan
case2,4,90004,3,3,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.15551847079381,1.6514320222979226,28.150000000000265
case2,4,90004,4,2,2,2,1,1,1,0.0,0.0,0.30151072252032163,2.2831855078267513,24.850000000000218
case2,4,90004,5,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.4151134788963418,1.8194439297875435,26.750000000000245
case2,4,90004,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.1184662923248179,1.7962672004774243,26.30000000000024
case2,4,90004,7,2,2,2,1,1,1,0.0,0.0,0.47732947843585344,2.3318878668460066,27.550000000000257
