reference_sample_id,data_status,reference_severity_class,source_difficulty_score,effective_failure_severity,source_E_co_time_s,source_E_n_g,source_E_miss_m,source_E_t_s,E_co_time_s,E_n_g,E_miss_m,E_t_s
1,synthetic_planning_reference_v3,moderate,0.3671884464574108,1.5746372371485367,0.0608333333333331,0.155815100959486,2.63173769256959,38.5,0.07907197081209696,0.32022412848349757,3.2329647534340666,44.0
2,synthetic_planning_reference_v3,low,0.46174450392625327,0.15141655749032848,0.0833333333333286,0.203024047438897,2.98428007862642,31.05,0.1056971569753339,0.2249329414507963,2.9800490251389595,31.1
3,synthetic_planning_reference_v3,moderate,0.43895718644078735,1.7366752237442618,0.0424999999999969,0.204024830714689,3.10306402262995,32.55,0.08611946223684264,0.2866095821513404,3.839457593335139,40.800000000000004
4,synthetic_planning_reference_v3,low,0.8646572014663294,0.08075313205386213,0.158333333333366,0.130756801915058,3.23884582005335,34.85,0.1920092015025813,0.1120010324266429,3.2938418038219606,35.85
5,synthetic_planning_reference_v3,moderate,0.33911443077896825,2.2293827041256904,0.0758333333333539,0.192856915758986,2.91049274758638,31.4,0.13960799661732648,0.5752828956892607,3.5812342723749677,43.7
6,synthetic_planning_reference_v3,mild,0.136040724794041,0.5505212062829736,0.0275000000000048,0.190270206697486,2.93597561130937,32.05,0.01624440217274311,0.23650654536448953,3.2153594268735954,33.75
7,synthetic_planning_reference_v3,low,0.4200484308829827,0.05246646390708103,0.0816666666666862,0.161208245386472,3.22786915206773,33.05,0.07593755687320428,0.1543325797246332,3.322483906886487,33.75
8,synthetic_planning_reference_v3,moderate,0.5057462625677244,1.8843067985804585,0.120000000000027,0.145152308519479,3.32874309092452,29.35,0.17839057673730344,0.22837332168253485,4.322927352423188,38.6
9,synthetic_planning_reference_v3,low,0.45573482109750346,0.13283006036070613,0.0875000000000199,0.216461839603344,3.03072047565314,34.7,0.09310278250899791,0.2695842892782508,3.023834599928815,35.75
10,synthetic_planning_reference_v3,mild,0.45382065795070625,0.682922206845076,0.0625000000000171,0.224988895204547,2.98219293199097,32.45,0.06859413179817017,0.34422240228744366,3.4066173059257587,35.2
11,synthetic_planning_reference_v3,low,0.7501331222048798,0.15405728864808438,0.131666666666698,0.0947572724414859,2.92026057559567,32.75,0.16182221937549573,0.06802700057038945,2.9136235784120825,32.300000000000004
12,synthetic_planning_reference_v3,low,0.37631371143627124,0.07294854415822924,0.0741666666666845,0.160790074686905,3.24082729323248,34.55,0.0628751347660564,0.16531518475834006,3.3613636148915402,34.45
13,synthetic_planning_reference_v3,moderate,0.5375399983668102,1.4615753035399799,0.0550000000000097,0.208831216813965,3.24049785646734,32.0,0.0627035504500765,0.27133950521784495,3.966194992606403,38.800000000000004
14,synthetic_planning_reference_v3,mild,0.75383506172118,0.7310001783906745,0.107500000000022,0.110337509570215,3.35491200385582,35.65,0.13111900537032317,0.1645081222369197,3.97318778790335,38.15
15,synthetic_planning_reference_v3,moderate,0.658192100099498,2.0791597551760423,0.0608333333333491,0.196237071328945,3.00902244858685,33.15,0.09385179833028323,0.3515032198454788,4.319483418749715,42.45
16,synthetic_planning_reference_v3,mild,0.5637967760806473,1.4478244193319607,0.0374999999999659,0.198839002023672,3.12875944021243,30.9,0.038912184898871716,0.3251620605407624,3.8896857576581496,35.2
17,synthetic_planning_reference_v3,moderate,0.69752160975256,2.431477598737754,0.104166666666572,0.166242153564083,3.28962311488593,42.2,0.15979239998990455,0.3486322729744189,4.662790000927714,45.0
18,synthetic_planning_reference_v3,moderate,0.3187723366045973,0.9164793710612916,0.0524999999999523,0.210760983619369,2.49234160475036,29.65,0.07820307169932865,0.33853243830768814,2.639087785146822,31.450000000000003
19,synthetic_planning_reference_v3,mild,0.4964259965668695,1.264408367998373,0.05499999999995,0.142954468577435,2.91393366323409,30.75,0.10291085214015103,0.2735778179578988,3.5419420906302514,36.2
20,synthetic_planning_reference_v3,mild,0.4320055525176753,0.9568593720083342,0.137499999999875,0.211106056816091,3.12718295887678,35.7,0.17167739923611228,0.28593514777108925,3.9080566709070133,40.85
21,synthetic_planning_reference_v3,low,0.7477374975079922,0.13167288393681012,0.0566666666666265,0.187651970849092,3.52959210298463,31.65,0.07039481699503175,0.20474832507079405,3.8486258344942144,32.5
22,synthetic_planning_reference_v3,moderate,0.763672662385195,1.6053989214682782,0.0958333333332291,0.207766163184493,3.36795365054132,31.7,0.11611948370074002,0.36488009421450657,4.058030936540893,36.65
23,synthetic_planning_reference_v3,mild,0.924735328001348,1.0522248536909116,0.152499999999867,0.230383521333832,3.42701230666201,41.1,0.20313621818216737,0.3294491099826528,4.133509430472235,44.6
24,synthetic_planning_reference_v3,moderate,0.3580285756739244,0.7771656337023638,0.0683333333332655,0.144259108980993,2.73620780545206,31.75,0.07863943323226566,0.1479124166506763,2.895349268546822,34.800000000000004
25,synthetic_planning_reference_v3,moderate,0.9566989189037672,3.4615743493108333,0.268333333333089,0.118761809541695,2.81475641812666,37.85,0.4681528350242741,0.21337843539426796,4.645665212438062,44.75
26,synthetic_planning_reference_v3,mild,0.6436450175488778,1.7944562982318744,0.113333333333225,0.244620921204531,3.42544300909563,31.25,0.135620085358986,0.489363969148493,4.631040933757659,40.150000000000006
27,synthetic_planning_reference_v3,low,0.30616445614754934,0.08106298115351747,0.0524999999999579,0.138901184865284,3.01573135400676,30.0,0.03373854775713492,0.143356283942036,2.9799814523666077,29.25
28,synthetic_planning_reference_v3,moderate,0.14591699708075792,1.2776375348903306,0.0708333333332746,0.0885570471846007,3.11110453669832,32.75,0.098578468207875,0.12921240037248516,3.948305784722192,40.35
29,synthetic_planning_reference_v3,mild,0.6301388835102364,0.9494866742603845,0.105833333333226,0.199981137690587,3.08726922182115,34.0,0.12017203622105346,0.241120877639294,3.725238111390473,39.050000000000004
30,synthetic_planning_reference_v3,low,0.3662113084674065,0.08032571207392096,0.0449999999999648,0.167118176600415,3.14416623254147,32.35,0.03172453529913403,0.1813457786684403,3.231939361402856,32.25
31,synthetic_planning_reference_v3,moderate,0.7170850332358171,1.4813803280983417,0.060833333333278,0.121188842810906,3.45606200650544,34.6,0.09057284445072483,0.21806815829945553,4.509925991271962,42.2
32,synthetic_planning_reference_v3,mild,0.5231371883335432,0.7161092266913246,0.10666666666657,0.25276807475337,2.84809660171892,34.8,0.12712014993834744,0.331759553747099,2.9073957306820133,36.75
33,synthetic_planning_reference_v3,moderate,0.4181370110658464,1.5071877225193697,0.0491666666666106,0.134997870534296,2.96141480593651,33.45,0.045409616448017685,0.26176691114931444,3.6289224427449525,40.800000000000004
34,synthetic_planning_reference_v3,mild,0.31284435867067634,0.7833586949171704,0.110833333333244,0.149002182998707,2.46154945640841,40.5,0.14308414954997392,0.21972639111303602,2.4164119420051606,44.550000000000004
35,synthetic_planning_reference_v3,mild,0.3545617983623005,0.45710987308400836,0.0516666666666197,0.221791828554109,2.90241933713734,34.6,0.04015281508161796,0.299945247757603,3.0507488277620647,36.7
36,synthetic_planning_reference_v3,moderate,0.49320703078635025,1.4403259866887608,0.0716666666666015,0.0991330985779559,3.08981852123906,31.6,0.11470622194810497,0.1617909730535943,4.02227308522681,38.45
37,synthetic_planning_reference_v3,low,0.5165113032153733,0.08576019585088519,0.0658333333332735,0.160771424827282,3.09261815155988,36.0,0.062113959902578106,0.18116966282288494,3.141454226309627,36.800000000000004
38,synthetic_planning_reference_v3,mild,0.5747793813133203,1.4642955940408853,0.0583333333332916,0.175177505338873,3.15729661694749,35.95,0.07302026975895974,0.3340066011315949,4.074813417183907,44.400000000000006
39,synthetic_planning_reference_v3,mild,0.714954933494105,0.7807287088354941,0.120833333333223,0.190650594026042,3.1224924221541,36.35,0.1511614264341658,0.2987919323561439,3.6797700067439427,40.550000000000004
40,synthetic_planning_reference_v3,mild,0.07539051665357613,0.2879634015556014,0.0416666666666288,0.191375075674754,2.96994512640471,30.55,0.022242850539544484,0.19803784099228824,2.9111786520729734,31.200000000000003
41,synthetic_planning_reference_v3,mild,0.6442592956797203,1.3326590154275664,0.0974999999999113,0.114565797625668,3.48118171753788,38.4,0.11496882117648889,0.20740553438324968,4.265213403826272,44.35
42,synthetic_planning_reference_v3,moderate,0.5196567738802705,1.4706649397469724,0.0808333333332712,0.245928398829361,3.19183066394663,30.75,0.10110622404823333,0.4330342525728451,4.135844700341562,36.800000000000004
43,synthetic_planning_reference_v3,low,0.4589841567537872,0.08610198486562391,0.0499999999999432,0.198915411745271,3.44012649344909,31.25,0.03191396860157414,0.22624845102774804,3.7826773155340576,30.700000000000003
44,synthetic_planning_reference_v3,mild,0.24018494789464873,0.6424359780464591,0.066666666666606,0.112891834734064,3.31150674251378,32.15,0.07384547143714093,0.10985965373279177,3.7626299117033906,36.6
