case,dataset_kind,metric,n,mean,std,min,q1,median,q3,max,lower_whisker,upper_whisker,lower_outlier_count,upper_outlier_count
case1,synthetic_reference_v4,E_co_time_s,1000,0.05836903596423097,0.018530292983896378,0.008506287585171645,0.045622951918852135,0.056196104916266,0.06944841570618653,0.1454162427352601,0.015579550798407879,0.10332361614597774,1,19
case1,synthetic_reference_v4,E_n_g,1000,0.09246586707847558,0.025345225352286234,0.024029349021596324,0.07372788853124132,0.09025232104783155,0.11067521337721109,0.14896752299218013,0.024029349021596324,0.14896752299218013,0,0
case1,synthetic_reference_v4,E_miss_m,1000,3.2942020548831987,0.4769704315219621,1.897320750949555,2.9504946060905377,3.260588568453468,3.5887965979308865,4.4836098060586105,2.019102821079731,4.4836098060586105,2,0
case1,synthetic_reference_v4,E_t_s,1000,30.8637,2.481505627674493,25.05,29.3,30.400000000000002,32.0125,40.25,25.25,36.0,2,46
case1,synthetic_planning_reference_v5,E_co_time_s,1000,0.05836903596423097,0.018530292983896378,0.008506287585171645,0.045622951918852135,0.056196104916266,0.06944841570618653,0.1454162427352601,0.015579550798407879,0.10332361614597774,1,19
case1,synthetic_planning_reference_v5,E_n_g,1000,0.08992858230763084,0.021360075084529317,0.03915841703066853,0.07659048207695296,0.09011577345431693,0.10312634511055535,0.1477383893190528,0.03915841703066853,0.142620320607423,0,12
case1,synthetic_planning_reference_v5,E_miss_m,1000,2.928958640079937,0.389078998372467,1.8745403292420322,2.674904658803144,2.906096169749171,3.147831316604849,4.3812721454464585,2.0045058801514077,3.8486475271663885,4,21
case1,synthetic_planning_reference_v5,E_t_s,1000,30.8637,2.481505627674493,25.05,29.3,30.400000000000002,32.0125,40.25,25.25,36.0,2,46
case2,synthetic_reference_v4,E_co_time_s,1000,0.11604156156156155,0.052537036885903256,0.04,0.07500093843843844,0.10500500500500501,0.1400441066066066,0.295,0.04,0.23697197197197195,0,28
case2,synthetic_reference_v4,E_n_g,1000,0.23144338133058653,0.0929845759863667,0.016316682983734683,0.15920304886032838,0.23456441821072388,0.3077321725610446,0.39486289399894,0.016316682983734683,0.39486289399894,0,0
case2,synthetic_reference_v4,E_miss_m,1000,3.608009396086654,0.5505741916430853,2.273804591360996,3.208019259306098,3.596886297164985,4.073763489624114,4.489976052828283,2.273804591360996,4.489976052828283,0,0
case2,synthetic_reference_v4,E_t_s,1000,37.0615,2.1632805025082935,32.2,35.9,37.2,38.400000000000006,42.5,32.2,42.150000000000006,0,12
case2,synthetic_planning_reference_v5,E_co_time_s,1000,0.11604156156156155,0.052537036885903256,0.04,0.07500093843843844,0.10500500500500501,0.1400441066066066,0.295,0.04,0.23697197197197195,0,28
case2,synthetic_planning_reference_v5,E_n_g,1000,0.2191221193003723,0.06625633046498287,0.059712069805936435,0.17975777771410228,0.22558607711999323,0.25081519562965715,0.39590209614634536,0.0777976043249407,0.35711616794718215,8,31
case2,synthetic_planning_reference_v5,E_miss_m,1000,3.2006738930193217,0.428677007441579,2.0796814411789297,2.9162136437733146,3.198883824568113,3.4663897347128914,4.455894219436577,2.092024718129612,4.266134060348585,1,16
case2,synthetic_planning_reference_v5,E_t_s,1000,37.0615,2.1632805025082935,32.2,35.9,37.2,38.400000000000006,42.5,32.2,42.150000000000006,0,12
