reference_sample_id,data_origin,source_row_index,source_resample_occurrence,case,episode,seed,failed_count,failed_defender_ids,failed_target_indices,interception_success,all_active_defenders_hit,cooperative_success,targets_covered,active_defenders_hit,E_co_time_s,E_n_g,E_miss_m,E_t_s,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms
1,synthetic_balanced_empirical_resample,1,1,case1,1,89001,2,10;18,2;2,1,1,1,8,18,0.00868055555555558,0.3132981942747487,1.652638372368254,35.950000000000095,35.95,50.0,3.0,0.3,250.0
2,synthetic_balanced_empirical_resample,44,1,case1,48,89048,2,10;14,2;6,1,1,1,8,18,0.01180555555555518,0.36744558217605594,1.5563435107232424,35.00000000000015,35.0,50.0,3.0,0.3,250.0
3,synthetic_balanced_empirical_resample,61,1,case1,68,89068,2,13;19,5;3,1,1,1,8,18,0.011805555555555477,0.25040627573108637,1.6428980032099112,34.550000000000175,34.550000000000004,50.0,3.0,0.3,250.0
4,synthetic_balanced_empirical_resample,45,1,case1,49,89049,2,8;18,0;2,1,1,1,8,18,0.012152777777777457,0.2596344574280118,1.730093399338582,33.40000000000024,33.4,50.0,3.0,0.3,250.0
5,synthetic_balanced_empirical_resample,53,1,case1,58,89058,2,6;16,6;0,1,1,1,8,18,0.011805555555555477,0.28492031325066125,1.5385890026382651,33.150000000000254,33.15,50.0,3.0,0.3,250.0
6,synthetic_balanced_empirical_resample,44,2,case1,48,89048,2,10;14,2;6,1,1,1,8,18,0.01180555555555518,0.36744558217605594,1.5563435107232424,35.00000000000015,35.0,50.0,3.0,0.3,250.0
7,synthetic_balanced_empirical_resample,71,1,case1,78,89078,2,0;17,0;1,1,1,1,8,18,0.011805555555555255,0.2115047496921926,1.7587838338544537,33.150000000000254,33.15,50.0,3.0,0.3,250.0
8,synthetic_balanced_empirical_resample,28,1,case1,31,89031,2,2;10,2;2,1,1,1,8,18,0.014583333333333318,0.20240079125202676,1.7595279091600324,35.9000000000001,35.9,50.0,3.0,0.3,250.0
9,synthetic_balanced_empirical_resample,85,1,case1,93,89093,2,11;15,3;7,1,1,1,8,18,0.011805555555555477,0.21380930148974253,1.8172182741210983,33.150000000000254,33.15,50.0,3.0,0.3,250.0
10,synthetic_balanced_empirical_resample,79,1,case1,87,89087,2,10;13,2;5,1,1,1,8,18,0.011805555555555403,0.25718323663470355,1.4997332120171314,35.00000000000015,35.0,50.0,3.0,0.3,250.0
11,synthetic_balanced_empirical_resample,52,1,case1,57,89057,2,9;10,1;2,1,1,1,8,18,0.01805555555555527,0.25495889571026753,1.7441702206721084,35.00000000000015,35.0,50.0,3.0,0.3,250.0
12,synthetic_balanced_empirical_resample,63,1,case1,70,89070,2,15;17,7;1,1,1,1,8,18,0.014583333333333245,0.20660230147888264,1.6076165036368257,33.150000000000254,33.15,50.0,3.0,0.3,250.0
13,synthetic_balanced_empirical_resample,29,1,case1,32,89032,2,1;18,1;2,1,0,0,8,17,0.011805555555555403,0.21547314459189665,1.7958364022661868,33.40000000000024,75.0,50.0,3.0,0.3,250.0
14,synthetic_balanced_empirical_resample,49,1,case1,54,89054,2,13;16,5;0,1,1,1,8,18,0.014930555555555522,0.2456453645340313,1.6046476295252217,34.45000000000018,34.45,50.0,3.0,0.3,250.0
15,synthetic_balanced_empirical_resample,80,1,case1,88,89088,2,5;7,5;7,1,1,1,8,18,0.0114583333333332,0.307910488574617,1.5899517082180212,35.15000000000014,35.15,50.0,3.0,0.3,250.0
16,synthetic_balanced_empirical_resample,26,1,case1,28,89028,2,3;5,3;5,1,1,1,8,18,0.008680555555555433,0.2524850726770209,1.664697271355655,34.80000000000016,34.800000000000004,50.0,3.0,0.3,250.0
17,synthetic_balanced_empirical_resample,74,1,case1,81,89081,2,3;16,3;0,1,1,1,8,18,0.005902777777777665,0.33152198473044303,1.43058882000288,33.10000000000026,33.1,50.0,3.0,0.3,250.0
18,synthetic_balanced_empirical_resample,87,1,case1,95,89095,2,5;14,5;6,1,1,1,8,18,0.008333333333333156,0.2879613167160864,1.8545260159057877,37.40000000000001,37.4,50.0,3.0,0.3,250.0
19,synthetic_balanced_empirical_resample,39,1,case1,43,89043,2,7;14,7;6,1,1,1,8,18,0.008333333333333156,0.2714070664990396,1.3863294723593231,33.10000000000026,33.1,50.0,3.0,0.3,250.0
20,synthetic_balanced_empirical_resample,80,2,case1,88,89088,2,5;7,5;7,1,1,1,8,18,0.0114583333333332,0.307910488574617,1.5899517082180212,35.15000000000014,35.15,50.0,3.0,0.3,250.0
21,synthetic_balanced_empirical_resample,73,1,case1,80,89080,2,1;4,1;4,1,1,1,8,18,0.014583333333333245,0.32771360296366014,1.6581558445969296,33.10000000000026,33.1,50.0,3.0,0.3,250.0
22,synthetic_balanced_empirical_resample,79,2,case1,87,89087,2,10;13,2;5,1,1,1,8,18,0.011805555555555403,0.25718323663470355,1.4997332120171314,35.00000000000015,35.0,50.0,3.0,0.3,250.0
23,synthetic_balanced_empirical_resample,17,1,case1,17,89017,2,7;14,7;6,1,1,1,8,18,0.008333333333333156,0.22761873079488582,1.568112498780585,33.150000000000254,33.15,50.0,3.0,0.3,250.0
24,synthetic_balanced_empirical_resample,19,1,case1,19,89019,2,15;18,7;2,1,1,1,8,18,0.00868055555555558,0.23103119578273112,1.6843132836805483,33.40000000000024,33.4,50.0,3.0,0.3,250.0
25,synthetic_balanced_empirical_resample,43,1,case1,47,89047,2,8;14,0;6,1,1,1,8,18,0.011805555555555255,0.21927155318637448,1.732388840236551,33.150000000000254,33.15,50.0,3.0,0.3,250.0
26,synthetic_balanced_empirical_resample,69,1,case1,76,89076,2,3;9,3;1,1,1,1,8,18,0.008680555555555433,0.2447947070166516,1.4039877041318403,33.10000000000026,33.1,50.0,3.0,0.3,250.0
27,synthetic_balanced_empirical_resample,2,1,case1,2,89002,2,9;11,1;3,1,1,1,8,18,0.011805555555555477,0.2094534142926686,1.6175158725804908,33.10000000000026,33.1,50.0,3.0,0.3,250.0
28,synthetic_balanced_empirical_resample,81,1,case1,89,89089,2,15;18,7;2,1,1,1,8,18,0.011805555555555403,0.16945087871640319,1.846331659359799,33.40000000000024,33.4,50.0,3.0,0.3,250.0
29,synthetic_balanced_empirical_resample,39,2,case1,43,89043,2,7;14,7;6,1,1,1,8,18,0.008333333333333156,0.2714070664990396,1.3863294723593231,33.10000000000026,33.1,50.0,3.0,0.3,250.0
30,synthetic_balanced_empirical_resample,5,1,case1,5,89005,2,10;15,2;7,1,1,1,8,18,0.014583333333333318,0.3551089081613883,1.7134790573136733,35.00000000000015,35.0,50.0,3.0,0.3,250.0
31,synthetic_balanced_empirical_resample,10,1,case1,10,89010,2,7;19,7;3,1,1,1,8,18,0.011805555555555477,0.26688340720653303,1.4905559294734867,33.10000000000026,33.1,50.0,3.0,0.3,250.0
32,synthetic_balanced_empirical_resample,63,2,case1,70,89070,2,15;17,7;1,1,1,1,8,18,0.014583333333333245,0.20660230147888264,1.6076165036368257,33.150000000000254,33.15,50.0,3.0,0.3,250.0
33,synthetic_balanced_empirical_resample,85,2,case1,93,89093,2,11;15,3;7,1,1,1,8,18,0.011805555555555477,0.21380930148974253,1.8172182741210983,33.150000000000254,33.15,50.0,3.0,0.3,250.0
34,synthetic_balanced_empirical_resample,26,2,case1,28,89028,2,3;5,3;5,1,1,1,8,18,0.008680555555555433,0.2524850726770209,1.664697271355655,34.80000000000016,34.800000000000004,50.0,3.0,0.3,250.0
35,synthetic_balanced_empirical_resample,68,1,case1,75,89075,2,9;17,1;1,1,1,1,8,18,0.014583333333333023,0.2524842915064224,1.5699267799348875,33.10000000000026,33.1,50.0,3.0,0.3,250.0
36,synthetic_balanced_empirical_resample,10,2,case1,10,89010,2,7;19,7;3,1,1,1,8,18,0.011805555555555477,0.26688340720653303,1.4905559294734867,33.10000000000026,33.1,50.0,3.0,0.3,250.0
37,synthetic_balanced_empirical_resample,30,1,case1,33,89033,2,10;12,2;4,1,1,1,8,18,0.014583333333333318,0.24731968420010758,1.3859577637181972,35.00000000000015,35.0,50.0,3.0,0.3,250.0
38,synthetic_balanced_empirical_resample,4,1,case1,4,89004,2,2;13,2;5,1,1,1,8,18,0.011458333333333496,0.26271418760485715,1.8115164187251827,34.45000000000018,34.45,50.0,3.0,0.3,250.0
39,synthetic_balanced_empirical_resample,64,1,case1,71,89071,2,6;15,6;7,1,1,1,8,18,0.008333333333333156,0.255204427025709,1.6988801831965166,33.10000000000026,33.1,50.0,3.0,0.3,250.0
40,synthetic_balanced_empirical_resample,16,1,case1,16,89016,2,8;17,0;1,1,0,0,8,17,0.018055555555555124,0.20566435465468555,1.6984593986018575,33.150000000000254,75.0,50.0,3.0,0.3,250.0
41,synthetic_balanced_empirical_resample,45,2,case1,49,89049,2,8;18,0;2,1,1,1,8,18,0.012152777777777457,0.2596344574280118,1.730093399338582,33.40000000000024,33.4,50.0,3.0,0.3,250.0
42,synthetic_balanced_empirical_resample,77,1,case1,85,89085,2,3;11,3;3,1,1,1,8,18,0.008680555555555433,0.2933975250482656,1.7770363905866264,33.10000000000026,33.1,50.0,3.0,0.3,250.0
43,synthetic_balanced_empirical_resample,65,1,case1,72,89072,2,9;16,1;0,1,0,0,8,17,0.015277777777777798,0.26153278100769456,1.6712340692174263,33.150000000000254,75.0,50.0,3.0,0.3,250.0
44,synthetic_balanced_empirical_resample,61,2,case1,68,89068,2,13;19,5;3,1,1,1,8,18,0.011805555555555477,0.25040627573108637,1.6428980032099112,34.550000000000175,34.550000000000004,50.0,3.0,0.3,250.0
45,synthetic_balanced_empirical_resample,16,2,case1,16,89016,2,8;17,0;1,1,0,0,8,17,0.018055555555555124,0.20566435465468555,1.6984593986018575,33.150000000000254,75.0,50.0,3.0,0.3,250.0
46,synthetic_balanced_empirical_resample,11,1,case1,11,89011,2,4;17,4;1,1,1,1,8,18,0.014583333333333245,0.25924597299096824,1.7257492115797612,33.10000000000026,33.1,50.0,3.0,0.3,250.0
47,synthetic_balanced_empirical_resample,24,1,case1,25,89025,2,2;4,2;4,1,1,1,8,18,0.00868055555555558,0.22562441242359416,1.7552225344295804,33.35000000000024,33.35,50.0,3.0,0.3,250.0
48,synthetic_balanced_empirical_resample,50,1,case1,55,89055,2,6;17,6;1,1,1,1,8,18,0.0114583333333332,0.2750035245396902,1.6938605658203243,33.10000000000026,33.1,50.0,3.0,0.3,250.0
49,synthetic_balanced_empirical_resample,25,1,case1,27,89027,2,9;14,1;6,1,1,1,8,18,0.014583333333333023,0.2286781975764709,1.6592159362306687,33.10000000000026,33.1,50.0,3.0,0.3,250.0
50,synthetic_balanced_empirical_resample,49,2,case1,54,89054,2,13;16,5;0,1,1,1,8,18,0.014930555555555522,0.2456453645340313,1.6046476295252217,34.45000000000018,34.45,50.0,3.0,0.3,250.0
51,synthetic_balanced_empirical_resample,45,3,case1,49,89049,2,8;18,0;2,1,1,1,8,18,0.012152777777777457,0.2596344574280118,1.730093399338582,33.40000000000024,33.4,50.0,3.0,0.3,250.0
52,synthetic_balanced_empirical_resample,62,1,case1,69,89069,2,4;13,4;5,1,1,1,8,18,0.0114583333333332,0.2661804663760047,1.8920402855087322,34.40000000000018,34.4,50.0,3.0,0.3,250.0
53,synthetic_balanced_empirical_resample,50,2,case1,55,89055,2,6;17,6;1,1,1,1,8,18,0.0114583333333332,0.2750035245396902,1.6938605658203243,33.10000000000026,33.1,50.0,3.0,0.3,250.0
54,synthetic_balanced_empirical_resample,43,2,case1,47,89047,2,8;14,0;6,1,1,1,8,18,0.011805555555555255,0.21927155318637448,1.732388840236551,33.150000000000254,33.15,50.0,3.0,0.3,250.0
55,synthetic_balanced_empirical_resample,10,3,case1,10,89010,2,7;19,7;3,1,1,1,8,18,0.011805555555555477,0.26688340720653303,1.4905559294734867,33.10000000000026,33.1,50.0,3.0,0.3,250.0
56,synthetic_balanced_empirical_resample,90,1,case1,98,89098,2,12;17,4;1,1,1,1,8,18,0.014583333333333245,0.235816236693533,1.4975758854284893,33.650000000000226,33.65,50.0,3.0,0.3,250.0
57,synthetic_balanced_empirical_resample,46,1,case1,50,89050,2,11;15,3;7,1,1,1,8,18,0.011458333333333348,0.298580169153551,1.7940277778239004,33.150000000000254,33.15,50.0,3.0,0.3,250.0
58,synthetic_balanced_empirical_resample,90,2,case1,98,89098,2,12;17,4;1,1,1,1,8,18,0.014583333333333245,0.235816236693533,1.4975758854284893,33.650000000000226,33.65,50.0,3.0,0.3,250.0
59,synthetic_balanced_empirical_resample,53,2,case1,58,89058,2,6;16,6;0,1,1,1,8,18,0.011805555555555477,0.28492031325066125,1.5385890026382651,33.150000000000254,33.15,50.0,3.0,0.3,250.0
60,synthetic_balanced_empirical_resample,91,1,case1,99,89099,2,16;18,0;2,1,1,1,8,18,0.009027777777777857,0.28641064651275683,1.7733750355906805,33.40000000000024,33.4,50.0,3.0,0.3,250.0
61,synthetic_balanced_empirical_resample,89,1,case1,97,89097,2,3;16,3;0,1,1,1,8,18,0.00902777777777771,0.2368999924352045,1.5162927571288045,33.10000000000026,33.1,50.0,3.0,0.3,250.0
62,synthetic_balanced_empirical_resample,58,1,case1,63,89063,2,14;15,6;7,1,1,1,8,18,0.008333333333333156,0.2662993099149503,1.840806805620851,33.10000000000026,33.1,50.0,3.0,0.3,250.0
63,synthetic_balanced_empirical_resample,78,1,case1,86,89086,2,12;16,4;0,1,1,1,8,18,0.008680555555555433,0.3073655236542616,1.5438695106656213,33.95000000000021,33.95,50.0,3.0,0.3,250.0
64,synthetic_balanced_empirical_resample,91,2,case1,99,89099,2,16;18,0;2,1,1,1,8,18,0.009027777777777857,0.28641064651275683,1.7733750355906805,33.40000000000024,33.4,50.0,3.0,0.3,250.0
65,synthetic_balanced_empirical_resample,48,1,case1,53,89053,2,1;3,1;3,1,1,1,8,18,0.008680555555555433,0.24795969697072165,1.6344830231031653,33.10000000000026,33.1,50.0,3.0,0.3,250.0
66,synthetic_balanced_empirical_resample,82,1,case1,90,89090,2,3;8,3;0,1,0,0,8,17,0.005902777777777665,0.3504866405334641,1.5703509661776793,33.10000000000026,75.0,50.0,3.0,0.3,250.0
67,synthetic_balanced_empirical_resample,79,3,case1,87,89087,2,10;13,2;5,1,1,1,8,18,0.011805555555555403,0.25718323663470355,1.4997332120171314,35.00000000000015,35.0,50.0,3.0,0.3,250.0
68,synthetic_balanced_empirical_resample,21,1,case1,21,89021,2,3;12,3;4,1,1,1,8,18,0.011805555555555255,0.18736448433508057,1.3750184047702296,33.80000000000022,33.800000000000004,50.0,3.0,0.3,250.0
69,synthetic_balanced_empirical_resample,18,1,case1,18,89018,2,10;12,2;4,1,1,1,8,18,0.011805555555555403,0.3094811108555522,1.5203957943081818,35.00000000000015,35.0,50.0,3.0,0.3,250.0
70,synthetic_balanced_empirical_resample,33,1,case1,37,89037,2,11;16,3;0,1,1,1,8,18,0.012152777777777754,0.306617990699167,1.6704570165035166,33.150000000000254,33.15,50.0,3.0,0.3,250.0
71,synthetic_balanced_empirical_resample,80,3,case1,88,89088,2,5;7,5;7,1,1,1,8,18,0.0114583333333332,0.307910488574617,1.5899517082180212,35.15000000000014,35.15,50.0,3.0,0.3,250.0
72,synthetic_balanced_empirical_resample,37,1,case1,41,89041,2,10;19,2;3,1,0,0,8,17,0.012152777777777679,0.37415432881505584,1.7203730544268525,35.00000000000015,75.0,50.0,3.0,0.3,250.0
73,synthetic_balanced_empirical_resample,81,2,case1,89,89089,2,15;18,7;2,1,1,1,8,18,0.011805555555555403,0.16945087871640319,1.846331659359799,33.40000000000024,33.4,50.0,3.0,0.3,250.0
74,synthetic_balanced_empirical_resample,59,1,case1,66,89066,2,6;19,6;3,1,0,0,8,17,0.011805555555555477,0.15225488857409497,1.468441759967038,33.150000000000254,75.0,50.0,3.0,0.3,250.0
