case,episode,seed,failed_count,failed_defender_ids,failed_target_indices,interception_success,all_active_defenders_hit,cooperative_success,targets_covered,active_defenders_hit,E_co_time_s,E_n_g,E_miss_m,E_t_s,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms
case2,2,90002,2,1;18,1;2,1,1,1,8,18,0.03645833333333319,0.19234604300080957,2.0895464283916407,65.09999999999845,65.10000000000001,50.0,3.0,0.3,400.0
case2,5,90005,2,0;13,0;5,1,0,0,8,17,0.1538194444444371,0.24667412870117708,2.2902761236469837,65.59999999999842,75.0,50.0,3.0,0.3,400.0
case2,6,90006,2,8;18,0;2,1,0,0,8,15,0.023611111111111548,0.2551367691168256,2.302364499424132,64.59999999999847,75.0,50.0,3.0,0.3,400.0
case2,7,90007,2,0;17,0;1,1,0,0,8,17,1.6090277777776876,0.20163631262986909,1.7973670563946913,66.04999999999839,75.0,50.0,3.0,0.3,400.0
case2,8,90008,2,2;17,2;1,1,1,0,8,18,2.1864583333332117,0.2946794519256494,2.0465289120555124,71.84999999999806,71.85000000000001,50.0,3.0,0.3,400.0
case2,12,90012,2,13;17,5;1,1,0,0,8,17,1.6350694444443534,0.27497592062651594,1.9942067259357528,62.99999999999856,75.0,50.0,3.0,0.3,400.0
case2,17,90017,2,3;18,3;2,1,1,0,8,18,2.15798611111099,0.24076060133396715,1.8280870982870887,71.64999999999807,71.65,50.0,3.0,0.3,400.0
case2,19,90019,2,4;9,4;1,1,0,0,8,17,1.8954861111110057,0.3350925671268869,2.130982332088382,70.74999999999812,75.0,50.0,3.0,0.3,400.0
case2,21,90021,2,6;10,6;2,1,1,0,8,18,2.2649305555554284,0.31985121481110346,2.145703901766708,73.19999999999798,73.2,50.0,3.0,0.3,400.0
case2,26,90026,2,10;11,2;3,1,0,0,8,16,2.3239583333332035,0.2489990393994543,2.069561326350544,74.14999999999793,75.0,50.0,3.0,0.3,400.0
case2,27,90027,2,3;8,3;0,1,0,0,8,17,0.18541666666665715,0.2783016184788595,1.9871417239696467,66.84999999999835,75.0,50.0,3.0,0.3,400.0
case2,31,90031,2,6;9,6;1,1,1,0,8,18,0.16666666666665944,0.2822348595598758,2.084999919291972,65.34999999999843,65.35000000000001,50.0,3.0,0.3,400.0
case2,33,90033,2,5;19,5;3,1,0,0,8,14,1.4993055555554715,0.24100243162555582,1.9789039078054502,63.899999999998506,75.0,50.0,3.0,0.3,400.0
case2,34,90034,2,2;6,2;6,1,0,0,8,16,2.8208333333332014,0.3644439508950411,1.8351720994473655,70.94999999999811,75.0,50.0,3.0,0.3,400.0
case2,36,90036,2,3;6,3;6,1,0,0,8,16,0.01597222222222191,0.2397008291693643,1.908837580221002,37.25000000000002,75.0,50.0,3.0,0.3,400.0
case2,37,90037,2,17;18,1;2,1,1,1,8,18,0.03333333333333359,0.32691434922466295,2.07834381503661,37.350000000000016,37.35,50.0,3.0,0.3,400.0
case2,38,90038,2,3;6,3;6,1,0,0,8,16,1.8972222222221153,0.2484622495206142,2.238824974823846,71.1999999999981,75.0,50.0,3.0,0.3,400.0
case2,44,90044,2,2;10,2;2,1,1,1,8,18,0.01979166666666695,0.28858722099430234,2.124553390806128,48.29999999999939,48.300000000000004,50.0,3.0,0.3,400.0
case2,45,90045,2,11;17,3;1,1,0,0,8,17,0.023958333333333602,0.1888863533708302,1.717771048724971,37.25000000000002,75.0,50.0,3.0,0.3,400.0
case2,47,90047,2,3;4,3;4,1,0,0,8,16,0.052083333333331414,0.3029985903969771,2.0946028050567067,63.899999999998506,75.0,50.0,3.0,0.3,400.0
case2,48,90048,2,8;11,0;3,1,1,0,8,18,1.479513888888806,0.27874872205431295,2.2095664203025542,63.59999999999852,63.6,50.0,3.0,0.3,400.0
case2,49,90049,2,16;18,0;2,1,0,0,8,16,0.01736111111111146,0.23793083507537072,1.9425798537351036,66.99999999999834,75.0,50.0,3.0,0.3,400.0
case2,52,90052,2,1;10,1;2,1,1,0,8,18,2.8427083333332,0.2592096061572621,2.1236966364366285,71.0999999999981,71.10000000000001,50.0,3.0,0.3,400.0
case2,56,90056,2,7;19,7;3,1,1,0,8,18,1.541319444444358,0.316256838292562,2.3520825642628824,64.69999999999847,64.7,50.0,3.0,0.3,400.0
case2,60,90060,2,1;11,1;3,1,0,0,8,16,0.019097222222222397,0.17302809697151766,2.0384474432327218,37.15000000000003,75.0,50.0,3.0,0.3,400.0
case2,62,90062,2,14;17,6;1,1,0,0,8,15,0.019097222222221953,0.3092729981467165,1.908297896862399,37.25000000000002,75.0,50.0,3.0,0.3,400.0
case2,63,90063,2,9;18,1;2,1,0,0,8,16,0.023958333333333675,0.28009944309349244,1.9658835974575752,63.69999999999852,75.0,50.0,3.0,0.3,400.0
case2,64,90064,2,3;6,3;6,1,0,0,8,17,0.019097222222221953,0.25138374872080094,1.9305182697739167,37.25000000000002,75.0,50.0,3.0,0.3,400.0
case2,66,90066,2,5;10,5;2,1,1,1,8,18,0.022916666666666773,0.24047917048203343,2.2041768021851507,65.7999999999984,65.8,50.0,3.0,0.3,400.0
case2,68,90068,2,5;11,5;3,1,0,0,8,16,0.17986111111110253,0.21780179503688718,1.67896158749045,65.8499999999984,75.0,50.0,3.0,0.3,400.0
case2,71,90071,2,2;4,2;4,1,0,0,8,16,2.1239583333332153,0.2581754812115033,2.0466011987608494,70.84999999999812,75.0,50.0,3.0,0.3,400.0
case2,73,90073,2,11;19,3;3,1,0,0,8,17,1.7631944444443457,0.24590468299055834,2.275242671854086,68.64999999999824,75.0,50.0,3.0,0.3,400.0
case2,76,90076,2,2;17,2;1,1,0,0,8,17,2.299305555555427,0.17205477864582316,1.969940470141402,73.69999999999796,75.0,50.0,3.0,0.3,400.0
case2,77,90077,2,11;13,3;5,1,0,0,8,17,0.02152777777777759,0.31875778326226906,2.3897519302925687,42.14999999999974,75.0,50.0,3.0,0.3,400.0
case2,83,90083,2,11;18,3;2,1,1,1,8,18,0.02986111111111097,0.3312556807968508,2.113831032510773,67.24999999999832,67.25,50.0,3.0,0.3,400.0
case2,85,90085,2,9;10,1;2,1,0,0,8,15,0.022569444444445013,0.3331409248913244,2.1364987139575726,63.749999999998515,75.0,50.0,3.0,0.3,400.0
case2,87,90087,2,4;6,4;6,1,1,0,8,18,0.05972222222222061,0.2885039365238365,2.207275741093146,62.99999999999856,63.0,50.0,3.0,0.3,400.0
case2,89,90089,2,2;5,2;5,1,0,0,8,17,2.3270833333332037,0.2607641300153315,1.9393081050020309,74.09999999999793,75.0,50.0,3.0,0.3,400.0
case2,92,90092,2,11;13,3;5,1,0,0,8,16,1.4687499999999174,0.24284407057834184,1.947071122187923,63.44999999999853,75.0,50.0,3.0,0.3,400.0
case2,93,90093,2,0;1,0;1,1,0,0,8,17,0.04409722222222141,0.22116008439980403,1.9893430866670156,64.44999999999848,75.0,50.0,3.0,0.3,400.0
case2,94,90094,2,10;11,2;3,1,0,0,8,17,0.025347222222222042,0.19577026095460393,2.052007760754808,63.79999999999851,75.0,50.0,3.0,0.3,400.0
case2,96,90096,2,0;18,0;2,1,1,1,8,18,0.02048611111111113,0.22341713860185214,2.1690902932609286,62.59999999999858,62.6,50.0,3.0,0.3,400.0
case2,98,90098,2,1;8,1;0,1,1,0,8,18,0.09097222222221824,0.2756473560630959,1.9772590927834124,64.89999999999846,64.9,50.0,3.0,0.3,400.0
case2,99,90099,2,2;10,2;2,1,0,0,8,17,0.02604166666666704,0.2607409936164059,2.019683066486757,48.249999999999396,75.0,50.0,3.0,0.3,400.0
