environment_steps_k,mean,shadow_lower,shadow_upper,n_seeds,moving_average_window_updates
6.00000000,0.9842409116,0.3479796563,1.620502167,5,5
12.00000000,0.8863957395,0.3058352469,1.466956232,5,5
18.00000000,0.6793430416,0.2243144447,1.134371639,5,5
24.00000000,0.539832867,0.1766316291,0.903034105,5,5
30.00000000,0.4457871499,0.1477659922,0.7438083077,5,5
36.00000000,0.257358069,0.07089018582,0.4438259523,5,5
42.00000000,0.1057554435,0.03131568967,0.1801951974,5,5
48.00000000,0.05758912732,0.02339058628,0.09178766837,5,5
54.00000000,0.03758122104,0.02001012999,0.05515231209,5,5
60.00000000,0.02712703522,0.01661714697,0.03763692347,5,5
66.00000000,0.02193527065,0.01473513011,0.02913541119,5,5
72.00000000,0.01894732879,0.01423560715,0.02365905043,5,5
78.00000000,0.01693928276,0.01375331476,0.02012525076,5,5
84.00000000,0.01546323487,0.01374114508,0.01718532466,5,5
90.00000000,0.01467094351,0.01357715182,0.01576473519,5,5
96.00000000,0.01407095238,0.0132358455,0.01490605926,5,5
102.00000000,0.01351711487,0.01282622626,0.01420800348,5,5
108.00000000,0.01320365662,0.0127100008,0.01369731244,5,5
114.00000000,0.01294841515,0.01244403011,0.01345280018,5,5
120.00000000,0.01274982229,0.01211698274,0.01338266184,5,5
126.00000000,0.0126363026,0.01203990855,0.01323269665,5,5
132.00000000,0.01257463639,0.01189771589,0.0132515569,5,5
138.00000000,0.0125001203,0.01181225926,0.01318798133,5,5
144.00000000,0.01246578266,0.01186698145,0.01306458387,5,5
150.00000000,0.01248332685,0.01201850223,0.01294815147,5,5
156.00000000,0.0124139111,0.01188828685,0.01293953535,5,5
162.00000000,0.01237432302,0.01186833103,0.01288031501,5,5
168.00000000,0.01236094886,0.0118732502,0.01284864753,5,5
174.00000000,0.01234215925,0.01190479317,0.01277952533,5,5
180.00000000,0.01226067801,0.01176990412,0.0127514519,5,5
186.00000000,0.01229231798,0.01188422326,0.01270041271,5,5
192.00000000,0.01225654598,0.01180845242,0.01270463953,5,5
198.00000000,0.01225266369,0.01182303036,0.01268229702,5,5
204.00000000,0.01220697679,0.01180403847,0.01260991511,5,5
210.00000000,0.01219404618,0.01175468185,0.01263341051,5,5
216.00000000,0.01214542283,0.01171878263,0.01257206302,5,5
222.00000000,0.01208687479,0.01172159494,0.01245215464,5,5
228.00000000,0.01205326913,0.01166607325,0.01244046502,5,5
