environment_steps_k,mean,shadow_lower,shadow_upper,n_seeds,moving_average_window_updates
6.00000000,2.75354234,2.753034379,2.754050301,5,5
12.00000000,2.749712324,2.748515151,2.750909497,5,5
18.00000000,2.74612068,2.744464956,2.747776404,5,5
24.00000000,2.742756433,2.740851448,2.744661418,5,5
30.00000000,2.739483545,2.73750137,2.741465719,5,5
36.00000000,2.732680349,2.730572069,2.73478863,5,5
42.00000000,2.725786068,2.723894375,2.727677761,5,5
48.00000000,2.718287091,2.7163529,2.720221282,5,5
54.00000000,2.709772466,2.706773543,2.712771389,5,5
60.00000000,2.700130326,2.695906323,2.704354329,5,5
66.00000000,2.6894141,2.684351019,2.694477181,5,5
72.00000000,2.677814133,2.672276461,2.683351805,5,5
78.00000000,2.66561427,2.659896317,2.671332222,5,5
84.00000000,2.653158453,2.647435218,2.658881688,5,5
90.00000000,2.640414209,2.634709613,2.646118805,5,5
96.00000000,2.627670444,2.621794899,2.63354599,5,5
102.00000000,2.615167078,2.609290964,2.621043192,5,5
108.00000000,2.603049217,2.59755543,2.608543005,5,5
114.00000000,2.591235957,2.586189648,2.596282267,5,5
120.00000000,2.580113168,2.57544093,2.584785406,5,5
126.00000000,2.569603698,2.565169536,2.57403786,5,5
132.00000000,2.559471761,2.554834532,2.56410899,5,5
138.00000000,2.549708384,2.544585088,2.55483168,5,5
144.00000000,2.540344659,2.534875715,2.545813604,5,5
150.00000000,2.531110485,2.525617309,2.536603661,5,5
156.00000000,2.521929127,2.516711323,2.527146931,5,5
162.00000000,2.513035758,2.5083129,2.517758616,5,5
168.00000000,2.504373068,2.500114961,2.508631176,5,5
174.00000000,2.496061878,2.492163752,2.499960005,5,5
180.00000000,2.488205564,2.484795039,2.491616089,5,5
186.00000000,2.480741621,2.477575175,2.483908067,5,5
192.00000000,2.473580234,2.470447675,2.476712793,5,5
198.00000000,2.466771629,2.463605962,2.469937297,5,5
204.00000000,2.460216973,2.456915938,2.463518008,5,5
210.00000000,2.453970813,2.450229754,2.457711873,5,5
216.00000000,2.448126476,2.443969546,2.452283406,5,5
222.00000000,2.442594151,2.437999097,2.447189206,5,5
228.00000000,2.437388154,2.432322928,2.442453379,5,5
234.00000000,2.432386648,2.426744985,2.438028311,5,5
240.00000000,2.427488011,2.421230853,2.43374517,5,5
246.00000000,2.422711372,2.415923091,2.429499653,5,5
252.00000000,2.418147427,2.410973498,2.425321356,5,5
258.00000000,2.413780248,2.40624071,2.421319785,5,5
264.00000000,2.409677246,2.401893672,2.417460819,5,5
270.00000000,2.405807682,2.397842554,2.413772809,5,5
276.00000000,2.402024773,2.393867159,2.410182388,5,5
282.00000000,2.398254716,2.389851499,2.406657933,5,5
288.00000000,2.39446671,2.3858422,2.40309122,5,5
294.00000000,2.390675333,2.381769742,2.399580924,5,5
300.00000000,2.386949921,2.37785081,2.396049032,5,5
306.00000000,2.383362934,2.374120758,2.392605109,5,5
312.00000000,2.379911301,2.370631387,2.389191215,5,5
318.00000000,2.376603945,2.367245511,2.385962379,5,5
324.00000000,2.373485437,2.364030487,2.382940388,5,5
330.00000000,2.370566652,2.360965601,2.380167704,5,5
336.00000000,2.367783479,2.35801697,2.377549987,5,5
342.00000000,2.365145651,2.35522157,2.375069732,5,5
348.00000000,2.36271101,2.352781427,2.372640594,5,5
354.00000000,2.36042355,2.350669867,2.370177234,5,5
360.00000000,2.358237586,2.348702774,2.367772398,5,5
366.00000000,2.356195004,2.346858092,2.365531915,5,5
372.00000000,2.354296002,2.345066078,2.363525926,5,5
378.00000000,2.352478511,2.343293087,2.361663934,5,5
384.00000000,2.350763334,2.341570224,2.359956443,5,5
390.00000000,2.349143666,2.339955921,2.35833141,5,5
396.00000000,2.347641784,2.338505081,2.356778487,5,5
402.00000000,2.346235754,2.337172543,2.355298965,5,5
408.00000000,2.344931857,2.335968763,2.353894951,5,5
414.00000000,2.343719764,2.334837755,2.352601773,5,5
420.00000000,2.342583713,2.333728629,2.351438797,5,5
426.00000000,2.341509681,2.332649404,2.350369958,5,5
432.00000000,2.340508049,2.331620095,2.349396003,5,5
438.00000000,2.339566858,2.330636872,2.348496845,5,5
444.00000000,2.338687668,2.329709113,2.347666224,5,5
450.00000000,2.337864928,2.328861231,2.346868625,5,5
456.00000000,2.33707756,2.328068396,2.346086724,5,5
462.00000000,2.336325315,2.327334287,2.345316343,5,5
468.00000000,2.335608306,2.326633173,2.34458344,5,5
474.00000000,2.334937138,2.325965099,2.343909177,5,5
480.00000000,2.33431351,2.325342751,2.343284269,5,5
486.00000000,2.333731539,2.324745926,2.342717152,5,5
492.00000000,2.333192265,2.324184479,2.342200051,5,5
498.00000000,2.332701297,2.323668085,2.34173451,5,5
504.00000000,2.332252428,2.323210831,2.341294024,5,5
510.00000000,2.331846802,2.322791232,2.340902373,5,5
516.00000000,2.331479174,2.322408253,2.340550095,5,5
522.00000000,2.331141034,2.32205785,2.340224217,5,5
528.00000000,2.330827348,2.321740969,2.339913727,5,5
534.00000000,2.330536589,2.321442838,2.33963034,5,5
540.00000000,2.330264802,2.321171047,2.339358557,5,5
546.00000000,2.330014461,2.320926327,2.339102595,5,5
552.00000000,2.329783719,2.32070589,2.338861547,5,5
558.00000000,2.329564738,2.320495412,2.338634063,5,5
564.00000000,2.329353722,2.320293738,2.338413705,5,5
570.00000000,2.329151689,2.320097518,2.338205859,5,5
576.00000000,2.328961938,2.319912116,2.33801176,5,5
582.00000000,2.328786188,2.319739671,2.337832705,5,5
588.00000000,2.328626833,2.319581757,2.337671909,5,5
594.00000000,2.328490478,2.319444335,2.33753662,5,5
600.00000000,2.32837699,2.319329463,2.337424516,5,5
