environment_steps_k,mean,shadow_lower,shadow_upper,n_seeds,moving_average_window_updates
6.00000000,2.761352053,2.758997057,2.763707049,5,5
12.00000000,2.766949425,2.763258627,2.770640223,5,5
18.00000000,2.773165005,2.769234839,2.777095171,5,5
24.00000000,2.779555902,2.775776154,2.78333565,5,5
30.00000000,2.786103632,2.782535445,2.78967182,5,5
36.00000000,2.798960608,2.795130389,2.802790827,5,5
42.00000000,2.812225272,2.808343799,2.816106744,5,5
48.00000000,2.825554337,2.821316274,2.829792399,5,5
54.00000000,2.838962081,2.83413438,2.843789782,5,5
60.00000000,2.852156755,2.846556566,2.857756944,5,5
66.00000000,2.865328969,2.858753285,2.871904654,5,5
72.00000000,2.878573941,2.871404924,2.885742958,5,5
78.00000000,2.891667319,2.884582632,2.898752005,5,5
84.00000000,2.904876826,2.898254459,2.911499193,5,5
90.00000000,2.918316637,2.912224028,2.924409246,5,5
96.00000000,2.931503674,2.925347662,2.937659685,5,5
102.00000000,2.944423775,2.937055075,2.951792474,5,5
108.00000000,2.957232104,2.948578211,2.965885998,5,5
114.00000000,2.969597655,2.960139332,2.979055979,5,5
120.00000000,2.98163329,2.971546597,2.991719983,5,5
126.00000000,2.993709706,2.983322256,3.004097156,5,5
132.00000000,3.005680335,2.995326301,3.016034368,5,5
138.00000000,3.017329944,3.006525556,3.028134332,5,5
144.00000000,3.028776008,3.017075021,3.040476995,5,5
150.00000000,3.040246984,3.027498791,3.052995176,5,5
156.00000000,3.051786528,3.038165439,3.065407617,5,5
162.00000000,3.063449687,3.049102036,3.077797338,5,5
168.00000000,3.075268628,3.060567423,3.089969833,5,5
174.00000000,3.087168788,3.072363723,3.101973854,5,5
180.00000000,3.099099296,3.084387053,3.113811539,5,5
186.00000000,3.110875373,3.096164433,3.125586314,5,5
192.00000000,3.12244229,3.107493479,3.1373911,5,5
198.00000000,3.133981352,3.118541168,3.149421537,5,5
204.00000000,3.145503646,3.129682543,3.161324749,5,5
210.00000000,3.156701494,3.140574492,3.172828497,5,5
216.00000000,3.16767605,3.151359788,3.183992312,5,5
222.00000000,3.178494926,3.162230144,3.194759708,5,5
228.00000000,3.189032462,3.173199684,3.204865241,5,5
234.00000000,3.198981721,3.18352194,3.214441503,5,5
240.00000000,3.208433028,3.193225055,3.223641001,5,5
246.00000000,3.21764833,3.202384448,3.232912211,5,5
252.00000000,3.226656201,3.211320575,3.241991828,5,5
258.00000000,3.235444739,3.220216908,3.25067257,5,5
264.00000000,3.24424362,3.229309276,3.259177964,5,5
270.00000000,3.253054959,3.238377235,3.267732682,5,5
276.00000000,3.261658768,3.247490346,3.27582719,5,5
282.00000000,3.270008641,3.256372529,3.283644754,5,5
288.00000000,3.27821797,3.264752442,3.291683497,5,5
294.00000000,3.286316195,3.272672024,3.299960367,5,5
300.00000000,3.294115857,3.280279276,3.307952437,5,5
306.00000000,3.301554665,3.287488642,3.315620688,5,5
312.00000000,3.308571248,3.294579389,3.322563107,5,5
318.00000000,3.315187522,3.301604736,3.328770308,5,5
324.00000000,3.321291346,3.30826688,3.334315811,5,5
330.00000000,3.326924779,3.314592015,3.339257543,5,5
336.00000000,3.331970036,3.320451899,3.343488173,5,5
342.00000000,3.336463768,3.325704496,3.347223041,5,5
348.00000000,3.340419178,3.330389805,3.350448552,5,5
354.00000000,3.34390275,3.334616925,3.353188575,5,5
360.00000000,3.34687276,3.338457003,3.355288517,5,5
366.00000000,3.349429417,3.342020462,3.356838371,5,5
372.00000000,3.351520666,3.345287765,3.357753567,5,5
378.00000000,3.353155419,3.3480965,3.358214339,5,5
384.00000000,3.354317577,3.350320698,3.358314457,5,5
390.00000000,3.35516805,3.3520766,3.3582595,5,5
396.00000000,3.355750381,3.353439451,3.35806131,5,5
402.00000000,3.356180623,3.354574667,3.357786578,5,5
408.00000000,3.356444184,3.355418393,3.357469976,5,5
414.00000000,3.356614245,3.356056584,3.357171906,5,5
420.00000000,3.356732681,3.356503849,3.356961512,5,5
426.00000000,3.356800306,3.356759233,3.356841379,5,5
432.00000000,3.3568151,3.3568151,3.3568151,5,5
438.00000000,3.3568151,3.3568151,3.3568151,5,5
444.00000000,3.3568151,3.3568151,3.3568151,5,5
450.00000000,3.3568151,3.3568151,3.3568151,5,5
456.00000000,3.3568151,3.3568151,3.3568151,5,5
462.00000000,3.3568151,3.3568151,3.3568151,5,5
468.00000000,3.3568151,3.3568151,3.3568151,5,5
474.00000000,3.3568151,3.3568151,3.3568151,5,5
480.00000000,3.3568151,3.3568151,3.3568151,5,5
486.00000000,3.3568151,3.3568151,3.3568151,5,5
492.00000000,3.3568151,3.3568151,3.3568151,5,5
498.00000000,3.3568151,3.3568151,3.3568151,5,5
504.00000000,3.3568151,3.3568151,3.3568151,5,5
510.00000000,3.3568151,3.3568151,3.3568151,5,5
516.00000000,3.3568151,3.3568151,3.3568151,5,5
522.00000000,3.3568151,3.3568151,3.3568151,5,5
528.00000000,3.3568151,3.3568151,3.3568151,5,5
534.00000000,3.3568151,3.3568151,3.3568151,5,5
540.00000000,3.3568151,3.3568151,3.3568151,5,5
546.00000000,3.3568151,3.3568151,3.3568151,5,5
552.00000000,3.3568151,3.3568151,3.3568151,5,5
558.00000000,3.3568151,3.3568151,3.3568151,5,5
564.00000000,3.3568151,3.3568151,3.3568151,5,5
570.00000000,3.3568151,3.3568151,3.3568151,5,5
576.00000000,3.3568151,3.3568151,3.3568151,5,5
582.00000000,3.3568151,3.3568151,3.3568151,5,5
588.00000000,3.3568151,3.3568151,3.3568151,5,5
594.00000000,3.3568151,3.3568151,3.3568151,5,5
600.00000000,3.3568151,3.3568151,3.3568151,5,5
