environment_steps_k,mean,shadow_lower,shadow_upper,n_seeds,moving_average_window_updates
6.00000000,2.752188737,2.751361866,2.753015608,5,15
12.00000000,2.746495205,2.744912092,2.748078319,5,15
18.00000000,2.740371574,2.73854371,2.742199437,5,15
24.00000000,2.733900981,2.731730816,2.736071146,5,15
30.00000000,2.727510875,2.724996434,2.730025316,5,15
36.00000000,2.721430598,2.718556423,2.724304772,5,15
42.00000000,2.715434633,2.712420903,2.718448362,5,15
48.00000000,2.709291898,2.706256136,2.71232766,5,15
54.00000000,2.703096469,2.700045364,2.706147575,5,15
60.00000000,2.696900082,2.693860385,2.699939779,5,15
66.00000000,2.690633373,2.68761495,2.693651797,5,15
72.00000000,2.684150455,2.681228403,2.687072507,5,15
78.00000000,2.677477681,2.674750604,2.680204758,5,15
84.00000000,2.670736738,2.668270357,2.673203118,5,15
90.00000000,2.663860418,2.66168459,2.666036247,5,15
96.00000000,2.650580607,2.648613553,2.65254766,5,15
102.00000000,2.637047366,2.635314438,2.638780295,5,15
108.00000000,2.623329809,2.621841501,2.624818118,5,15
114.00000000,2.60953811,2.608366519,2.610709701,5,15
120.00000000,2.595581837,2.594617297,2.596546378,5,15
126.00000000,2.581467296,2.580387833,2.58254676,5,15
132.00000000,2.567271453,2.565835128,2.568707777,5,15
138.00000000,2.553120056,2.551202641,2.555037472,5,15
144.00000000,2.539004441,2.536635674,2.541373208,5,15
150.00000000,2.524930033,2.522027008,2.527833058,5,15
156.00000000,2.511017402,2.507522561,2.514512243,5,15
162.00000000,2.497524556,2.493390176,2.501658935,5,15
168.00000000,2.484417551,2.479604655,2.489230447,5,15
174.00000000,2.471609081,2.466192307,2.477025855,5,15
180.00000000,2.459172833,2.453188901,2.465156765,5,15
186.00000000,2.447075528,2.440451226,2.453699829,5,15
192.00000000,2.435397979,2.428070684,2.442725274,5,15
198.00000000,2.424120995,2.416177992,2.432063997,5,15
204.00000000,2.41319421,2.404632671,2.421755749,5,15
210.00000000,2.402580052,2.393416518,2.411743586,5,15
216.00000000,2.392229707,2.382427971,2.402031443,5,15
222.00000000,2.38216112,2.37174875,2.39257349,5,15
228.00000000,2.372320678,2.361231886,2.383409471,5,15
234.00000000,2.362651343,2.350760092,2.374542594,5,15
240.00000000,2.353120316,2.340400614,2.365840019,5,15
246.00000000,2.343748773,2.330116116,2.357381431,5,15
252.00000000,2.334434104,2.319930471,2.348937738,5,15
258.00000000,2.325243394,2.309916347,2.340570441,5,15
264.00000000,2.316110909,2.300027215,2.332194602,5,15
270.00000000,2.307108301,2.290174072,2.324042529,5,15
276.00000000,2.298290007,2.280466659,2.316113355,5,15
282.00000000,2.289667717,2.270964442,2.308370991,5,15
288.00000000,2.281248407,2.261631478,2.300865335,5,15
294.00000000,2.273146063,2.252661097,2.293631028,5,15
300.00000000,2.265430909,2.243976924,2.286884894,5,15
306.00000000,2.258053601,2.235549222,2.28055798,5,15
312.00000000,2.250908129,2.227195863,2.274620395,5,15
318.00000000,2.243938648,2.218837203,2.269040093,5,15
324.00000000,2.237227789,2.2105591,2.263896478,5,15
330.00000000,2.230857112,2.202495225,2.259218998,5,15
336.00000000,2.224710117,2.194616518,2.254803715,5,15
342.00000000,2.218729074,2.18701616,2.250441988,5,15
348.00000000,2.212831122,2.17974027,2.245921974,5,15
354.00000000,2.207169421,2.172897681,2.241441162,5,15
360.00000000,2.20168068,2.166399999,2.236961361,5,15
366.00000000,2.196301579,2.160077364,2.232525795,5,15
372.00000000,2.191012453,2.153754909,2.228269996,5,15
378.00000000,2.185771994,2.14731783,2.224226159,5,15
384.00000000,2.180558122,2.140864437,2.220251807,5,15
390.00000000,2.17534,2.134353669,2.216326331,5,15
396.00000000,2.170146206,2.127673055,2.212619358,5,15
402.00000000,2.165015657,2.120984118,2.209047197,5,15
408.00000000,2.159968095,2.114599097,2.205337092,5,15
414.00000000,2.15496729,2.108495049,2.20143953,5,15
420.00000000,2.150010762,2.102573173,2.197448351,5,15
426.00000000,2.145147488,2.096872485,2.193422491,5,15
432.00000000,2.140451803,2.091182561,2.189721044,5,15
438.00000000,2.135923962,2.085558887,2.186289036,5,15
444.00000000,2.131458333,2.079844416,2.183072249,5,15
450.00000000,2.127124227,2.074188747,2.180059707,5,15
456.00000000,2.122940049,2.068583842,2.177296256,5,15
462.00000000,2.118832574,2.063156266,2.174508881,5,15
468.00000000,2.114924783,2.058078393,2.171771174,5,15
474.00000000,2.111149623,2.053144967,2.169154279,5,15
480.00000000,2.107539211,2.048397551,2.166680872,5,15
486.00000000,2.104051469,2.043858617,2.16424432,5,15
492.00000000,2.100686636,2.039508209,2.161865063,5,15
498.00000000,2.097521491,2.035337284,2.159705699,5,15
504.00000000,2.094440897,2.031120404,2.157761389,5,15
510.00000000,2.091385285,2.026852881,2.155917689,5,15
516.00000000,2.088339946,2.022647328,2.154032564,5,15
522.00000000,2.085332278,2.01856092,2.152103636,5,15
528.00000000,2.082464427,2.014532294,2.15039656,5,15
534.00000000,2.079744823,2.01060905,2.148880596,5,15
540.00000000,2.077142444,2.006747812,2.147537076,5,15
546.00000000,2.074574352,2.003033713,2.14611499,5,15
552.00000000,2.07206886,1.999489572,2.144648148,5,15
558.00000000,2.069605074,1.996008392,2.143201757,5,15
564.00000000,2.067094876,1.992569722,2.14162003,5,15
570.00000000,2.064552646,1.989228364,2.139876927,5,15
576.00000000,2.061976683,1.985995709,2.137957656,5,15
582.00000000,2.059417775,1.982871001,2.135964548,5,15
588.00000000,2.056873999,1.979727268,2.134020731,5,15
594.00000000,2.054479029,1.976864153,2.132093905,5,15
600.00000000,2.052103918,1.974059528,2.130148309,5,15
606.00000000,2.049773315,1.971432962,2.128113668,5,15
612.00000000,2.047473749,1.968984833,2.125962666,5,15
618.00000000,2.045182586,1.966650054,2.123715119,5,15
624.00000000,2.042930387,1.96446518,2.121395595,5,15
630.00000000,2.040727283,1.962441865,2.119012702,5,15
636.00000000,2.038629843,1.960553521,2.116706165,5,15
642.00000000,2.036634988,1.958686716,2.11458326,5,15
648.00000000,2.034710355,1.956819328,2.112601382,5,15
654.00000000,2.032954412,1.955108315,2.11080051,5,15
660.00000000,2.031311706,1.953509044,2.109114369,5,15
666.00000000,2.029770367,1.952075519,2.107465215,5,15
672.00000000,2.028244851,1.950689825,2.105799877,5,15
678.00000000,2.026765926,1.949525024,2.104006828,5,15
684.00000000,2.025301595,1.94841182,2.102191371,5,15
690.00000000,2.023919303,1.947440656,2.100397951,5,15
696.00000000,2.022630663,1.946416231,2.098845094,5,15
702.00000000,2.021345164,1.945226026,2.097464303,5,15
708.00000000,2.020030015,1.943960171,2.096099859,5,15
714.00000000,2.018679659,1.942618528,2.094740789,5,15
720.00000000,2.017200763,1.941134412,2.093267115,5,15
726.00000000,2.015673774,1.939473005,2.091874543,5,15
732.00000000,2.014115798,1.937765813,2.090465783,5,15
738.00000000,2.012529642,1.936073901,2.088985382,5,15
744.00000000,2.010838193,1.93442253,2.087253856,5,15
750.00000000,2.009082861,1.93280836,2.085357363,5,15
756.00000000,2.007279906,1.931182939,2.083376872,5,15
762.00000000,2.00548468,1.929661088,2.081308272,5,15
768.00000000,2.003633399,1.928125092,2.079141707,5,15
774.00000000,2.001796524,1.926578212,2.077014836,5,15
780.00000000,2.000035101,1.925068475,2.075001727,5,15
786.00000000,1.998249563,1.923555233,2.072943893,5,15
792.00000000,1.996474786,1.92211164,2.070837932,5,15
798.00000000,1.994832723,1.920804592,2.068860855,5,15
804.00000000,1.993294482,1.919598681,2.066990282,5,15
810.00000000,1.991853951,1.918446865,2.065261037,5,15
816.00000000,1.990418479,1.917424495,2.063412463,5,15
822.00000000,1.989026656,1.916552701,2.061500612,5,15
828.00000000,1.987645278,1.915730262,2.059560294,5,15
834.00000000,1.986306071,1.914880255,2.057731886,5,15
840.00000000,1.985016265,1.913960692,2.056071837,5,15
846.00000000,1.983743838,1.912942934,2.054544741,5,15
852.00000000,1.982533016,1.911926175,2.053139858,5,15
858.00000000,1.981427051,1.910969599,2.051884503,5,15
864.00000000,1.980362135,1.91005387,2.050670399,5,15
870.00000000,1.979344506,1.909183763,2.04950525,5,15
876.00000000,1.978372396,1.908379743,2.04836505,5,15
882.00000000,1.977482712,1.907670347,2.047295078,5,15
888.00000000,1.976544631,1.906941854,2.046147407,5,15
894.00000000,1.975579312,1.906173185,2.044985438,5,15
900.00000000,1.974632497,1.905374214,2.043890779,5,15
906.00000000,1.973750636,1.904592288,2.042908983,5,15
912.00000000,1.972883629,1.903720842,2.042046415,5,15
918.00000000,1.972045719,1.902771014,2.041320423,5,15
924.00000000,1.971280428,1.901825577,2.040735279,5,15
930.00000000,1.97056161,1.900946399,2.04017682,5,15
936.00000000,1.969861449,1.900135832,2.039587065,5,15
942.00000000,1.969165082,1.899308456,2.039021707,5,15
948.00000000,1.968488429,1.898411758,2.038565099,5,15
954.00000000,1.96780281,1.897553171,2.038052449,5,15
960.00000000,1.967105147,1.896719715,2.037490579,5,15
966.00000000,1.966484166,1.895957085,2.037011248,5,15
972.00000000,1.96591862,1.895240763,2.036596477,5,15
978.00000000,1.965434933,1.89456497,2.036304896,5,15
984.00000000,1.965007023,1.893896412,2.036117635,5,15
990.00000000,1.964633094,1.893314193,2.035951995,5,15
996.00000000,1.964264406,1.892729478,2.035799333,5,15
1002.00000000,1.963927823,1.892201401,2.035654244,5,15
1008.00000000,1.963613928,1.891730189,2.035497667,5,15
1014.00000000,1.963272394,1.891210358,2.03533443,5,15
1020.00000000,1.962914812,1.890632496,2.035197129,5,15
1026.00000000,1.96258284,1.890091225,2.035074455,5,15
1032.00000000,1.962238048,1.889566144,2.034909953,5,15
1038.00000000,1.961848047,1.889037439,2.034658655,5,15
1044.00000000,1.96140433,1.888391763,2.034416896,5,15
1050.00000000,1.96088553,1.887681101,2.034089959,5,15
1056.00000000,1.960288546,1.886925691,2.033651401,5,15
1062.00000000,1.959623204,1.886137149,2.033109259,5,15
1068.00000000,1.958906705,1.88533646,2.032476951,5,15
1074.00000000,1.958185114,1.88460096,2.031769269,5,15
1080.00000000,1.957462935,1.883926537,2.030999333,5,15
1086.00000000,1.956742917,1.883303701,2.030182133,5,15
1092.00000000,1.955984939,1.882660112,2.029309765,5,15
1098.00000000,1.955221175,1.882075214,2.028367137,5,15
1104.00000000,1.954495248,1.881575282,2.027415214,5,15
1110.00000000,1.95379085,1.881125549,2.026456151,5,15
1116.00000000,1.953095707,1.880665761,2.025525654,5,15
1122.00000000,1.952429956,1.880231176,2.024628735,5,15
1128.00000000,1.951793867,1.87985947,2.023728264,5,15
1134.00000000,1.951213401,1.879576324,2.022850479,5,15
1140.00000000,1.950702951,1.879370593,2.02203531,5,15
1146.00000000,1.950245338,1.879147861,2.021342814,5,15
1152.00000000,1.949839726,1.87896107,2.020718382,5,15
1158.00000000,1.949463668,1.87882554,2.020101796,5,15
1164.00000000,1.949074373,1.878664889,2.019483858,5,15
1170.00000000,1.948669789,1.878456911,2.018882667,5,15
1176.00000000,1.948242866,1.87820257,2.018283162,5,15
1182.00000000,1.94781377,1.877940937,2.017686604,5,15
1188.00000000,1.947400688,1.877673378,2.017127999,5,15
1194.00000000,1.946986381,1.877386919,2.016585844,5,15
1200.00000000,1.946574514,1.8770984,2.016050627,5,15
1206.00000000,1.946194397,1.876848358,2.015540437,5,15
1212.00000000,1.945829854,1.876600486,2.015059221,5,15
1218.00000000,1.945463887,1.876324807,2.014602967,5,15
1224.00000000,1.945114653,1.876079331,2.014149976,5,15
1230.00000000,1.94477213,1.875849263,2.013694998,5,15
1236.00000000,1.944428179,1.875643958,2.013212401,5,15
