environment_steps_k,mean,shadow_lower,shadow_upper,n_seeds,moving_average_window_updates
6.00000000,2.751590214,2.750440716,2.752739712,5,15
12.00000000,2.745659934,2.743697732,2.747622137,5,15
18.00000000,2.739284653,2.736905351,2.741663954,5,15
24.00000000,2.732700428,2.729994549,2.735406308,5,15
30.00000000,2.726093437,2.722947592,2.729239282,5,15
36.00000000,2.719816461,2.716068675,2.723564247,5,15
42.00000000,2.713737244,2.709522732,2.717951755,5,15
48.00000000,2.707587138,2.703046416,2.712127861,5,15
54.00000000,2.701358444,2.696695526,2.706021362,5,15
60.00000000,2.695098287,2.690431671,2.699764903,5,15
66.00000000,2.688805643,2.684251675,2.693359611,5,15
72.00000000,2.682497757,2.678200086,2.686795428,5,15
78.00000000,2.676173481,2.672180654,2.680166308,5,15
84.00000000,2.669886208,2.666195481,2.673576934,5,15
90.00000000,2.663563255,2.660174548,2.666951963,5,15
96.00000000,2.650950782,2.647628812,2.654272751,5,15
102.00000000,2.638255817,2.63495059,2.641561043,5,15
108.00000000,2.625560082,2.622247635,2.628872529,5,15
114.00000000,2.612955173,2.609635376,2.61627497,5,15
120.00000000,2.600416701,2.597188885,2.603644517,5,15
126.00000000,2.587873346,2.584825237,2.590921455,5,15
132.00000000,2.575358839,2.57237754,2.578340138,5,15
138.00000000,2.56296315,2.55993238,2.565993919,5,15
144.00000000,2.550723046,2.547514969,2.553931124,5,15
150.00000000,2.538661673,2.535171553,2.542151793,5,15
156.00000000,2.526898763,2.522982573,2.530814954,5,15
162.00000000,2.515405093,2.511058944,2.519751242,5,15
168.00000000,2.504164192,2.499430492,2.508897891,5,15
174.00000000,2.493171555,2.488124064,2.498219047,5,15
180.00000000,2.48249081,2.477265035,2.487716584,5,15
186.00000000,2.472110801,2.466716151,2.47750545,5,15
192.00000000,2.462081112,2.456498339,2.467663885,5,15
198.00000000,2.452387471,2.446436336,2.458338606,5,15
204.00000000,2.442867865,2.436389889,2.449345841,5,15
210.00000000,2.433494758,2.426362348,2.440627169,5,15
216.00000000,2.42427834,2.416541651,2.432015029,5,15
222.00000000,2.415195863,2.406813769,2.423577957,5,15
228.00000000,2.406288846,2.397323919,2.415253772,5,15
234.00000000,2.397484065,2.388033417,2.406934713,5,15
240.00000000,2.388782408,2.37898545,2.398579367,5,15
246.00000000,2.380058691,2.369991019,2.390126363,5,15
252.00000000,2.371389905,2.361074832,2.381704979,5,15
258.00000000,2.362817164,2.352188711,2.373445617,5,15
264.00000000,2.354321043,2.343285052,2.365357035,5,15
270.00000000,2.345928155,2.334444346,2.357411965,5,15
276.00000000,2.33766377,2.325675726,2.349651814,5,15
282.00000000,2.329516222,2.316985597,2.342046847,5,15
288.00000000,2.321438208,2.308426425,2.334449991,5,15
294.00000000,2.313532354,2.300117797,2.326946911,5,15
300.00000000,2.305842601,2.292083069,2.319602133,5,15
306.00000000,2.298342324,2.284164942,2.312519707,5,15
312.00000000,2.291006594,2.276451468,2.305561721,5,15
318.00000000,2.283788765,2.268990412,2.298587118,5,15
324.00000000,2.276747694,2.261639046,2.291856341,5,15
330.00000000,2.269888683,2.254349289,2.285428078,5,15
336.00000000,2.263245902,2.247064758,2.279427046,5,15
342.00000000,2.256790365,2.239824351,2.27375638,5,15
348.00000000,2.250485904,2.232758094,2.268213714,5,15
354.00000000,2.244371699,2.22587632,2.262867077,5,15
360.00000000,2.238418159,2.219109722,2.257726597,5,15
366.00000000,2.232567521,2.212422464,2.252712579,5,15
372.00000000,2.226832701,2.205872122,2.24779328,5,15
378.00000000,2.22121937,2.199505597,2.242933144,5,15
