environment_steps_k,mean,shadow_lower,shadow_upper,n_seeds,moving_average_window_updates
6.00000000,158.7152598,136.0285633,181.4019563,5,5
12.00000000,160.6820804,149.280726,172.0834348,5,5
18.00000000,162.5649836,154.9114031,170.2185642,5,5
24.00000000,161.4162114,152.3918146,170.4406081,5,5
30.00000000,161.4999713,154.849047,168.1508955,5,5
36.00000000,162.0915033,155.8723726,168.310634,5,5
42.00000000,162.6844992,158.4320908,166.9369076,5,5
48.00000000,162.4927553,158.2695411,166.7159694,5,5
54.00000000,163.9975593,161.243196,166.7519226,5,5
60.00000000,163.9184086,161.1607977,166.6760195,5,5
66.00000000,163.862902,160.9864652,166.7393388,5,5
72.00000000,163.8345071,160.9786048,166.6904095,5,5
78.00000000,163.8401964,160.9815563,166.6988366,5,5
84.00000000,163.7954492,160.9507276,166.6401708,5,5
90.00000000,164.5888064,162.1349236,167.0426891,5,5
96.00000000,165.4219418,164.9964219,165.8474617,5,5
102.00000000,164.6281275,162.4640166,166.7922384,5,5
108.00000000,164.673552,162.4125799,166.9345242,5,5
114.00000000,163.8962236,161.3468354,166.4456119,5,5
120.00000000,162.3105562,158.2092962,166.4118162,5,5
126.00000000,162.3087083,158.1990799,166.4183366,5,5
132.00000000,163.1159505,158.7234641,167.5084369,5,5
138.00000000,163.1023722,158.6988897,167.5058547,5,5
144.00000000,163.1211371,160.4430531,165.7992212,5,5
150.00000000,164.7391301,162.4101248,167.0681354,5,5
156.00000000,163.8878571,161.0457764,166.7299377,5,5
162.00000000,163.8805848,161.0885159,166.6726538,5,5
168.00000000,163.8636461,161.0934954,166.6337968,5,5
174.00000000,164.6489371,162.4348831,166.8629911,5,5
180.00000000,164.6168767,162.3826681,166.8510854,5,5
186.00000000,164.6099438,162.3281539,166.8917338,5,5
192.00000000,161.7189092,154.219882,169.2179364,5,5
198.00000000,158.8247987,143.5997093,174.0498882,5,5
204.00000000,155.1151481,132.5117968,177.7184994,5,5
210.00000000,155.0848768,132.3614339,177.8083197,5,5
216.00000000,155.1125694,129.5294098,180.6957289,5,5
222.00000000,156.3396799,139.4080187,173.2713411,5,5
228.00000000,157.5862965,146.563321,168.6092719,5,5
234.00000000,161.2911389,155.2497418,167.3325361,5,5
240.00000000,161.2895632,155.2665475,167.312579,5,5
246.00000000,162.0771443,155.6365884,168.5177002,5,5
252.00000000,162.883887,156.1702523,169.5975218,5,5
258.00000000,164.5323051,162.2806615,166.7839488,5,5
264.00000000,163.7076685,159.1517534,168.2635836,5,5
270.00000000,163.6867178,159.1419111,168.2315244,5,5
276.00000000,163.6765832,159.1530085,168.200158,5,5
282.00000000,164.4856789,162.2691545,166.7022033,5,5
288.00000000,164.4534929,162.2803443,166.6266415,5,5
294.00000000,165.2370806,164.9681572,165.506004,5,5
300.00000000,165.2344183,165.0332326,165.4356041,5,5
306.00000000,163.6122087,161.0531925,166.1712249,5,5
312.00000000,163.6088054,161.0825776,166.1350333,5,5
318.00000000,163.5864822,161.0889923,166.083972,5,5
324.00000000,163.6049081,161.1322659,166.0775504,5,5
330.00000000,162.8273489,158.5062846,167.1484133,5,5
336.00000000,163.6188469,161.0454753,166.1922186,5,5
342.00000000,162.8106073,160.4124013,165.2088133,5,5
348.00000000,162.0224285,158.213636,165.8312211,5,5
354.00000000,162.0539461,158.2493948,165.8584974,5,5
360.00000000,162.8723733,158.7399441,167.0048026,5,5
366.00000000,163.6851925,159.5745756,167.7958093,5,5
372.00000000,163.676192,160.9840428,166.3683412,5,5
378.00000000,163.6473194,160.691512,166.6031267,5,5
384.00000000,163.5888168,160.7032393,166.4743942,5,5
390.00000000,162.716632,158.2224435,167.2108204,5,5
396.00000000,162.6723832,158.2193588,167.1254075,5,5
402.00000000,163.4587183,159.0455803,167.8718563,5,5
408.00000000,164.2520576,162.0571376,166.4469776,5,5
414.00000000,163.4038003,160.8730343,165.9345663,5,5
420.00000000,164.2348356,162.2361086,166.2335627,5,5
426.00000000,164.2819874,162.2396203,166.3243545,5,5
432.00000000,164.3012376,162.2023436,166.4001315,5,5
438.00000000,163.5057956,160.7882443,166.2233469,5,5
444.00000000,164.3863673,162.0679651,166.7047694,5,5
450.00000000,164.3870175,162.0653631,166.7086719,5,5
456.00000000,163.5759937,160.7549249,166.3970624,5,5
462.00000000,163.5813378,160.7562094,166.4064661,5,5
468.00000000,164.4195494,162.1964562,166.6426425,5,5
474.00000000,163.5962656,159.0894256,168.1031057,5,5
480.00000000,163.6454291,159.1605969,168.1302612,5,5
486.00000000,164.4570564,162.2032494,166.7108634,5,5
492.00000000,164.4867203,162.2308116,166.742629,5,5
498.00000000,164.4696561,162.2227405,166.7165718,5,5
504.00000000,164.4603904,162.1964522,166.7243285,5,5
510.00000000,163.6472558,160.9004901,166.3940214,5,5
516.00000000,163.6632115,160.9547432,166.3716798,5,5
