environment_steps_k,mean,shadow_lower,shadow_upper,n_seeds,moving_average_window_updates
6.00000000,158.7178985,136.0219958,181.4138012,5,5
12.00000000,158.5900716,147.9049094,169.2752339,5,5
18.00000000,161.171054,154.011689,168.330419,5,5
24.00000000,159.3181043,151.9994845,166.636724,5,5
30.00000000,158.9727078,154.7278081,163.2176075,5,5
36.00000000,158.7006033,154.368632,163.0325747,5,5
42.00000000,160.0824275,157.1383525,163.0265024,5,5
48.00000000,159.8672873,156.9024678,162.8321068,5,5
54.00000000,162.1526674,159.8610042,164.4443306,5,5
60.00000000,162.846067,159.948082,165.744052,5,5
66.00000000,164.4102975,162.1644318,166.6561631,5,5
72.00000000,164.3502387,162.1540457,166.5464317,5,5
78.00000000,164.3282435,162.1703195,166.4861675,5,5
84.00000000,164.3660907,162.2407973,166.4913842,5,5
90.00000000,162.7762121,158.6295781,166.922846,5,5
96.00000000,162.8100942,158.6121482,167.0080403,5,5
102.00000000,162.0639221,158.1721712,165.9556729,5,5
108.00000000,162.1125226,158.205426,166.0196192,5,5
114.00000000,160.4376386,155.2123189,165.6629582,5,5
120.00000000,162.0083466,156.722284,167.2944093,5,5
126.00000000,161.9758824,156.6147524,167.3370125,5,5
132.00000000,162.751204,158.2875926,167.2148155,5,5
138.00000000,161.8783948,156.5065758,167.2502139,5,5
144.00000000,163.5277597,160.9760952,166.0794241,5,5
150.00000000,164.349304,162.2718355,166.4267724,5,5
156.00000000,164.344645,162.2715855,166.4177046,5,5
162.00000000,164.3656911,162.292384,166.4389982,5,5
168.00000000,165.1873703,164.8081168,165.5666238,5,5
174.00000000,165.1395498,164.6909868,165.5881127,5,5
180.00000000,164.2437133,162.3577621,166.1296646,5,5
186.00000000,164.1618706,162.2202983,166.1034429,5,5
192.00000000,163.2469289,160.4174064,166.0764513,5,5
198.00000000,161.5825368,157.5096936,165.6553801,5,5
204.00000000,160.7723578,155.6692066,165.875509,5,5
210.00000000,161.6986762,157.2243355,166.1730169,5,5
216.00000000,160.9528626,155.8272882,166.078437,5,5
222.00000000,161.0104384,155.9066756,166.1142011,5,5
228.00000000,162.6806103,159.8901039,165.4711167,5,5
234.00000000,163.5592779,160.7670422,166.3515136,5,5
240.00000000,163.4918536,160.5147633,166.4689439,5,5
246.00000000,164.2855356,161.9015298,166.6695415,5,5
252.00000000,164.2273118,162.3006582,166.1539653,5,5
258.00000000,164.1193766,162.1815257,166.0572275,5,5
264.00000000,164.0346396,162.0513944,166.0178849,5,5
270.00000000,162.3732833,158.5556923,166.1908743,5,5
276.00000000,162.3260188,158.6151857,166.0368519,5,5
282.00000000,163.1617284,159.1528193,167.1706376,5,5
288.00000000,163.1784042,159.291596,167.0652123,5,5
294.00000000,163.1213572,159.241114,167.0016005,5,5
300.00000000,164.8179058,163.8518194,165.7839922,5,5
306.00000000,162.4302275,157.9826271,166.8778279,5,5
312.00000000,159.9740156,149.4214153,170.5266159,5,5
318.00000000,159.0514905,146.3961503,171.7068307,5,5
324.00000000,157.4418161,140.5086978,174.3749344,5,5
330.00000000,155.7361228,134.2010223,177.2712233,5,5
336.00000000,156.462304,137.1670858,175.7575221,5,5
342.00000000,156.3353292,142.4243177,170.2463407,5,5
348.00000000,156.525101,142.4871581,170.5630439,5,5
354.00000000,157.3411434,145.4610399,169.2212469,5,5
360.00000000,157.4393896,145.7672043,169.1115749,5,5
366.00000000,154.6624494,137.251334,172.0735648,5,5
372.00000000,152.0477648,129.2988846,174.796645,5,5
378.00000000,149.1734498,120.9387202,177.4081794,5,5
384.00000000,148.3834261,120.7213261,176.0455261,5,5
390.00000000,149.9676947,126.1365527,173.7988368,5,5
396.00000000,153.596499,137.8478822,169.3451158,5,5
402.00000000,158.7496934,149.9074659,167.5919209,5,5
408.00000000,162.4231951,159.5954654,165.2509248,5,5
414.00000000,164.047781,162.0548424,166.0407196,5,5
420.00000000,162.419498,158.1742424,166.6647535,5,5
426.00000000,163.2432066,158.8831741,167.6032392,5,5
432.00000000,162.3745307,158.2814794,166.4675821,5,5
438.00000000,162.2642365,158.152689,166.3757841,5,5
444.00000000,162.1816615,158.0594765,166.3038466,5,5
450.00000000,162.8402918,160.347651,165.3329326,5,5
456.00000000,161.8541734,157.865501,165.8428459,5,5
462.00000000,162.5711628,157.766852,167.3754737,5,5
468.00000000,161.6643118,154.4884091,168.8402144,5,5
474.00000000,160.8490318,151.4947633,170.2033003,5,5
480.00000000,160.9280488,149.1784874,172.6776101,5,5
486.00000000,159.4189192,148.090712,170.7471264,5,5
492.00000000,157.8533567,145.2358885,170.470825,5,5
498.00000000,157.9647387,147.8740224,168.0554549,5,5
504.00000000,158.0032311,149.3170911,166.6893711,5,5
510.00000000,158.8571746,151.4673696,166.2469796,5,5
516.00000000,161.3410124,156.6769903,166.0050344,5,5
522.00000000,163.1286731,160.6094984,165.6478479,5,5
528.00000000,163.8997116,161.6874809,166.1119423,5,5
534.00000000,163.9344846,161.5413993,166.3275699,5,5
540.00000000,163.1390666,160.5415952,165.736538,5,5
546.00000000,163.1046892,160.4979251,165.7114533,5,5
552.00000000,163.1407713,160.4536502,165.8278923,5,5
558.00000000,163.1305863,160.4755643,165.7856083,5,5
564.00000000,164.0307223,161.8004585,166.2609862,5,5
570.00000000,163.2465918,158.7253002,167.7678835,5,5
576.00000000,163.3724179,158.7738543,167.9709816,5,5
582.00000000,162.5505211,155.7016056,169.3994367,5,5
588.00000000,161.8727971,155.1739325,168.5716617,5,5
594.00000000,160.2354679,154.455471,166.0154648,5,5
600.00000000,161.1169179,157.4198072,164.8140286,5,5
