environment_steps_k,mean,shadow_lower,shadow_upper,n_seeds,moving_average_window_updates
6.00000000,158.7164824,136.0162701,181.4166947,5,5
12.00000000,160.5934868,149.2383403,171.9486334,5,5
18.00000000,162.4962031,154.9340489,170.0583573,5,5
24.00000000,161.3406526,153.59069,169.0906151,5,5
30.00000000,160.602656,154.8132535,166.3920585,5,5
36.00000000,160.3719228,157.5603594,163.1834863,5,5
42.00000000,160.1912413,157.4339169,162.9485657,5,5
48.00000000,160.0248695,157.254141,162.795598,5,5
54.00000000,161.5548758,161.4108817,161.69887,5,5
60.00000000,161.4844419,157.8298241,165.1390597,5,5
66.00000000,163.0572548,160.2210165,165.893493,5,5
72.00000000,163.8169636,161.0098615,166.6240656,5,5
78.00000000,163.813276,161.0340774,166.5924745,5,5
84.00000000,163.7947932,161.0216981,166.5678882,5,5
90.00000000,164.5987816,162.3215954,166.8759679,5,5
96.00000000,163.7489548,161.0395689,166.4583407,5,5
102.00000000,162.8977193,160.1002627,165.6951759,5,5
108.00000000,162.8575758,160.0807214,165.6344301,5,5
114.00000000,161.9801754,159.7452402,164.2151105,5,5
120.00000000,161.9296506,157.6962664,166.1630348,5,5
126.00000000,162.7311331,158.1601095,167.3021567,5,5
132.00000000,163.5477912,158.9928835,168.1026989,5,5
138.00000000,163.5097312,158.9599813,168.0594812,5,5
144.00000000,164.3379519,162.061527,166.6143769,5,5
150.00000000,165.1504045,165.1116047,165.1892043,5,5
156.00000000,164.3349016,162.1112728,166.5585303,5,5
162.00000000,164.3468852,162.1300732,166.5636971,5,5
168.00000000,164.3708851,162.1470614,166.5947089,5,5
174.00000000,164.367079,162.1158528,166.6183052,5,5
180.00000000,163.5599726,159.0032967,168.1166486,5,5
186.00000000,164.3750251,162.0597655,166.6902846,5,5
192.00000000,163.5450598,160.7379154,166.3522042,5,5
198.00000000,163.5541459,160.746596,166.3616959,5,5
204.00000000,162.7404518,159.9280634,165.5528403,5,5
210.00000000,162.7263855,159.9506564,165.5021145,5,5
216.00000000,162.7053094,159.9423318,165.468287,5,5
222.00000000,162.6955477,159.8482949,165.5428005,5,5
228.00000000,162.6946454,159.875863,165.5134277,5,5
234.00000000,163.5180984,160.7264247,166.3097721,5,5
240.00000000,164.3382642,162.0848847,166.5916438,5,5
246.00000000,163.5334213,160.7488227,166.3180199,5,5
252.00000000,164.3558087,162.0745313,166.637086,5,5
258.00000000,164.3473605,162.0746834,166.6200376,5,5
264.00000000,163.5317785,160.7837833,166.2797736,5,5
270.00000000,163.5455174,160.7986848,166.2923499,5,5
276.00000000,162.7253822,158.234003,167.2167613,5,5
282.00000000,161.8994253,156.3448934,167.4539572,5,5
288.00000000,161.8924421,156.3375906,167.4472936,5,5
294.00000000,161.8708543,157.6217746,166.119934,5,5
300.00000000,161.8438769,157.6194911,166.0682626,5,5
306.00000000,162.6596331,159.9192626,165.4000035,5,5
312.00000000,163.4886301,160.721795,166.2554653,5,5
318.00000000,163.4905705,160.7044625,166.2766784,5,5
324.00000000,164.3215469,162.0078019,166.6352919,5,5
330.00000000,164.3276652,162.0094374,166.645893,5,5
336.00000000,165.1448,165.0589958,165.2306042,5,5
342.00000000,165.1184272,165.031208,165.2056464,5,5
348.00000000,165.1187997,165.0058396,165.2317597,5,5
354.00000000,165.1006765,165.0099853,165.1913676,5,5
360.00000000,165.1121107,165.0399018,165.1843195,5,5
366.00000000,165.1173359,165.074703,165.1599689,5,5
372.00000000,162.680941,159.9189743,165.4429078,5,5
378.00000000,162.6825965,159.9370185,165.4281745,5,5
384.00000000,162.7047863,159.966574,165.4429987,5,5
390.00000000,161.8957712,159.6306195,164.1609229,5,5
396.00000000,161.9023178,159.6348587,164.1697769,5,5
402.00000000,163.561165,159.0334933,168.0888368,5,5
408.00000000,163.568019,159.0743667,168.0616713,5,5
414.00000000,163.555445,159.0867659,168.024124,5,5
420.00000000,163.542745,160.8169318,166.2685581,5,5
426.00000000,163.5352047,160.831543,166.2388665,5,5
432.00000000,164.3230923,162.0672599,166.5789247,5,5
438.00000000,163.4917466,160.7876626,166.1958306,5,5
444.00000000,163.4912035,160.7826347,166.1997724,5,5
450.00000000,164.3057463,162.0896282,166.5218645,5,5
456.00000000,164.3019399,162.0846141,166.5192657,5,5
462.00000000,163.4822715,160.750973,166.2135699,5,5
468.00000000,164.301893,162.0461143,166.5576716,5,5
474.00000000,164.3083327,162.049868,166.5667973,5,5
480.00000000,164.3247392,162.057415,166.5920633,5,5
486.00000000,164.3365946,162.0611817,166.6120074,5,5
492.00000000,163.5360125,160.7607442,166.3112807,5,5
498.00000000,163.5356549,160.7685459,166.3027638,5,5
504.00000000,161.893943,159.624732,164.1631541,5,5
510.00000000,161.8970273,159.6171628,164.1768917,5,5
516.00000000,161.9032273,159.6324608,164.1739938,5,5
522.00000000,162.7307816,159.938921,165.5226422,5,5
528.00000000,161.9173314,157.6422169,166.1924459,5,5
534.00000000,162.7442459,158.2043138,167.284178,5,5
540.00000000,162.7340399,158.1817112,167.2863687,5,5
546.00000000,162.7294644,158.1757632,167.2831657,5,5
552.00000000,163.5384542,160.7791379,166.2977705,5,5
558.00000000,164.366005,162.0884288,166.6435812,5,5
564.00000000,165.1958762,165.1248036,165.2669487,5,5
570.00000000,164.4098808,162.1854306,166.634331,5,5
576.00000000,164.4376755,162.1945812,166.6807699,5,5
582.00000000,164.482669,162.2337929,166.7315451,5,5
588.00000000,164.5309214,162.2823433,166.7794994,5,5
594.00000000,164.5749143,162.3142195,166.8356092,5,5
600.00000000,165.4405379,165.3493352,165.5317406,5,5
