environment_steps_k,mean,shadow_lower,shadow_upper,n_seeds,moving_average_window_updates
6.00000000,166.8139081,166.3513897,167.2764266,5,15
12.00000000,166.6552202,166.3112517,166.9991888,5,15
18.00000000,166.6158857,166.3325268,166.8992446,5,15
24.00000000,166.3850633,165.9134633,166.8566634,5,15
30.00000000,166.3152711,165.9321349,166.6984073,5,15
36.00000000,166.379913,166.0342143,166.7256117,5,15
42.00000000,166.1134321,165.5679526,166.6589116,5,15
48.00000000,166.0328455,165.4150876,166.6506035,5,15
54.00000000,165.8990158,165.2091466,166.5888851,5,15
60.00000000,165.8876769,165.251494,166.5238597,5,15
66.00000000,165.8719931,165.3340563,166.4099298,5,15
72.00000000,165.878437,165.3145279,166.4423461,5,15
78.00000000,165.7970533,165.0390243,166.5550824,5,15
84.00000000,165.8247827,164.9992484,166.6503169,5,15
90.00000000,165.8294545,164.9665814,166.6923277,5,15
96.00000000,165.6933873,164.6350569,166.7517177,5,15
102.00000000,165.6038171,164.349674,166.8579601,5,15
108.00000000,165.5107049,164.13603,166.8853798,5,15
114.00000000,165.3554436,163.8939618,166.8169253,5,15
120.00000000,165.2059887,163.65788,166.7540975,5,15
126.00000000,164.9799265,163.2762542,166.6835988,5,15
132.00000000,164.9872548,163.1769429,166.7975668,5,15
138.00000000,165.0077977,163.0151017,167.0004937,5,15
144.00000000,164.9565032,162.914549,166.9984574,5,15
150.00000000,164.9125345,162.7740897,167.0509793,5,15
156.00000000,164.8835166,162.7083753,167.0586578,5,15
162.00000000,164.8246654,162.6710299,166.9783009,5,15
168.00000000,164.8276015,162.8147524,166.8404505,5,15
174.00000000,164.744326,162.6540287,166.8346232,5,15
180.00000000,164.6716475,162.500648,166.8426471,5,15
186.00000000,164.6468795,162.4680394,166.8257195,5,15
192.00000000,164.6414111,162.4882795,166.7945427,5,15
198.00000000,164.6055646,162.5057217,166.7054076,5,15
204.00000000,164.729067,162.6600281,166.7981059,5,15
210.00000000,164.8425442,162.8864832,166.7986052,5,15
216.00000000,164.9725196,162.8747277,167.0703115,5,15
222.00000000,165.033365,163.0022088,167.0645211,5,15
228.00000000,164.9124008,162.9656493,166.8591522,5,15
234.00000000,165.0314569,163.1645821,166.8983317,5,15
240.00000000,165.0488409,163.3320459,166.7656359,5,15
246.00000000,165.0823861,163.500356,166.6644161,5,15
252.00000000,165.1048829,163.6811544,166.5286114,5,15
258.00000000,165.1472345,163.8442335,166.4502355,5,15
264.00000000,165.1611542,163.8732716,166.4490368,5,15
270.00000000,165.2186394,163.9209511,166.5163277,5,15
276.00000000,165.2613537,163.9534977,166.5692097,5,15
282.00000000,165.2950369,163.9403592,166.6497146,5,15
288.00000000,165.2950743,163.7885662,166.8015825,5,15
294.00000000,165.2671417,163.6993455,166.8349378,5,15
300.00000000,165.1202538,163.4421037,166.7984039,5,15
306.00000000,165.0437005,163.3244826,166.7629184,5,15
312.00000000,164.9147336,163.312719,166.5167481,5,15
318.00000000,164.803157,163.0835998,166.5227142,5,15
324.00000000,164.6254911,162.9951161,166.2558662,5,15
330.00000000,164.481722,162.8539159,166.1095281,5,15
336.00000000,164.3637822,162.6710031,166.0565613,5,15
342.00000000,164.3346577,162.5158123,166.153503,5,15
348.00000000,164.2319823,162.4160774,166.0478872,5,15
354.00000000,164.2320316,162.4465025,166.0175607,5,15
360.00000000,164.237023,162.4650617,166.0089843,5,15
366.00000000,164.2397692,162.4319531,166.0475853,5,15
372.00000000,164.1889311,162.3570521,166.0208101,5,15
378.00000000,164.1883578,162.3735136,166.0032021,5,15
384.00000000,164.1914675,162.3784297,166.0045053,5,15
390.00000000,164.27442,162.5992085,165.9496315,5,15
396.00000000,164.2993478,162.7036689,165.8950267,5,15
402.00000000,164.3992848,162.8147615,165.9838081,5,15
408.00000000,164.5668227,163.2939211,165.8397242,5,15
414.00000000,164.6580196,163.3305319,165.9855072,5,15
420.00000000,164.7409175,163.353886,166.1279491,5,15
426.00000000,164.845344,163.4989962,166.1916919,5,15
432.00000000,164.828772,163.4899109,166.1676332,5,15
438.00000000,164.9461888,163.4720496,166.420328,5,15
444.00000000,164.8908657,163.4578945,166.323837,5,15
450.00000000,164.8412473,163.3043254,166.3781692,5,15
456.00000000,164.8611505,163.2468406,166.4754605,5,15
462.00000000,164.87567,163.2113392,166.5400008,5,15
468.00000000,164.9292016,163.1810799,166.6773232,5,15
474.00000000,165.0024572,163.1100995,166.8948148,5,15
480.00000000,165.0592033,163.0204744,167.0979323,5,15
486.00000000,165.1218782,163.034226,167.2095305,5,15
492.00000000,165.168259,163.0876943,167.2488237,5,15
498.00000000,165.2564913,163.179324,167.3336586,5,15
504.00000000,165.3221787,163.427251,167.2171065,5,15
510.00000000,165.3818548,163.5789413,167.1847683,5,15
516.00000000,165.3890305,163.6901401,167.0879208,5,15
522.00000000,165.434115,163.8034584,167.0647716,5,15
528.00000000,165.4141701,163.7958851,167.0324551,5,15
534.00000000,165.5033507,163.8899749,167.1167266,5,15
540.00000000,165.5469817,163.9952881,167.0986753,5,15
546.00000000,165.5646198,164.0379586,167.091281,5,15
552.00000000,165.6004663,164.0629126,167.13802,5,15
558.00000000,165.6271492,164.0623127,167.1919858,5,15
564.00000000,165.5944652,163.9601881,167.2287424,5,15
570.00000000,165.5618326,163.9615013,167.1621639,5,15
576.00000000,165.6226594,164.0544147,167.190904,5,15
582.00000000,165.6019572,163.9884265,167.2154879,5,15
588.00000000,165.5780969,163.8380426,167.3181513,5,15
594.00000000,165.5630903,163.7776604,167.3485201,5,15
600.00000000,165.5358637,163.7038205,167.3679069,5,15
606.00000000,165.4381748,163.6511675,167.2251821,5,15
612.00000000,165.3962555,163.6994311,167.0930799,5,15
618.00000000,165.3897722,163.7992289,166.9803156,5,15
624.00000000,165.3548093,163.7534523,166.9561664,5,15
630.00000000,165.3316079,163.6989277,166.9642881,5,15
636.00000000,165.3523766,163.7341121,166.9706411,5,15
642.00000000,165.3758626,163.7275891,167.0241361,5,15
648.00000000,165.3254269,163.5642995,167.0865543,5,15
654.00000000,165.3877734,163.6426278,167.1329191,5,15
660.00000000,165.4996302,163.7721403,167.2271201,5,15
666.00000000,165.4923706,163.7217131,167.263028,5,15
672.00000000,165.5072081,163.6797258,167.3346904,5,15
678.00000000,165.5171049,163.7269345,167.3072753,5,15
684.00000000,165.5697872,163.818525,167.3210493,5,15
690.00000000,165.6684947,163.8738499,167.4631394,5,15
696.00000000,165.828691,163.9270587,167.7303232,5,15
702.00000000,165.987965,163.79491,168.1810199,5,15
708.00000000,166.0202403,163.6979125,168.3425682,5,15
714.00000000,166.0329891,163.6190846,168.4468936,5,15
720.00000000,166.0678022,163.6509149,168.4846896,5,15
726.00000000,166.0982812,163.6999096,168.4966528,5,15
732.00000000,166.0924788,163.8115003,168.3734573,5,15
738.00000000,166.1448296,164.031874,168.2577852,5,15
744.00000000,166.0710554,164.0361876,168.1059232,5,15
750.00000000,165.9866451,164.0550284,167.9182617,5,15
756.00000000,166.004394,164.1318589,167.8769291,5,15
762.00000000,166.0328606,164.2315509,167.8341703,5,15
768.00000000,166.0265106,164.2191751,167.833846,5,15
774.00000000,166.0231005,164.1438661,167.902335,5,15
780.00000000,166.0060189,164.0771065,167.9349314,5,15
786.00000000,165.96258,164.0584912,167.8666689,5,15
792.00000000,165.8513641,164.1651059,167.5376222,5,15
798.00000000,165.8499305,164.2457327,167.4541282,5,15
804.00000000,165.8580541,164.408865,167.3072431,5,15
810.00000000,165.7746418,164.3867784,167.1625052,5,15
816.00000000,165.6588265,164.392407,166.925246,5,15
822.00000000,165.6111178,164.4475805,166.7746552,5,15
828.00000000,165.5120207,164.5419044,166.4821369,5,15
834.00000000,165.4497108,164.6415681,166.2578534,5,15
840.00000000,165.4300186,164.7483141,166.111723,5,15
846.00000000,165.3022255,164.6527833,165.9516676,5,15
852.00000000,165.1973643,164.5708488,165.8238798,5,15
858.00000000,165.1038645,164.5311032,165.6766258,5,15
864.00000000,165.0107492,164.4856433,165.535855,5,15
870.00000000,164.8385948,164.2104752,165.4667144,5,15
876.00000000,164.7112843,163.8932995,165.5292691,5,15
882.00000000,164.6140914,163.6946015,165.5335814,5,15
888.00000000,164.4964138,163.4079399,165.5848877,5,15
894.00000000,164.4031241,163.1497318,165.6565163,5,15
900.00000000,164.4356913,163.0487963,165.8225862,5,15
906.00000000,164.5096278,163.0838887,165.935367,5,15
912.00000000,164.5435567,163.0537632,166.0333502,5,15
918.00000000,164.6341723,163.1087515,166.1595932,5,15
924.00000000,164.6645449,162.9503297,166.3787601,5,15
930.00000000,164.6378963,162.7571132,166.5186794,5,15
936.00000000,164.6504565,162.5798735,166.7210396,5,15
942.00000000,164.6596839,162.3037837,167.0155841,5,15
948.00000000,164.6936043,162.145817,167.2413916,5,15
954.00000000,164.6513194,161.8913552,167.4112837,5,15
960.00000000,164.731508,161.8535866,167.6094295,5,15
966.00000000,164.7748809,161.7738975,167.7758642,5,15
972.00000000,164.7762795,161.6745976,167.8779614,5,15
978.00000000,164.8306911,161.635047,168.0263352,5,15
984.00000000,164.7824611,161.438151,168.1267712,5,15
990.00000000,164.645907,161.1928051,168.0990088,5,15
996.00000000,164.4869254,160.8882344,168.0856165,5,15
1002.00000000,164.3385769,160.5498787,168.1272751,5,15
1008.00000000,164.1907258,160.1973457,168.184106,5,15
1014.00000000,164.1429079,160.1361169,168.1496988,5,15
1020.00000000,164.0800152,160.0382016,168.1218288,5,15
1026.00000000,163.938474,159.8391381,168.0378099,5,15
1032.00000000,163.8435201,159.7373057,167.9497345,5,15
1038.00000000,163.8011345,159.7863966,167.8158725,5,15
1044.00000000,163.7907657,159.8879701,167.6935613,5,15
1050.00000000,163.7870426,159.8878004,167.6862849,5,15
1056.00000000,163.8113361,159.9261014,167.6965708,5,15
1062.00000000,163.8599784,159.9704318,167.749525,5,15
1068.00000000,163.8490306,159.9816585,167.7164027,5,15
1074.00000000,163.9653868,160.1826857,167.7480878,5,15
1080.00000000,164.0741111,160.4008489,167.7473734,5,15
1086.00000000,164.1872826,160.6876241,167.6869411,5,15
1092.00000000,164.2735039,160.9991872,167.5478205,5,15
1098.00000000,164.3827161,161.2879647,167.4774674,5,15
1104.00000000,164.4360694,161.3886243,167.4835146,5,15
1110.00000000,164.5302278,161.5210444,167.5394113,5,15
1116.00000000,164.7026197,161.7790025,167.6262369,5,15
1122.00000000,164.855338,161.9600805,167.7505955,5,15
1128.00000000,164.9972633,162.0046317,167.9898948,5,15
1134.00000000,165.080678,162.0025384,168.1588177,5,15
