variant,case,seed,episodes,interception_success_rate,coordination_success_rate,per_target_interception_rate,per_target_coordination_rate
full,case1,701,20,1.0,0.9,1.0,0.9875
full,case1,702,20,1.0,0.85,1.0,0.98125
full,case1,703,20,1.0,0.9,1.0,0.9875
full,case1,704,20,1.0,0.95,1.0,0.99375
full,case1,705,20,1.0,0.9,1.0,0.98125
full,case2,701,20,0.0,0.0,0.525,0.2375
full,case2,702,20,0.0,0.0,0.4,0.30625
full,case2,703,20,0.0,0.0,0.5,0.48125
full,case2,704,20,0.0,0.0,0.375,0.21875
full,case2,705,20,0.0,0.0,0.43125,0.28125
no_trust,case1,701,20,1.0,0.75,1.0,0.96875
no_trust,case1,702,20,1.0,1.0,1.0,1.0
no_trust,case1,703,20,1.0,0.85,1.0,0.98125
no_trust,case1,704,20,1.0,0.95,1.0,0.99375
no_trust,case1,705,20,1.0,0.95,1.0,0.99375
no_trust,case2,701,20,0.0,0.0,0.11875,0.0125
no_trust,case2,702,20,0.0,0.0,0.55,0.38125
no_trust,case2,703,20,0.0,0.0,0.28125,0.1375
no_trust,case2,704,20,0.0,0.0,0.375,0.30625
no_trust,case2,705,20,0.0,0.0,0.375,0.3625
no_gru,case1,701,20,1.0,0.95,1.0,0.99375
no_gru,case1,702,20,1.0,0.95,1.0,0.99375
no_gru,case1,703,20,1.0,0.9,1.0,0.9875
no_gru,case1,704,20,1.0,0.9,1.0,0.9875
no_gru,case1,705,20,1.0,0.9,1.0,0.9875
no_gru,case2,701,20,0.0,0.0,0.49375,0.35625
no_gru,case2,702,20,0.0,0.0,0.44375,0.2625
no_gru,case2,703,20,0.0,0.0,0.49375,0.30625
no_gru,case2,704,20,0.0,0.0,0.51875,0.4125
no_gru,case2,705,20,0.0,0.0,0.55625,0.325
no_attention_residual,case1,701,20,1.0,0.9,1.0,0.98125
no_attention_residual,case1,702,20,0.9,0.4,0.9875,0.925
no_attention_residual,case1,703,20,1.0,0.9,1.0,0.9875
no_attention_residual,case1,704,20,1.0,0.9,1.0,0.9875
no_attention_residual,case1,705,20,1.0,0.95,1.0,0.99375
no_attention_residual,case2,701,20,0.0,0.0,0.4375,0.25
no_attention_residual,case2,702,20,0.0,0.0,0.56875,0.46875
no_attention_residual,case2,703,20,0.0,0.0,0.50625,0.34375
no_attention_residual,case2,704,20,0.0,0.0,0.1625,0.03125
no_attention_residual,case2,705,20,0.0,0.0,0.25625,0.0875
