case,variant,variant_label,metric,monte_carlo_trials,independent_training_seeds,episodes_per_seed,mean_rate,seed_level_sd,ci95_half_width
case1,full,Full ART-MAPPO,interception_success_rate,100,5,20,1.0,0.0,0.0
case1,full,Full ART-MAPPO,coordination_success_rate,100,5,20,0.9,0.03535533905932737,0.04389945165425421
case1,full,Full ART-MAPPO,per_target_interception_rate,100,5,20,1.0,0.0,0.0
case1,full,Full ART-MAPPO,per_target_coordination_rate,100,5,20,0.9862499999999998,0.005229125165838007,0.006492816460522352
case1,no_trust,w/o trust-aware,interception_success_rate,100,5,20,1.0,0.0,0.0
case1,no_trust,w/o trust-aware,coordination_success_rate,100,5,20,0.9,0.09999999999999999,0.12416639982037664
case1,no_trust,w/o trust-aware,per_target_interception_rate,100,5,20,1.0,0.0,0.0
case1,no_trust,w/o trust-aware,per_target_coordination_rate,100,5,20,0.9875,0.012500000000000011,0.015520799977547095
case1,no_gru,w/o GRU,interception_success_rate,100,5,20,1.0,0.0,0.0
case1,no_gru,w/o GRU,coordination_success_rate,100,5,20,0.9199999999999999,0.027386127875258272,0.034004369032912804
case1,no_gru,w/o GRU,per_target_interception_rate,100,5,20,1.0,0.0,0.0
case1,no_gru,w/o GRU,per_target_coordination_rate,100,5,20,0.99,0.0034232659844072757,0.00425054612911409
case1,no_attention_residual,w/o attn.-res.,interception_success_rate,100,5,20,0.9800000000000001,0.04472135954999578,0.05552890210395595
case1,no_attention_residual,w/o attn.-res.,coordination_success_rate,100,5,20,0.8099999999999999,0.23021728866442678,0.2858525190987028
case1,no_attention_residual,w/o attn.-res.,per_target_interception_rate,100,5,20,0.9974999999999999,0.005590169943749454,0.006941112762994472
case1,no_attention_residual,w/o attn.-res.,per_target_coordination_rate,100,5,20,0.975,0.02829807855667942,0.03513670536217084
case2,full,Full ART-MAPPO,interception_success_rate,100,5,20,0.0,0.0,0.0
case2,full,Full ART-MAPPO,coordination_success_rate,100,5,20,0.0,0.0,0.0
case2,full,Full ART-MAPPO,per_target_interception_rate,100,5,20,0.44625000000000004,0.06428695435311896,0.07982279677443671
case2,full,Full ART-MAPPO,per_target_coordination_rate,100,5,20,0.305,0.10443299287102711,0.12967068747262497
case2,no_trust,w/o trust-aware,interception_success_rate,100,5,20,0.0,0.0,0.0
case2,no_trust,w/o trust-aware,coordination_success_rate,100,5,20,0.0,0.0,0.0
case2,no_trust,w/o trust-aware,per_target_interception_rate,100,5,20,0.34,0.15728407818339404,0.19529397737098686
case2,no_trust,w/o trust-aware,per_target_coordination_rate,100,5,20,0.24,0.15938112733319462,0.19789780780275804
case2,no_gru,w/o GRU,interception_success_rate,100,5,20,0.0,0.0,0.0
case2,no_gru,w/o GRU,coordination_success_rate,100,5,20,0.0,0.0,0.0
case2,no_gru,w/o GRU,per_target_interception_rate,100,5,20,0.50125,0.041079191812887474,0.05100655354936929
case2,no_gru,w/o GRU,per_target_coordination_rate,100,5,20,0.33249999999999996,0.056145736703689254,0.06971413991759876
case2,no_attention_residual,w/o attn.-res.,interception_success_rate,100,5,20,0.0,0.0,0.0
case2,no_attention_residual,w/o attn.-res.,coordination_success_rate,100,5,20,0.0,0.0,0.0
case2,no_attention_residual,w/o attn.-res.,per_target_interception_rate,100,5,20,0.3862500000000001,0.17124315679757834,0.2126264627343156
case2,no_attention_residual,w/o attn.-res.,per_target_coordination_rate,100,5,20,0.23625,0.18024505887818396,0.22380380046315917
