scope,metric,direction,comparison,matched_pairs,mean_improvement_full,ci95_half_width,paired_effect_size_dz,signflip_p_raw,signflip_p_holm
pooled,tail20_reward,higher,full_vs_no_trust,10,697288.1125687659,4898154.737800453,0.10183627459348156,0.759765625,0.759765625
pooled,tail20_reward,higher,full_vs_no_gru,10,656549.5772509694,692251.0913082664,0.6784637052878546,0.064453125,0.12890625
pooled,tail20_reward,higher,full_vs_no_attention_residual,10,1708836.1214029908,1383457.2260997074,0.8836034895642855,0.015625,0.046875
pooled,reward_auc_per_step,higher,full_vs_no_trust,10,1590381.7827203036,4616933.4398173895,0.24641691814577316,0.45703125,0.45703125
pooled,reward_auc_per_step,higher,full_vs_no_gru,10,456267.0569003463,754072.0091336175,0.4328416420155316,0.197265625,0.39453125
pooled,reward_auc_per_step,higher,full_vs_no_attention_residual,10,1301762.4301240027,1762167.5819385753,0.5284540964494838,0.12109375,0.36328125
pooled,tail20_critic_loss,lower,full_vs_no_trust,10,-0.0009527423928763409,0.0013846400627236567,-0.49222236135940844,0.150390625,0.30078125
pooled,tail20_critic_loss,lower,full_vs_no_gru,10,0.03551759165094699,0.02485093823064786,1.022406172621851,0.001953125,0.005859375
pooled,tail20_critic_loss,lower,full_vs_no_attention_residual,10,-3.779784846119645e-05,0.0006184035175964737,-0.043723797184657,0.900390625,0.900390625
pooled,tail20_entropy,descriptive,full_vs_no_trust,10,-1.2454617811044055,0.1397932643727436,-6.373337271400523,0.001953125,0.005859375
pooled,tail20_entropy,descriptive,full_vs_no_gru,10,-0.04002910533547395,0.02380726328237438,-1.202788180278053,0.0078125,0.0078125
pooled,tail20_entropy,descriptive,full_vs_no_attention_residual,10,-0.05077925789356232,0.025141649697986473,-1.4448252456143136,0.001953125,0.005859375
pooled,entropy_reduction,higher,full_vs_no_trust,10,0.9922603301207225,0.031087645037046835,22.83287227912698,0.001953125,0.005859375
pooled,entropy_reduction,higher,full_vs_no_gru,10,0.05450597154100745,0.025705151068576352,1.5168640809945146,0.001953125,0.005859375
pooled,entropy_reduction,higher,full_vs_no_attention_residual,10,0.0459393095175427,0.02569031522377286,1.2791980039027278,0.00390625,0.005859375
case1,tail20_reward,higher,full_vs_no_trust,5,5567564.465827644,7887084.8877883125,0.8765018322042325,0.1875,0.1875
case1,tail20_reward,higher,full_vs_no_gru,5,934386.4300097584,1372323.4087154367,0.8454231584078712,0.0625,0.1875
case1,tail20_reward,higher,full_vs_no_attention_residual,5,2964820.16320312,2328650.8408110137,1.5808769581427746,0.0625,0.1875
case1,reward_auc_per_step,higher,full_vs_no_trust,5,6077687.5971857365,8051886.335731428,0.9372270753831463,0.25,0.75
case1,reward_auc_per_step,higher,full_vs_no_gru,5,-95993.28787286878,1564667.703288833,-0.07617681976206102,0.9375,0.9375
case1,reward_auc_per_step,higher,full_vs_no_attention_residual,5,2129930.8120561065,4245634.797453552,0.622912363913447,0.25,0.75
case1,tail20_critic_loss,lower,full_vs_no_trust,5,-0.0018804432287579404,0.0015450064583534785,-1.5112420049706954,0.0625,0.1875
case1,tail20_critic_loss,lower,full_vs_no_gru,5,0.00256527763349004,0.000605080110029683,5.264117643440113,0.0625,0.1875
case1,tail20_critic_loss,lower,full_vs_no_attention_residual,5,-0.0002992060338146991,0.0011540881637685288,-0.32191072735718973,0.625,0.625
case1,tail20_entropy,descriptive,full_vs_no_trust,5,-1.0621170833110807,0.018119122907890747,-72.78456859797748,0.0625,0.1875
case1,tail20_entropy,descriptive,full_vs_no_gru,5,-0.03521205425262437,0.02231471923110697,-1.95931392259389,0.0625,0.1875
case1,tail20_entropy,descriptive,full_vs_no_attention_residual,5,-0.04762362277507774,0.0366401641035481,-1.6138720802870208,0.0625,0.1875
case1,entropy_reduction,higher,full_vs_no_trust,5,0.9630626001358035,0.019006097992685666,62.91665754145488,0.0625,0.1875
case1,entropy_reduction,higher,full_vs_no_gru,5,0.03548082947731022,0.02518018358359875,1.7496007700705842,0.0625,0.1875
case1,entropy_reduction,higher,full_vs_no_attention_residual,5,0.04945413267612473,0.03894860457136736,1.57657550975467,0.0625,0.1875
case2,tail20_reward,higher,full_vs_no_trust,5,-4172988.240690112,3000747.120192042,-1.726719732071586,0.0625,0.1875
case2,tail20_reward,higher,full_vs_no_gru,5,378712.72449218034,1033258.3995299385,0.45509812054518617,0.3125,0.625
case2,tail20_reward,higher,full_vs_no_attention_residual,5,452852.0796028614,1212966.8906704076,0.46356592919350104,0.5,0.625
case2,reward_auc_per_step,higher,full_vs_no_trust,5,-2896924.0317451297,1432365.4089714973,-2.5112350893282493,0.0625,0.1875
case2,reward_auc_per_step,higher,full_vs_no_gru,5,1008527.4016735613,480420.5568841605,2.606574901752163,0.0625,0.1875
case2,reward_auc_per_step,higher,full_vs_no_attention_residual,5,473594.0481918991,616800.6177347931,0.9533788755968844,0.125,0.1875
case2,tail20_critic_loss,lower,full_vs_no_trust,5,-2.5041556994741254e-05,0.0027003871979940945,-0.011514348683934887,0.9375,1.0
